typo	tf	df	sdf	correct	tf	df	sdf
onla	5	5	3686	onunla	524	455	455
itibariyle	1045	812	812	itibarıyla	611	432	432
eşyalar	80	58	254	eşya	208	110	413
hıristiyan	99	76	122	hristiyan	95	71	93
mevlüt	154	106	108	mevlut	6	5	5
makina	29	23	85	makine	171	127	478
ünvan	0	0	81	unvan	20	18	422
yunanlı	51	41	64	yunan	623	302	803
öğe	6	6	61	öge	8	5	23
ıstanbul	67	44	52	istanbul	10541	5138	6704
laboratuar	23	20	46	laboratuvar	92	73	198
artis	0	0	46	artist	18	16	45
adele	63	32	44	adale	10	9	1355
tekrardan	43	42	42	tekrar	2275	1838	2255
hintli	37	33	40	hint	98	71	117
mönü	9	6	38	menü	29	19	73
dokunmatik	61	36	36	dokunmalı	0	0	0
hemşeri	0	0	33	hemşehri	2	2	79
müdahele	19	18	32	müdahale	1657	1116	1908
psikiyatrist	24	18	30	psikiyatr	12	10	104
orjinal	22	19	29	orijinal	165	117	154
personeller	10	8	29	personel	684	419	891
görseller	12	11	26	görüntüler	416	349	1090
çoşku	5	3	24	coşku	69	66	490
benle	21	21	23	benimle	369	302	306
espiri	9	7	22	espri	120	102	303
süpriz	19	17	22	sürpriz	968	774	985
usül	15	8	20	usul	204	131	405
tesbit	13	10	19	tespit	2871	2026	2399
antreman	4	4	19	antrenman	600	417	1002
siluet	3	3	18	silüet	2	2	23
yayınlamak	7	7	17	yayımlamak	4	4	5
insiyatif	5	5	17	inisiyatif	61	54	127
cimnastik	42	15	17	jimnastik	34	29	32
mustarip	16	16	16	muzdarip	18	17	17
traş	14	8	15	tıraş	49	24	34
dakka	11	8	15	dakika	2851	1809	3413
diyaloga	19	15	15	diyaloğa	45	37	37
penbe	32	11	14	pembe	73	62	68
döküman	2	2	14	doküman	26	22	78
mahçup	14	12	13	mahcup	66	63	64
acenta	1	1	13	acente	7	5	30
viyolo	1	1	13	viyola	4	3	4
ataç	14	11	12	ataş	17	8	127
barsak	11	10	12	bağırsak	135	83	129
mentalite	4	4	12	mantalite	5	5	15
yanlız	12	10	12	yalnız	877	716	1280
filim	6	4	12	film	2358	857	1651
canbaz	19	10	11	cambaz	5	3	8
kollektif	10	9	11	kolektif	44	34	44
sağnak	13	11	11	sağanak	400	135	135
motorsiklet	7	7	11	motosiklet	216	111	202
istihbaratlar	6	6	10	istihbarat	888	545	654
karekter	0	0	10	karakter	225	160	756
anfi	0	0	9	amfi	6	6	23
taxi	4	4	9	taksi	169	117	611
menejer	2	2	9	menajer	189	156	613
parlemento	3	3	9	parlamento	267	174	633
restorant	3	2	9	restoran	162	130	314
logar	5	5	8	rögar	4	4	10
küpür	3	1	8	kupür	4	4	16
muhattap	8	6	8	muhatap	200	157	221
labaratuvar	2	2	7	laboratuvar	92	73	198
eşgal	2	2	7	eşkal	13	10	38
müracat	4	4	7	müracaat	249	174	233
tesbih	11	7	7	tespih	37	16	21
ötenazi	16	6	7	ötanazi	15	7	10
tadilatlar	1	1	7	tadilat	61	44	77
telafuz	7	7	7	telaffuz	54	48	52
şöför	1	1	6	şoför	144	110	351
bugünki	6	6	6	bugünkü	712	601	605
kontur	5	5	6	kontör	23	18	22
senle	5	5	5	seninle	119	92	93
harfiyat	1	1	5	hafriyat	33	21	23
şevkat	1	1	5	şefkat	51	37	80
silahşör	5	3	5	silahşor	2	2	4
kareografi	4	3	5	koreografi	20	15	38
entellektüel	4	4	5	entelektüel	51	37	50
sezeryan	4	4	5	sezaryen	46	21	44
testesteron	9	5	5	testosteron	29	19	20
tenefüs	5	5	5	teneffüs	15	13	18
maktül	2	2	5	maktul	8	7	27
tetanoz	5	5	5	tetanos	15	2	2
allerji	9	2	5	alerji	50	37	95
gaste	0	0	5	gazete	755	493	4527
parlementer	4	3	5	parlamenter	129	83	132
