typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	252	onunla	10	9	9
hıristiyan	31	25	34	hristiyan	39	26	35
itibariyle	22	20	20	itibarıyla	24	20	20
eşyalar	8	3	18	eşya	4	4	27
hintli	9	7	10	hint	23	16	25
yunanlı	5	5	8	yunan	114	36	79
diyaloga	8	7	7	diyaloğa	17	10	10
makina	2	2	6	makine	7	6	26
ünvan	0	0	6	unvan	0	0	24
logar	3	3	4	rögar	0	0	0
müdahele	3	3	4	müdahale	139	100	194
hemşeri	0	0	4	hemşehri	0	0	0
ötenazi	13	3	4	ötanazi	1	1	1
parlemento	1	1	4	parlamento	75	52	197
adele	5	3	3	adale	1	1	109
kollektif	3	3	3	kolektif	1	1	1
orjinal	2	2	3	orijinal	11	9	9
mustarip	2	2	2	muzdarip	1	1	1
dinazor	2	1	2	dinozor	3	1	1
dakka	1	1	2	dakika	77	65	99
acenta	0	0	2	acente	0	0	0
laboratuar	0	0	2	laboratuvar	10	7	14
espiri	1	1	2	espri	8	8	18
şöför	0	0	2	şoför	7	6	21
mevlüt	2	2	2	mevlut	0	0	0
barsak	0	0	2	bağırsak	2	2	4
usül	0	0	2	usul	0	0	21
kipri	0	0	2	kirpi	0	0	1
yanlız	2	2	2	yalnız	28	21	49
filim	0	0	2	film	52	31	65
afganlı	1	1	1	afgan	59	32	151
azemi	2	1	1	azami	7	7	9
fantazi	1	1	1	fantezi	2	2	3
santranç	1	1	1	satranç	2	1	1
meslekdaş	0	0	1	meslektaş	0	0	19
kominist	1	1	1	komünist	60	45	48
sovan	1	1	1	soğan	0	0	0
riks	0	0	1	risk	18	18	62
mönü	0	0	1	menü	1	1	4
taxi	1	1	1	taksi	3	3	9
motorsiklet	0	0	1	motosiklet	8	7	19
azerbeycan	1	1	1	azerbaycan	112	47	56
yayınlamak	0	0	1	yayımlamak	2	2	2
nisbet	0	0	1	nispet	0	0	6
parlementer	0	0	1	parlamenter	10	9	20
personeller	0	0	1	personel	25	22	55
psikiyatrist	0	0	1	psikiyatr	0	0	3
insiyatif	0	0	1	inisiyatif	2	2	8
arefe	0	0	1	arife	0	0	5
döküman	1	1	1	doküman	0	0	4
egsoz	0	0	0	egzoz	4	4	4
herıld	0	0	0	herhalde	9	6	6
heycan	0	0	0	heyecan	14	12	36
şarz	0	0	0	şarj	1	1	6
ultümaton	0	0	0	ültimatom	5	3	3
oporlor	0	0	0	hoparlör	0	0	2
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	1	1	1
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	48	42	142
aptes	0	0	0	abdest	5	2	4
teşfik	0	0	0	teşvik	64	57	63
çünki	0	0	0	çünkü	136	119	119
steteskop	0	0	0	stetoskop	0	0	0
alimünyum	0	0	0	alüminyum	3	3	3
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	1
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	2	2	2
rakkam	0	0	0	rakam	32	29	91
traş	0	0	0	tıraş	2	2	2
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	112	47	56
bilimum	0	0	0	bilumum	1	1	1
pattes	0	0	0	patates	8	3	3
ataç	0	0	0	ataş	0	0	3
aparatif	0	0	0	aperitif	0	0	0
ekistra	0	0	0	ekstra	7	6	6
labaratuvar	0	0	0	laboratuvar	10	7	14
taşaron	0	0	0	taşeron	3	2	2
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	2
poaça	0	0	0	poğaça	0	0	0
distribitör	0	0	0	distribütör	0	0	0
görseller	0	0	0	görüntüler	38	32	123
senle	0	0	0	seninle	7	3	3
parağraf	0	0	0	paragraf	0	0	1
alarım	0	0	0	alarm	19	18	41
eşşek	0	0	0	eşek	7	2	5
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
mahçup	0	0	0	mahcup	1	1	1
şifai	0	0	0	şifahi	0	0	0
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	5	3	3
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	3	3	5
ultimatom	0	0	0	ültimatom	5	3	3
hoporlör	0	0	0	hoparlör	0	0	2
uydurmasyon	0	0	0	uydurma	3	3	5
gazte	0	0	0	gazete	137	86	499
proleterya	0	0	0	proletarya	0	0	0
vehamet	0	0	0	vahamet	0	0	1
şemşiye	0	0	0	şemsiye	0	0	3
gravat	0	0	0	kravat	0	0	2
