typo	tf	df	sdf	correct	tf	df	sdf
itibariyle	348	255	255	itibarıyla	144	94	94
onla	1	1	214	onunla	17	14	14
makina	9	8	22	makine	55	39	81
eşyalar	6	5	14	eşya	50	28	57
ünvan	0	0	13	unvan	2	2	37
yunanlı	5	4	12	yunan	57	35	135
ıstanbul	8	7	7	istanbul	1421	661	752
hintli	6	5	6	hint	1	1	7
laboratuar	2	2	5	laboratuvar	2	2	12
mevlüt	18	5	5	mevlut	2	2	2
personeller	0	0	5	personel	164	75	130
acenta	0	0	4	acente	2	2	13
usül	9	3	4	usul	39	24	72
ataç	3	3	3	ataş	0	0	16
hıristiyan	3	3	3	hristiyan	2	2	2
öğe	1	1	3	öge	0	0	1
orjinal	3	3	3	orijinal	19	14	15
insiyatif	1	1	3	inisiyatif	2	2	8
bugünki	2	2	2	bugünkü	154	136	136
tekrardan	2	2	2	tekrar	183	143	168
hemşeri	0	0	2	hemşehri	0	0	7
kaparo	5	2	2	kapora	8	3	3
azerbeycan	1	1	2	azerbaycan	113	58	64
menejer	2	2	2	menajer	0	0	0
yanlız	0	0	2	yalnız	33	29	94
yayınlamak	2	2	2	yayımlamak	1	1	1
dokunmatik	2	2	2	dokunmalı	0	0	0
süpriz	3	2	2	sürpriz	50	38	53
şarz	1	1	1	şarj	51	11	12
adele	1	1	1	adale	0	0	56
rezarvasyon	0	0	1	rezervasyon	4	2	8
traş	0	0	1	tıraş	3	3	3
taşaron	1	1	1	taşeron	50	17	19
harfiyat	0	0	1	hafriyat	9	6	7
müracat	0	0	1	müracaat	46	33	41
çinakop	1	1	1	çinekop	20	6	6
çoşku	0	0	1	coşku	1	1	9
espiri	0	0	1	espri	5	5	16
şöför	1	1	1	şoför	8	5	17
müdahele	0	0	1	müdahale	35	23	42
tesbit	0	0	1	tespit	307	189	250
biodizel	2	1	1	biyodizel	3	2	2
kaysı	0	0	1	kayısı	5	3	3
meyva	0	0	1	meyve	85	42	65
maydonoz	1	1	1	maydanoz	1	1	1
halisünasyon	1	1	1	halüsinasyon	0	0	0
panaroma	1	1	1	panorama	0	0	0
viyolo	1	1	1	viyola	0	0	0
parelel	1	1	1	paralel	98	80	88
ahçı	0	0	1	aşçı	3	3	4
ıskonto	1	1	1	iskonto	3	3	4
restorant	2	1	1	restoran	43	31	43
egsoz	0	0	0	egzoz	4	2	3
herıld	0	0	0	herhalde	29	23	23
heycan	0	0	0	heyecan	14	12	47
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	2	2	2
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	12	9	9
teferuat	0	0	0	teferruat	0	0	1
herkez	0	0	0	herkes	136	105	187
aptes	0	0	0	abdest	1	1	1
teşfik	0	0	0	teşvik	277	144	169
çünki	0	0	0	çünkü	344	242	242
steteskop	0	0	0	stetoskop	0	0	0
alimünyum	0	0	0	alüminyum	44	10	10
tahtarevalli	0	0	0	tahterevalli	1	1	1
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	4	4	4
rakkam	0	0	0	rakam	159	138	442
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	113	58	64
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	20	10	10
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	12
ekistra	0	0	0	ekstra	24	24	24
labaratuvar	0	0	0	laboratuvar	2	2	12
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	3	3	3
distribitör	0	0	0	distribütör	5	4	28
görseller	0	0	0	görüntüler	7	5	14
