typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	721	onunla	112	89	89
itibariyle	203	156	156	itibarıyla	207	144	144
eşyalar	28	18	55	eşya	81	31	92
mönü	9	6	26	menü	4	3	11
hıristiyan	19	15	25	hristiyan	7	5	8
makina	12	8	19	makine	51	35	107
öğe	2	2	15	öge	0	0	4
ünvan	0	0	14	unvan	4	3	55
mevlüt	18	14	14	mevlut	3	2	2
hemşeri	0	0	11	hemşehri	1	1	10
laboratuar	4	3	10	laboratuvar	17	11	33
yunanlı	9	6	10	yunan	123	65	160
ıstanbul	14	8	9	istanbul	2412	1109	1332
tekrardan	10	9	9	tekrar	355	290	356
dokunmatik	14	9	9	dokunmalı	0	0	0
artis	0	0	9	artist	2	2	9
benle	7	7	8	benimle	75	63	63
personeller	3	3	8	personel	155	97	184
adele	12	5	7	adale	2	2	280
mustarip	6	6	6	muzdarip	2	2	2
görseller	3	3	6	görüntüler	76	68	217
siluet	1	1	6	silüet	2	2	9
tesbit	1	1	6	tespit	458	322	397
süpriz	3	3	6	sürpriz	183	150	183
çoşku	2	1	5	coşku	17	17	80
psikiyatrist	5	3	5	psikiyatr	4	3	19
traş	2	2	4	tıraş	19	7	12
dakka	2	1	4	dakika	337	229	459
acenta	1	1	4	acente	4	2	6
hintli	3	3	4	hint	23	18	26
espiri	3	1	4	espri	23	18	71
müdahele	2	2	4	müdahale	362	215	337
insiyatif	1	1	4	inisiyatif	20	18	35
eşgal	0	0	3	eşkal	2	1	4
şevkat	0	0	3	şefkat	17	10	23
taxi	2	2	3	taksi	33	28	160
motorsiklet	2	2	3	motosiklet	16	12	29
tadilatlar	0	0	3	tadilat	13	10	17
yanlız	3	3	3	yalnız	174	138	242
viyolo	0	0	3	viyola	0	0	0
orjinal	3	2	3	orijinal	42	28	35
pantalon	2	2	3	pantolon	15	11	35
mahçup	2	2	2	mahcup	12	12	12
müracat	1	1	2	müracaat	72	38	49
fasülye	2	2	2	fasulye	20	9	11
silahşör	3	1	2	silahşor	2	2	2
sıvas	0	0	2	sivas	70	50	105
sezeryan	1	1	2	sezaryen	0	0	4
muhattap	4	2	2	muhatap	40	27	38
tesbih	4	2	2	tespih	5	2	5
usül	1	1	2	usul	43	23	82
nisbet	0	0	2	nispet	0	0	19
telafuz	2	2	2	telaffuz	19	18	18
seramoni	0	0	2	seremoni	4	4	8
döküman	0	0	2	doküman	5	4	15
karekter	0	0	2	karakter	53	33	138
alimünyum	1	1	1	alüminyum	4	4	5
karnıbahar	1	1	1	karnabahar	3	2	2
canbaz	0	0	1	cambaz	3	1	2
lakayt	2	1	1	lakayıt	0	0	0
azarbaycan	1	1	1	azerbaycan	96	42	56
ataç	1	1	1	ataş	1	1	32
labaratuvar	0	0	1	laboratuvar	17	11	33
senle	1	1	1	seninle	16	15	15
eşşek	1	1	1	eşek	19	9	11
şifai	1	1	1	şifahi	0	0	0
santranç	1	1	1	satranç	15	7	8
kollektif	1	1	1	kolektif	23	13	13
meslekdaş	0	0	1	meslektaş	0	0	53
harfiyat	0	0	1	hafriyat	6	5	6
leyen	1	1	1	leğen	3	3	5
hakkaten	1	1	1	hakikaten	32	31	31
çinakop	1	1	1	çinekop	8	1	1
sağnak	1	1	1	sağanak	65	18	18
bilmemezlik	0	0	1	bilmezlik	0	0	1
aşşağı	1	1	1	aşağı	89	75	167
inkilap	0	0	1	inkılap	2	2	7
menüsküs	1	1	1	menisküs	1	1	1
kareografi	1	1	1	koreografi	5	3	6
erzağı	0	0	1	erzakı	0	0	0
romörkör	0	0	1	römorkör	1	1	3
kolleksiyon	0	0	1	koleksiyon	18	15	57
kominist	1	1	1	komünist	30	18	19
felan	1	1	1	falan	69	52	55
üzre	0	0	1	üzere	1004	796	816
testesteron	1	1	1	testosteron	4	2	2
maktül	1	1	1	maktul	2	2	8
barsak	1	1	1	bağırsak	8	5	16
megolaman	0	0	1	megaloman	0	0	0
maydonoz	1	1	1	maydanoz	21	11	13
kalemşör	1	1	1	kalemşor	0	0	0
pisküvi	0	0	1	bisküvi	7	6	7
kontur	0	0	1	kontör	9	8	9
poça	0	0	1	poğaça	5	4	4
yayınlamak	1	1	1	yayımlamak	1	1	1
parlemento	1	1	1	parlamento	42	33	115
techizat	0	0	1	teçhizat	5	5	10
payton	1	1	1	fayton	2	1	1
diyaloga	1	1	1	diyaloğa	4	4	4
parlementer	1	1	1	parlamenter	26	19	26
nacizane	1	1	1	naçizane	1	1	1
istihbaratlar	0	0	1	istihbarat	190	127	152
filim	0	0	1	film	570	210	402
kilot	0	0	1	külot	0	0	2
antreman	1	1	1	antrenman	37	29	61
yımırta	1	1	1	yumurta	91	37	44
restorant	1	1	1	restoran	36	31	77
sarmısak	0	0	1	sarımsak	23	8	10
egsoz	0	0	0	egzoz	2	2	2
herıld	0	0	0	herhalde	77	66	66
heycan	0	0	0	heyecan	83	72	219
şarz	0	0	0	şarj	24	16	28
ultümaton	0	0	0	ültimatom	1	1	1
oporlor	0	0	0	hoparlör	0	0	8
ceton	0	0	0	jeton	1	1	2
gökan	0	0	0	gökhan	223	111	114
teferuat	0	0	0	teferruat	1	1	4
herkez	0	0	0	herkes	536	369	683
aptes	0	0	0	abdest	4	3	6
teşfik	0	0	0	teşvik	269	128	163
çünki	0	0	0	çünkü	926	575	575
steteskop	0	0	0	stetoskop	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	1	1	1
mozayik	0	0	0	mozaik	7	5	8
rezarvasyon	0	0	0	rezervasyon	10	9	16
rakkam	0	0	0	rakam	117	92	300
südyen	0	0	0	sütyen	0	0	1
bilimum	0	0	0	bilumum	1	1	1
pattes	0	0	0	patates	37	24	25
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	8	5	56
ekistra	0	0	0	ekstra	38	33	36
taşaron	0	0	0	taşeron	25	13	16
florasan	0	0	0	floresan	0	0	1
menecer	0	0	0	menajer	21	16	72
poaça	0	0	0	poğaça	5	4	4
distribitör	0	0	0	distribütör	2	2	13
logar	0	0	0	rögar	2	2	3
parağraf	0	0	0	paragraf	2	2	3
alarım	0	0	0	alarm	23	21	59
celatin	0	0	0	jelatin	1	1	1
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	35	23	23
fantazi	0	0	0	fantezi	12	8	10
tenbih	0	0	0	tembih	1	1	3
arabeks	0	0	0	arabesk	18	12	14
tanpon	0	0	0	tampon	10	9	11
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	4	4	9
atmasyon	0	0	0	uydurma	7	6	21
ultimatom	0	0	0	ültimatom	1	1	1
hoporlör	0	0	0	hoparlör	0	0	8
uydurmasyon	0	0	0	uydurma	7	6	21
gazte	0	0	0	gazete	177	113	842
proleterya	0	0	0	proletarya	0	0	0
vehamet	0	0	0	vahamet	1	1	4
şemşiye	0	0	0	şemsiye	5	4	11
gravat	0	0	0	kravat	9	5	7
kurdale	0	0	0	kurdele	7	5	9
halisinasyon	0	0	0	halüsinasyon	1	1	1
asvalt	0	0	0	asfalt	17	11	15
süprüz	0	0	0	sürpriz	183	150	183
kolanya	0	0	0	kolonya	1	1	1
dinazor	0	0	0	dinozor	3	2	3
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	14	12	39
ekzantrik	0	0	0	eksantrik	1	1	1
yakinimdir	0	0	0	yakınımdır	0	0	0
kokreç	0	0	0	kokoreç	4	2	3
döndermek	0	0	0	döndürmek	4	4	4
egsantrik	0	0	0	eksantrik	1	1	1
afaroz	0	0	0	aforoz	1	1	1
şarter	0	0	0	şalter	1	1	2
afilli	0	0	0	afili	3	3	4
promasyon	0	0	0	promosyon	18	6	15
cenderme	0	0	0	jandarma	198	104	115
duymamazlık	0	0	0	duymazlık	0	0	0
subap	0	0	0	supap	0	0	0
ukela	0	0	0	ukala	3	2	3
düyüm	0	0	0	düğüm	3	3	6
satlık	0	0	0	satılık	8	8	8
ukele	0	0	0	ukala	3	2	3
püsküvüt	0	0	0	bisküvi	7	6	7
prooram	0	0	0	program	154	116	546
opsayd	0	0	0	ofsayt	7	6	8
miğde	0	0	0	mide	34	20	39
tenbel	0	0	0	tembel	9	6	10
