typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	158	onunla	21	16	16
ıstanbul	37	23	26	istanbul	653	285	365
eşyalar	3	2	12	eşya	2	1	15
artis	0	0	11	artist	8	7	11
öğe	0	0	10	öge	0	0	2
viyolo	0	0	9	viyola	4	3	4
itibariyle	8	8	8	itibarıyla	1	1	1
adele	14	6	6	adale	0	0	24
yunanlı	1	1	4	yunan	11	6	26
tekrardan	4	4	4	tekrar	59	54	65
hıristiyan	2	1	4	hristiyan	10	4	4
filim	5	3	4	film	989	272	378
psikiyatrist	3	3	4	psikiyatr	0	0	4
makina	0	0	3	makine	3	3	17
ünvan	0	0	3	unvan	0	0	25
hintli	3	3	3	hint	7	5	8
zerafet	2	2	3	zarafet	0	0	3
süpriz	4	3	3	sürpriz	26	25	46
kollektif	2	2	2	kolektif	8	8	13
kakafoni	2	2	2	kakofoni	0	0	0
çoşku	1	1	2	coşku	2	2	24
kolleksiyon	0	0	2	koleksiyon	23	10	58
mevlüt	2	2	2	mevlut	0	0	0
orjinal	1	1	2	orijinal	27	21	28
görseller	0	0	1	görüntüler	14	14	31
mahçup	0	0	1	mahcup	0	0	0
meslekdaş	0	0	1	meslektaş	0	0	8
acenta	0	0	1	acente	0	0	0
laboratuar	0	0	1	laboratuvar	0	0	2
kareografi	0	0	1	koreografi	4	4	19
sütüdyo	0	0	1	stüdyo	17	15	36
entellektüel	1	1	1	entelektüel	10	6	10
salomanje	1	1	1	salamanje	0	0	0
istakoz	1	1	1	ıstakoz	0	0	0
usül	0	0	1	usul	0	0	5
motorsiklet	1	1	1	motosiklet	3	2	5
mentalite	0	0	1	mantalite	0	0	1
yayınlamak	1	1	1	yayımlamak	0	0	0
gaste	0	0	1	gazete	20	16	119
ahçı	1	1	1	aşçı	3	3	5
döküman	0	0	1	doküman	0	0	1
karekter	0	0	1	karakter	28	23	99
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	8	6	6
heycan	0	0	0	heyecan	28	25	67
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	33	23	23
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	69	53	131
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	22	16	27
çünki	0	0	0	çünkü	154	91	91
steteskop	0	0	0	stetoskop	0	0	0
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	11	4	4
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	23	7	7
rakkam	0	0	0	rakam	4	3	28
traş	0	0	0	tıraş	1	1	1
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	1
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	20	9	11
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	5	4	4
ataç	0	0	0	ataş	0	0	9
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	11	3	7
ekistra	0	0	0	ekstra	0	0	0
labaratuvar	0	0	0	laboratuvar	0	0	2
taşaron	0	0	0	taşeron	13	4	4
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	2	2	4
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	3	3	3
parağraf	0	0	0	paragraf	0	0	0
alarım	0	0	0	alarm	1	1	2
eşşek	0	0	0	eşek	0	0	0
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	2	1	3
