typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	248	onunla	90	76	76
itibariyle	21	20	20	itibarıyla	6	5	5
eşyalar	1	1	18	eşya	3	2	20
adele	27	13	14	adale	0	0	19
artis	0	0	9	artist	3	3	9
ünvan	0	0	7	unvan	2	2	16
ıstanbul	6	4	6	istanbul	452	247	316
süpriz	5	5	6	sürpriz	173	134	175
görseller	0	0	5	görüntüler	21	21	72
espiri	2	2	5	espri	24	21	55
karekter	0	0	4	karakter	87	56	257
öğe	0	0	3	öge	0	0	3
kontur	3	3	3	kontör	0	0	0
traş	0	0	2	tıraş	1	1	3
fantazi	1	1	2	fantezi	2	1	2
makina	0	0	2	makine	7	4	15
dakka	3	2	2	dakika	112	69	121
çoşku	0	0	2	coşku	1	1	55
entellektüel	2	2	2	entelektüel	2	2	3
tekrardan	2	2	2	tekrar	127	105	112
mönü	0	0	2	menü	1	1	2
taxi	0	0	2	taksi	9	7	41
menejer	0	0	2	menajer	2	2	42
ötenazi	2	2	2	ötanazi	8	3	3
yayınlamak	0	0	2	yayımlamak	0	0	1
benle	2	2	2	benimle	72	59	62
heycan	0	0	1	heyecan	59	51	158
canbaz	1	1	1	cambaz	1	1	2
arabeks	2	1	1	arabesk	21	15	20
sağnak	1	1	1	sağanak	0	0	0
fasülye	0	0	1	fasulye	0	0	0
silahşör	1	1	1	silahşor	0	0	0
küpür	0	0	1	kupür	0	0	0
bugünki	1	1	1	bugünkü	7	7	7
mevlüt	1	1	1	mevlut	1	1	1
hıristiyan	1	1	1	hristiyan	1	1	1
tesbit	1	1	1	tespit	23	19	25
tesbih	1	1	1	tespih	2	2	2
hemşeri	0	0	1	hemşehri	0	0	3
seyehat	1	1	1	seyahat	12	10	18
yanlız	1	1	1	yalnız	101	87	119
orjinal	1	1	1	orijinal	12	12	20
kapşon	0	0	1	kapüşon	0	0	2
artiz	1	1	1	artist	3	3	9
psikiyatrist	2	1	1	psikiyatr	2	2	5
pardesü	0	0	1	pardösü	0	0	0
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	49	41	41
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	1
gökan	0	0	0	gökhan	54	24	24
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	228	160	313
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	6	6	20
çünki	0	0	0	çünkü	404	211	211
steteskop	0	0	0	stetoskop	0	0	0
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	2	1	2
mozayik	0	0	0	mozaik	0	0	2
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	1	1	2
rakkam	0	0	0	rakam	7	6	19
südyen	0	0	0	sütyen	3	2	5
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	17	7	9
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	1	1	1
ataç	0	0	0	ataş	0	0	4
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	1
ekistra	0	0	0	ekstra	6	5	5
labaratuvar	0	0	0	laboratuvar	2	2	2
taşaron	0	0	0	taşeron	0	0	0
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	2	2	42
poaça	0	0	0	poğaça	0	0	2
mustarip	0	0	0	muzdarip	1	1	1
distribitör	0	0	0	distribütör	0	0	1
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	20	16	16
parağraf	0	0	0	paragraf	0	0	0
alarım	0	0	0	alarm	1	1	3
eşşek	0	0	0	eşek	6	5	5
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	0	0	0
mahçup	0	0	0	mahcup	1	1	1
şifai	0	0	0	şifahi	0	0	0
tenbih	0	0	0	tembih	0	0	1
tanpon	0	0	0	tampon	0	0	0
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	1	1	5
atmasyon	0	0	0	uydurma	1	1	3
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	1	1	3
gazte	0	0	0	gazete	15	15	193
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	9	3	3
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	0	0	2
gravat	0	0	0	kravat	0	0	1
kurdale	0	0	0	kurdele	0	0	2
kollektif	0	0	0	kolektif	3	3	3
halisinasyon	0	0	0	halüsinasyon	0	0	0
asvalt	0	0	0	asfalt	0	0	0
meslekdaş	0	0	0	meslektaş	0	0	9
süprüz	0	0	0	sürpriz	173	134	175
kolanya	0	0	0	kolonya	0	0	0
dinazor	0	0	0	dinozor	2	1	1
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	9	5	13
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	1
kokreç	0	0	0	kokoreç	0	0	0
döndermek	0	0	0	döndürmek	0	0	0
egsantrik	0	0	0	eksantrik	0	0	0
acenta	0	0	0	acente	0	0	1
afaroz	0	0	0	aforoz	0	0	0
şarter	0	0	0	şalter	1	1	1
afilli	0	0	0	afili	1	1	1
promasyon	0	0	0	promosyon	3	2	2
cenderme	0	0	0	jandarma	6	4	5
duymamazlık	0	0	0	duymazlık	0	0	1
harfiyat	0	0	0	hafriyat	0	0	0
subap	0	0	0	supap	0	0	0
ukela	0	0	0	ukala	12	8	10
düyüm	0	0	0	düğüm	0	0	1
leyen	0	0	0	leğen	0	0	0
satlık	0	0	0	satılık	1	1	1
ukele	0	0	0	ukala	12	8	10
hakkaten	0	0	0	hakikaten	13	12	12
püsküvüt	0	0	0	bisküvi	0	0	3
prooram	0	0	0	program	90	67	431
opsayd	0	0	0	ofsayt	0	0	0
miğde	0	0	0	mide	4	3	11
müracat	0	0	0	müracaat	0	0	0
tenbel	0	0	0	tembel	5	3	3
karisör	0	0	0	karoser	0	0	0
