typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	110	onunla	16	16	16
itibariyle	24	18	18	itibarıyla	23	10	10
laboratuar	14	12	15	laboratuvar	32	26	57
psikiyatrist	8	8	13	psikiyatr	2	1	44
eşyalar	3	3	12	eşya	1	1	18
barsak	8	7	7	bağırsak	78	48	71
öğe	0	0	7	öge	2	2	2
tetanoz	5	5	5	tetanos	15	2	2
tesbit	4	4	4	tespit	251	172	184
mönü	0	0	3	menü	6	4	10
ünvan	0	0	2	unvan	0	0	6
siluet	0	0	2	silüet	0	0	0
müdahele	0	0	2	müdahale	98	65	96
vejeteryan	3	2	2	vejetaryen	2	1	1
tekrardan	2	2	2	tekrar	139	115	193
tesbih	2	2	2	tespih	1	1	1
traş	0	0	1	tıraş	9	3	3
labaratuvar	1	1	1	laboratuvar	32	26	57
mustarip	1	1	1	muzdarip	5	4	4
görseller	0	0	1	görüntüler	7	7	21
çoşku	0	0	1	coşku	0	0	11
silahşör	0	0	1	silahşor	0	0	0
akapunktur	2	1	1	akupunktur	28	10	11
menapoz	0	0	1	menopoz	33	19	28
yunanlı	1	1	1	yunan	0	0	5
sezeryan	1	1	1	sezaryen	35	13	19
usül	1	1	1	usul	5	4	10
allerji	8	1	1	alerji	35	28	62
maydonoz	1	1	1	maydanoz	9	7	8
radyosyon	1	1	1	radyasyon	59	21	28
benle	0	0	1	benimle	7	7	7
labaratuar	1	1	1	laboratuvar	32	26	57
personeller	0	0	1	personel	15	12	35
süpriz	1	1	1	sürpriz	3	3	5
insiyatif	0	0	1	inisiyatif	0	0	2
döküman	0	0	1	doküman	0	0	2
egsoz	0	0	0	egzoz	11	7	7
herıld	0	0	0	herhalde	3	3	3
heycan	0	0	0	heyecan	13	10	21
şarz	0	0	0	şarj	0	0	2
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	14	13	13
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	55	47	119
aptes	0	0	0	abdest	0	0	1
teşfik	0	0	0	teşvik	26	22	23
çünki	0	0	0	çünkü	304	224	224
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	10
