typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	803	onunla	114	107	107
itibariyle	139	120	120	itibarıyla	36	32	32
mevlüt	43	34	36	mevlut	0	0	0
eşyalar	6	5	20	eşya	1	1	22
antreman	3	3	16	antrenman	539	370	910
cimnastik	40	13	15	jimnastik	17	16	18
tekrardan	14	14	14	tekrar	526	426	508
ünvan	0	0	13	unvan	7	6	187
penbe	32	11	12	pembe	8	7	7
mentalite	3	3	9	mantalite	4	4	9
adele	1	1	8	adale	7	6	194
çoşku	0	0	8	coşku	33	31	174
anfi	0	0	8	amfi	1	1	1
öğe	0	0	8	öge	0	0	3
artis	0	0	8	artist	0	0	7
canbaz	8	7	7	cambaz	0	0	1
makina	1	1	7	makine	4	2	23
benle	7	7	7	benimle	102	81	81
yunanlı	7	5	5	yunan	77	51	166
menejer	0	0	5	menajer	163	135	472
telafuz	5	5	5	telaffuz	4	4	4
mahçup	4	4	4	mahcup	19	18	18
laboratuar	2	2	4	laboratuvar	2	2	4
hintli	4	4	4	hint	5	5	11
müdahele	3	3	4	müdahale	119	103	179
testesteron	8	4	4	testosteron	3	3	3
gaste	0	0	4	gazete	65	49	659
herkez	3	3	3	herkes	628	479	822
duymamazlık	0	0	3	duymazlık	0	0	1
müracat	3	3	3	müracaat	16	12	18
kareografi	3	2	3	koreografi	9	6	7
espiri	0	0	3	espri	23	22	66
muhattap	2	2	3	muhatap	17	17	26
süpriz	2	2	3	sürpriz	288	222	269
seramoni	0	0	3	seremoni	8	7	21
insiyatif	1	1	3	inisiyatif	10	8	20
heycan	1	1	2	heyecan	159	136	407
rezarvasyon	2	2	2	rezervasyon	3	2	4
mustarip	2	2	2	muzdarip	2	2	2
görseller	1	1	2	görüntüler	64	58	127
logar	2	2	2	rögar	0	0	0
kollektif	1	1	2	kolektif	5	5	5
ıstanbul	1	1	2	istanbul	2030	982	1609
tükrük	3	2	2	tükürük	38	26	29
usül	0	0	2	usul	16	12	35
diyaloga	3	2	2	diyaloğa	9	9	9
orjinal	1	1	2	orijinal	1	1	3
proğram	0	0	2	program	116	99	671
ataç	1	1	1	ataş	12	4	13
ultimatom	1	1	1	ültimatom	4	4	5
acenta	0	0	1	acente	0	0	3
miğde	1	1	1	mide	9	8	14
mürüvet	3	1	1	mürüvvet	10	4	4
sibop	0	0	1	supap	0	0	0
askari	1	1	1	asgari	29	15	18
menüsküs	1	1	1	menisküs	19	10	13
silahşör	1	1	1	silahşor	0	0	1
sütüdyo	0	0	1	stüdyo	0	0	5
şöför	0	0	1	şoför	5	3	12
küpür	0	0	1	kupür	0	0	0
bugünki	1	1	1	bugünkü	158	127	127
taxi	0	0	1	taksi	2	2	50
tesbih	2	1	1	tespih	0	0	0
motorsiklet	1	1	1	motosiklet	112	45	59
seyehat	1	1	1	seyahat	12	11	21
kontur	1	1	1	kontör	0	0	0
yanlız	1	1	1	yalnız	199	162	271
yayınlamak	1	1	1	yayımlamak	0	0	0
aferim	1	1	1	aferin	5	5	5
provakatör	1	1	1	provokatör	0	0	0
arefe	0	0	1	arife	2	2	5
parende	1	1	1	perende	0	0	0
restorant	0	0	1	restoran	1	1	18
bilader	1	1	1	birader	0	0	0
karekter	0	0	1	karakter	20	19	99
egsoz	0	0	0	egzoz	1	1	1
herıld	0	0	0	herhalde	74	61	61
şarz	0	0	0	şarj	1	1	2
ultümaton	0	0	0	ültimatom	4	4	5
oporlor	0	0	0	hoparlör	0	0	7
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	808	465	477
teferuat	0	0	0	teferruat	0	0	0
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	71	46	55
çünki	0	0	0	çünkü	789	555	555
steteskop	0	0	0	stetoskop	0	0	0
alimünyum	0	0	0	alüminyum	1	1	1
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rakkam	0	0	0	rakam	54	53	237
traş	0	0	0	tıraş	1	1	1
südyen	0	0	0	sütyen	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	75	42	65
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	1	1	2
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	6	2	5
ekistra	0	0	0	ekstra	74	60	64
labaratuvar	0	0	0	laboratuvar	2	2	4
taşaron	0	0	0	taşeron	0	0	0
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	163	135	472
poaça	0	0	0	poğaça	1	1	1
distribitör	0	0	0	distribütör	0	0	0
senle	0	0	0	seninle	33	25	25
parağraf	0	0	0	paragraf	0	0	0
alarım	0	0	0	alarm	2	2	8
eşşek	0	0	0	eşek	1	1	1
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	19	17	17
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	2	2	2
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	2	2	2
tanpon	0	0	0	tampon	0	0	1
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	2
atmasyon	0	0	0	uydurma	5	5	14
hoporlör	0	0	0	hoparlör	0	0	7
uydurmasyon	0	0	0	uydurma	5	5	14
gazte	0	0	0	gazete	65	49	659
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	69	20	21
vehamet	0	0	0	vahamet	0	0	1
şemşiye	0	0	0	şemsiye	1	1	1
gravat	0	0	0	kravat	3	3	4
kurdale	0	0	0	kurdele	3	3	5
halisinasyon	0	0	0	halüsinasyon	0	0	0
