typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	38	onunla	8	7	7
itibariyle	34	28	28	itibarıyla	12	8	8
dokunmatik	44	24	24	dokunmalı	0	0	0
görseller	5	4	5	görüntüler	20	10	37
öğe	2	2	5	öge	0	0	1
eşyalar	0	0	4	eşya	3	3	7
yunanlı	3	3	4	yunan	0	0	9
ünvan	0	0	3	unvan	0	0	4
orjinal	2	2	3	orijinal	5	1	2
labaratuvar	0	0	1	laboratuvar	5	5	18
makina	0	0	1	makine	5	5	25
laboratuar	0	0	1	laboratuvar	5	5	18
espiri	1	1	1	espri	0	0	0
müdahele	1	1	1	müdahale	7	7	12
mevlüt	1	1	1	mevlut	0	0	0
hıristiyan	1	1	1	hristiyan	2	2	3
mentalite	1	1	1	mantalite	0	0	0
yayınlamak	1	1	1	yayımlamak	0	0	0
parelel	1	1	1	paralel	5	5	6
artis	0	0	1	artist	2	1	1
deyer	1	1	1	değer	17	17	79
döküman	1	1	1	doküman	0	0	8
egsoz	0	0	0	egzoz	0	0	1
herıld	0	0	0	herhalde	2	2	2
heycan	0	0	0	heyecan	11	10	24
şarz	0	0	0	şarj	44	15	19
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	3	3	7
ceton	0	0	0	jeton	0	0	1
gökan	0	0	0	gökhan	0	0	0
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	22	19	53
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	17	10	13
çünki	0	0	0	çünkü	30	25	25
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	8
alimünyum	0	0	0	alüminyum	5	4	4
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	2	1	2
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	5	3	5
rakkam	0	0	0	rakam	10	7	42
traş	0	0	0	tıraş	0	0	0
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	10	7	8
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	1	1	1
ataç	0	0	0	ataş	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	1
ekistra	0	0	0	ekstra	12	10	10
taşaron	0	0	0	taşeron	0	0	0
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	3
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	1	1	4
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	0	0	0
parağraf	0	0	0	paragraf	0	0	0
alarım	0	0	0	alarm	5	5	5
eşşek	0	0	0	eşek	0	0	0
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	2	2	2
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	1	1	1
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	0	0	0
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	0	0	2
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	3	3	7
uydurmasyon	0	0	0	uydurma	0	0	2
gazte	0	0	0	gazete	5	5	26
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	0	0	0
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	2	1	1
gravat	0	0	0	kravat	0	0	0
kurdale	0	0	0	kurdele	0	0	0
kollektif	0	0	0	kolektif	0	0	0
halisinasyon	0	0	0	halüsinasyon	0	0	0
asvalt	0	0	0	asfalt	0	0	0
meslekdaş	0	0	0	meslektaş	0	0	2
süprüz	0	0	0	sürpriz	13	13	25
kolanya	0	0	0	kolonya	0	0	0
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	0	0	2
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	55	28	39
döndermek	0	0	0	döndürmek	1	1	1
egsantrik	0	0	0	eksantrik	0	0	0
acenta	0	0	0	acente	0	0	0
afaroz	0	0	0	aforoz	0	0	0
şarter	0	0	0	şalter	0	0	0
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	2	2	2
cenderme	0	0	0	jandarma	1	1	1
duymamazlık	0	0	0	duymazlık	0	0	0
harfiyat	0	0	0	hafriyat	0	0	0
subap	0	0	0	supap	0	0	0
ukela	0	0	0	ukala	0	0	0
düyüm	0	0	0	düğüm	0	0	0
leyen	0	0	0	leğen	0	0	0
satlık	0	0	0	satılık	0	0	0
ukele	0	0	0	ukala	0	0	0
hakkaten	0	0	0	hakikaten	1	1	1
püsküvüt	0	0	0	bisküvi	0	0	0
prooram	0	0	0	program	24	14	73
opsayd	0	0	0	ofsayt	2	1	1
miğde	0	0	0	mide	0	0	0
müracat	0	0	0	müracaat	1	1	2
tenbel	0	0	0	tembel	0	0	0
karisör	0	0	0	karoser	0	0	0
çinakop	0	0	0	çinekop	0	0	0
sağnak	0	0	0	sağanak	0	0	0
almamazlık	0	0	0	almazlık	0	0	0
fullemek	0	0	0	doldurmak	1	1	1
bilmemezlik	0	0	0	bilmezlik	0	0	0
kakafoni	0	0	0	kakofoni	0	0	0
mürettebatlar	0	0	0	mürettebat	0	0	0
aşşağı	0	0	0	aşağı	4	4	14
mürüvet	0	0	0	mürüvvet	0	0	0
gometri	0	0	0	geometri	1	1	1
valeybol	0	0	0	voleybol	0	0	0
aşırmasyon	0	0	0	aşırma	0	0	0
fasülye	0	0	0	fasulye	0	0	0
arozöz	0	0	0	arazöz	0	0	0
konsansüs	0	0	0	konsensüs	0	0	0
sibop	0	0	0	supap	0	0	0
kirbit	0	0	0	kibrit	2	2	2
askari	0	0	0	asgari	3	1	1
ıstanbul	0	0	0	istanbul	68	34	46
şevkat	0	0	0	şefkat	0	0	0
hintli	0	0	0	hint	7	3	3
amartisör	0	0	0	amortisör	0	0	0
kitlemek	0	0	0	kilitlemek	0	0	0
tirbüşon	0	0	0	tirbuşon	0	0	0
inkilap	0	0	0	inkılap	2	2	2
tahüt	0	0	0	taahüt	0	0	0
penbe	0	0	0	pembe	3	2	3
menüsküs	0	0	0	menisküs	0	0	0
çoşku	0	0	0	coşku	0	0	2
silahşör	0	0	0	silahşor	0	0	0
oğustos	0	0	0	ağustos	30	22	24
mütaakip	0	0	0	müteakip	0	0	0
kareografi	0	0	0	koreografi	0	0	0
tafsiye	0	0	0	tavsiye	16	16	19
komidin	0	0	0	komodin	0	0	0
megoloman	0	0	0	megaloman	0	0	0
matamatik	0	0	0	matematik	6	5	7
nötür	0	0	0	nötr	6	3	4
erzağı	0	0	0	erzakı	0	0	0
sütüdyo	0	0	0	stüdyo	1	1	10
ciyer	0	0	0	ciğer	0	0	0
sandöviç	0	0	0	sandviç	0	0	0
kollej	0	0	0	kolej	1	1	1
palyanço	0	0	0	palyaço	0	0	0
amaciyle	0	0	0	amacıyla	63	53	53
birfiil	0	0	0	bilfiil	0	0	0
keşki	0	0	0	keşke	0	0	0
eyitim	0	0	0	eğitim	89	35	54
siluet	0	0	0	silüet	0	0	0
takikardi	0	0	0	taşikardi	0	0	0
tamüden	0	0	0	taamüden	0	0	0
tiskinmek	0	0	0	tiksinmek	0	0	0
izalasyon	0	0	0	izolasyon	0	0	0
romörkör	0	0	0	römorkör	0	0	0
kolleksiyon	0	0	0	koleksiyon	0	0	3
şöför	0	0	0	şoför	0	0	0
eşortman	0	0	0	eşofman	0	0	0
küpür	0	0	0	kupür	0	0	0
pattiz	0	0	0	patates	1	1	1
kopye	0	0	0	kopya	0	0	12
erezyon	0	0	0	erozyon	0	0	0
kiprik	0	0	0	kirpik	0	0	0
entellektüel	0	0	0	entelektüel	0	0	0
akapunktur	0	0	0	akupunktur	0	0	0
kavonoz	0	0	0	kavanoz	0	0	0
ağostos	0	0	0	ağustos	30	22	24
anfi	0	0	0	amfi	0	0	1
tükrük	0	0	0	tükürük	0	0	0
sıvas	0	0	0	sivas	0	0	0
menapoz	0	0	0	menopoz	0	0	0
salomanje	0	0	0	salamanje	0	0	0
bugünki	0	0	0	bugünkü	4	4	4
kominist	0	0	0	komünist	0	0	0
fites	0	0	0	vites	0	0	0
şayibe	0	0	0	şaibe	0	0	0
nalet	0	0	0	lanet	0	0	1
felan	0	0	0	falan	0	0	0
ziğnet	0	0	0	ziynet	0	0	0
aşofman	0	0	0	eşofman	0	0	0
anartar	0	0	0	anahtar	14	8	11
çukolata	0	0	0	çikolata	0	0	0
sitriptiz	0	0	0	striptiz	0	0	0
anlamamazlık	0	0	0	anlamazlık	0	0	0
veleybol	0	0	0	voleybol	0	0	0
sezeryan	0	0	0	sezaryen	0	0	0
