typo	tf	df	sdf	correct	tf	df	sdf
onla	1	1	159	onunla	23	19	19
itibariyle	33	27	27	itibarıyla	23	16	16
eşyalar	2	2	15	eşya	9	8	23
mevlüt	16	12	12	mevlut	0	0	0
makina	0	0	8	makine	3	3	39
sağnak	6	5	5	sağanak	47	25	25
personeller	1	1	5	personel	62	38	90
siluet	1	1	4	silüet	0	0	3
müdahele	3	2	4	müdahale	198	137	209
hıristiyan	0	0	4	hristiyan	7	5	6
döküman	0	0	3	doküman	5	5	11
espiri	0	0	2	espri	7	3	8
entellektüel	1	1	2	entelektüel	1	1	1
tenefüs	2	2	2	teneffüs	0	0	1
tesbit	5	2	2	tespit	232	168	199
öğe	0	0	2	öge	5	2	2
tadilatlar	0	0	2	tadilat	6	5	7
yanlız	4	2	2	yalnız	43	36	48
yayınlamak	0	0	2	yayımlamak	0	0	0
benle	2	2	2	benimle	19	13	13
istihbaratlar	1	1	2	istihbarat	72	49	55
teşfik	1	1	1	teşvik	15	13	28
steteskop	0	0	1	stetoskop	0	0	0
ataç	2	1	1	ataş	0	0	3
görseller	1	1	1	görüntüler	35	25	70
mahçup	1	1	1	mahcup	8	6	7
şifai	1	1	1	şifahi	0	0	0
vehamet	0	0	1	vahamet	0	0	1
eşgal	0	0	1	eşkal	2	1	3
harfiyat	1	1	1	hafriyat	5	2	2
ünvan	0	0	1	unvan	1	1	10
aşşağı	1	1	1	aşağı	24	21	52
şevkat	0	0	1	şefkat	2	2	5
şöför	0	0	1	şoför	19	16	40
küpür	0	0	1	kupür	0	0	3
bugünki	1	1	1	bugünkü	23	21	21
muhattap	1	1	1	muhatap	18	16	20
taxi	1	1	1	taksi	17	12	61
tesbih	2	1	1	tespih	1	1	1
barsak	1	1	1	bağırsak	9	2	3
usül	0	0	1	usul	11	9	27
ötenazi	1	1	1	ötanazi	0	0	0
parlemento	1	1	1	parlamento	15	13	36
mağma	1	1	1	magma	0	0	0
filim	0	0	1	film	17	13	22
artis	0	0	1	artist	1	1	1
antreman	0	0	1	antrenman	3	2	2
insiyatif	0	0	1	inisiyatif	1	1	2
provakatör	0	0	1	provokatör	0	0	1
kurdela	1	1	1	kurdele	1	1	2
restorant	0	0	1	restoran	5	5	14
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	18	17	17
heycan	0	0	0	heyecan	11	8	26
şarz	0	0	0	şarj	0	0	9
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	2	1	4
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	45	24	24
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	96	79	148
aptes	0	0	0	abdest	5	2	3
çünki	0	0	0	çünkü	154	111	111
adele	0	0	0	adale	0	0	110
alimünyum	0	0	0	alüminyum	1	1	1
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	1
rakkam	0	0	0	rakam	13	8	34
traş	0	0	0	tıraş	0	0	1
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	2	2	3
