typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	34	onunla	6	5	5
eşyalar	3	3	9	eşya	5	3	12
senle	2	2	2	seninle	6	2	2
eşgal	1	1	2	eşkal	0	0	1
ünvan	0	0	2	unvan	0	0	7
ıstanbul	1	1	2	istanbul	127	79	110
müdahele	1	1	2	müdahale	29	20	59
mevlüt	5	2	2	mevlut	0	0	0
itibariyle	2	2	2	itibarıyla	0	0	0
traş	2	1	1	tıraş	1	1	1
canbaz	3	1	1	cambaz	0	0	0
görseller	0	0	1	görüntüler	12	9	25
eşşek	2	1	1	eşek	4	2	2
acenta	0	0	1	acente	0	0	2
sağnak	2	1	1	sağanak	120	19	19
arozöz	1	1	1	arazöz	4	3	3
laboratuar	0	0	1	laboratuvar	0	0	0
hıristiyan	1	1	1	hristiyan	1	1	1
tenefüs	1	1	1	teneffüs	1	1	1
tesbit	0	0	1	tespit	59	50	55
motorsiklet	1	1	1	motosiklet	4	3	7
orjinal	1	1	1	orijinal	2	2	7
personeller	1	1	1	personel	7	4	14
egsoz	0	0	0	egzoz	1	1	1
herıld	0	0	0	herhalde	1	1	1
heycan	0	0	0	heyecan	3	2	9
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	16	4	4
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	11	11	27
aptes	0	0	0	abdest	2	2	2
teşfik	0	0	0	teşvik	4	3	5
çünki	0	0	0	çünkü	9	8	8
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	7
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	2
rakkam	0	0	0	rakam	3	3	10
südyen	0	0	0	sütyen	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	0	0	0
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	0	0	0
ataç	0	0	0	ataş	0	0	1
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	1	1	4
ekistra	0	0	0	ekstra	0	0	0
labaratuvar	0	0	0	laboratuvar	0	0	0
taşaron	0	0	0	taşeron	2	1	1
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	3
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
logar	0	0	0	rögar	0	0	0
