typo	tf	df	sdf	correct	tf	df	sdf
onla	85	70	692	onunla	695	280	280
itibariyle	1515	370	370	itibarıyla	643	162	162
öğe	214	107	364	öge	834	180	382
leyen	1551	272	278	leğen	50	17	19
eşyalar	191	84	206	eşya	1311	192	320
makina	215	68	179	makine	1157	271	436
laboratuar	414	77	119	laboratuvar	1067	150	207
görseller	209	55	87	görüntüler	541	136	215
ünvan	40	31	84	unvan	557	134	214
entellektüel	102	65	74	entelektüel	805	253	261
kollektif	471	70	70	kolektif	771	162	163
yunanlı	44	27	66	yunan	1963	243	407
yayınlamak	56	31	64	yayımlamak	41	24	32
tekrardan	91	56	56	tekrar	6166	711	730
artis	3	3	55	artist	11	7	52
döküman	22	18	54	doküman	423	113	202
hıristiyan	125	29	48	hristiyan	234	62	86
acenta	28	10	46	acente	263	40	114
tesbit	51	31	46	tespit	3959	504	526
nisbet	38	23	45	nispet	22	11	289
barsak	154	39	44	bağırsak	413	53	69
logar	31	11	42	rögar	0	0	0
personeller	38	17	37	personel	5356	411	505
hintli	18	15	34	hint	394	80	104
psikiyatrist	31	20	31	psikiyatr	9	8	93
orjinal	30	23	30	orijinal	421	213	230
tiyo	1	1	29	tüyo	0	0	2
usül	25	16	29	usul	1799	349	461
ıstanbul	32	22	28	istanbul	8960	551	554
müdahele	34	23	28	müdahale	2832	452	519
mönü	28	13	26	menü	1769	61	134
tetanoz	65	26	26	tetanos	20	18	20
ıstırap	48	24	26	ızdırap	25	13	17
klavuz	10	6	25	kılavuz	120	77	267
çoşku	0	0	24	coşku	50	30	180
allerji	10	10	24	alerji	56	31	63
kontur	10	6	24	kontör	12	9	15
insiyatif	16	8	24	inisiyatif	232	91	145
ataç	55	20	23	ataş	3	3	17
siluet	22	9	23	silüet	13	3	8
adele	1	1	19	adale	25	21	392
fasülye	8	8	19	fasulye	294	50	67
proleterya	38	17	17	proletarya	86	29	30
dokunmatik	48	17	17	dokunmalı	2	2	2
karekter	6	3	17	karakter	1587	293	569
tükrük	23	14	16	tükürük	192	52	53
traş	26	14	15	tıraş	80	41	51
menapoz	14	13	15	menopoz	61	26	27
meyva	10	7	15	meyve	1908	169	225
ıskonto	15	9	15	iskonto	523	39	47
ötenazi	45	13	14	ötanazi	15	5	5
parelel	14	11	14	paralel	2222	581	605
steteskop	15	10	12	stetoskop	8	7	7
senle	4	3	12	seninle	22	16	17
atelye	1	1	12	atölye	180	78	164
tesbih	17	12	12	tespih	11	7	7
yanlız	10	8	12	yalnız	1753	404	556
