typo	tf	df	sdf	correct	tf	df	sdf
onla	1	1	8	onunla	13	6	6
öğe	2	2	7	öge	3	1	3
makina	5	2	4	makine	17	3	6
laboratuar	1	1	4	laboratuvar	1	1	1
itibariyle	29	4	4	itibarıyla	5	1	1
görseller	0	0	2	görüntüler	0	0	1
eşyalar	0	0	2	eşya	18	4	6
ünvan	2	2	2	unvan	69	5	5
espiri	0	0	2	espri	2	2	3
yunanlı	0	0	2	yunan	8	5	8
muhattap	2	2	2	muhatap	24	1	1
zerafet	4	2	2	zarafet	14	2	2
klavuz	0	0	2	kılavuz	11	2	6
dokunmatik	2	2	2	dokunmalı	0	0	0
insiyatif	4	2	2	inisiyatif	38	4	4
döküman	0	0	2	doküman	7	4	4
traş	0	0	1	tıraş	1	1	1
ataç	1	1	1	ataş	0	0	2
penbe	0	0	1	pembe	0	0	0
entellektüel	1	1	1	entelektüel	5	1	1
tekrardan	1	1	1	tekrar	104	8	8
mönü	0	0	1	menü	0	0	2
usül	0	0	1	usul	11	5	6
yayınlamak	3	1	1	yayımlamak	4	1	1
ıstırap	1	1	1	ızdırap	0	0	0
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	2	2	2
heycan	0	0	0	heyecan	5	5	5
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	4	2	2
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	57	8	8
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	37	5	5
çünki	0	0	0	çünkü	204	6	6
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	6
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	6	1	3
rakkam	0	0	0	rakam	38	5	6
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	2	2	2
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	1
ekistra	0	0	0	ekstra	2	2	2
labaratuvar	0	0	0	laboratuvar	1	1	1
taşaron	0	0	0	taşeron	8	1	1
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	2	2	2
parağraf	0	0	0	paragraf	57	1	5
alarım	0	0	0	alarm	0	0	1
eşşek	0	0	0	eşek	0	0	0
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	6	3	3
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	0	0	0
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	2	2	2
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	0	0	2
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	0	0	2
gazte	0	0	0	gazete	20	8	8
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	2	1	1
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	2	2	2
gravat	0	0	0	kravat	1	1	1
kurdale	0	0	0	kurdele	0	0	0
kollektif	0	0	0	kolektif	1	1	1
halisinasyon	0	0	0	halüsinasyon	0	0	0
asvalt	0	0	0	asfalt	0	0	0
meslekdaş	0	0	0	meslektaş	4	2	4
süprüz	0	0	0	sürpriz	0	0	0
kolanya	0	0	0	kolonya	0	0	0
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	0	0	0
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
