typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	10	onunla	10	7	7
itibariyle	14	8	8	itibarıyla	0	0	0
öğe	4	3	7	öge	10	2	5
psikiyatrist	3	3	6	psikiyatr	0	0	7
acenta	0	0	4	acente	0	0	0
insiyatif	4	1	4	inisiyatif	11	4	4
kollektif	3	3	3	kolektif	2	2	2
yunanlı	3	3	3	yunan	0	0	5
barsak	36	3	3	bağırsak	12	3	3
seyehat	3	3	3	seyahat	20	9	9
allerji	0	0	3	alerji	0	0	3
proğram	0	0	3	program	16	6	10
eşyalar	2	2	2	eşya	3	2	3
makina	2	1	2	makine	3	3	6
ıstanbul	2	2	2	istanbul	167	10	10
görseller	21	1	1	görüntüler	15	2	5
ünvan	0	0	1	unvan	1	1	1
siluet	0	0	1	silüet	0	0	0
entellektüel	1	1	1	entelektüel	3	1	1
mönü	0	0	1	menü	0	0	0
tenefüs	1	1	1	teneffüs	0	0	0
ıstırap	1	1	1	ızdırap	0	0	0
artis	0	0	1	artist	0	0	1
döküman	1	1	1	doküman	2	1	3
pardesü	0	0	1	pardösü	0	0	0
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	3	2	2
heycan	0	0	0	heyecan	18	6	6
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	1	1	1
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	1	1	1
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	44	10	10
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	181	10	10
çünki	0	0	0	çünkü	243	10	10
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	9
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	1
rakkam	0	0	0	rakam	0	0	3
traş	0	0	0	tıraş	1	1	1
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	0	0	0
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	0	0	0
ataç	0	0	0	ataş	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	0
ekistra	0	0	0	ekstra	4	2	2
labaratuvar	0	0	0	laboratuvar	1	1	1
taşaron	0	0	0	taşeron	0	0	0
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	1	1	1
parağraf	0	0	0	paragraf	1	1	1
alarım	0	0	0	alarm	48	3	4
eşşek	0	0	0	eşek	0	0	0
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	5	1	1
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	0	0	0
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	0	0	0
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	0	0	6
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	1	1	1
uydurmasyon	0	0	0	uydurma	0	0	6
gazte	0	0	0	gazete	6	3	7
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	0	0	0
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	0	0	1
gravat	0	0	0	kravat	0	0	1
kurdale	0	0	0	kurdele	0	0	0
halisinasyon	0	0	0	halüsinasyon	0	0	0
asvalt	0	0	0	asfalt	0	0	0
meslekdaş	0	0	0	meslektaş	0	0	2
süprüz	0	0	0	sürpriz	1	1	3
kolanya	0	0	0	kolonya	0	0	0
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	3	1	2
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	27	6	6
