typo	tf	df	sdf	correct	tf	df	sdf
onla	2	2	11	onunla	42	9	9
leyen	30	5	7	leğen	3	1	1
öğe	1	1	6	öge	17	6	9
üzre	7	4	4	üzere	302	11	11
itibariyle	13	4	4	itibarıyla	6	3	3
ıstırap	13	3	4	ızdırap	0	0	1
ataç	8	2	3	ataş	0	0	0
nisbet	4	3	3	nispet	3	2	5
canbaz	2	2	2	cambaz	0	0	2
eşyalar	2	2	2	eşya	4	3	5
penbe	2	1	2	pembe	12	6	6
tesbit	2	2	2	tespit	35	5	6
tesbih	2	2	2	tespih	2	2	2
meyva	1	1	2	meyve	0	0	6
benle	0	0	2	benimle	2	1	1
diyaloga	2	2	2	diyaloğa	5	2	2
çünki	6	1	1	çünkü	222	11	11
görseller	1	1	1	görüntüler	6	2	3
makina	0	0	1	makine	1	1	4
kollektif	2	1	1	kolektif	5	2	2
ünvan	0	0	1	unvan	8	5	5
sağnak	2	1	1	sağanak	0	0	0
hintli	1	1	1	hint	14	3	4
usül	1	1	1	usul	8	8	10
zerafet	1	1	1	zarafet	0	0	0
azerbeycan	1	1	1	azerbaycan	8	4	5
mefta	1	1	1	mevta	0	0	0
kontur	0	0	1	kontör	0	0	0
mundar	1	1	1	murdar	0	0	0
artis	0	0	1	artist	0	0	1
pantalon	0	0	1	pantolon	0	0	2
döküman	0	0	1	doküman	0	0	2
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	2	1	1
heycan	0	0	0	heyecan	16	7	8
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	5	3	3
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	29	9	11
aptes	0	0	0	abdest	3	3	3
teşfik	0	0	0	teşvik	2	1	1
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	7
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	0
rakkam	0	0	0	rakam	0	0	1
traş	0	0	0	tıraş	2	2	2
südyen	0	0	0	sütyen	0	0	0
