typo	tf	df	sdf	correct	tf	df	sdf
makina	27	3	9	makine	21	9	10
onla	1	1	6	onunla	0	0	0
leyen	15	5	5	leğen	0	0	0
laboratuar	1	1	3	laboratuvar	6	3	4
eşyalar	3	2	2	eşya	8	3	5
itibariyle	13	2	2	itibarıyla	7	1	1
parelel	2	2	2	paralel	120	12	12
alimünyum	0	0	1	alüminyum	48	8	8
traş	1	1	1	tıraş	1	1	1
görseller	0	0	1	görüntüler	1	1	2
logar	1	1	1	rögar	0	0	0
senle	0	0	1	seninle	0	0	0
atelye	0	0	1	atölye	44	2	5
ünvan	0	0	1	unvan	0	0	1
egzost	2	1	1	egzoz	22	4	6
tekrardan	1	1	1	tekrar	72	13	13
egzos	0	0	1	egzoz	22	4	6
tadilatlar	0	0	1	tadilat	3	1	1
eksoz	0	0	1	egzoz	22	4	6
techizat	1	1	1	teçhizat	1	1	3
evye	2	1	1	eviye	0	0	0
döküman	0	0	1	doküman	1	1	1
karekter	0	0	1	karakter	8	2	10
pardesü	1	1	1	pardösü	0	0	0
egsoz	0	0	0	egzoz	22	4	6
herıld	0	0	0	herhalde	0	0	0
heycan	0	0	0	heyecan	1	1	2
şarz	0	0	0	şarj	5	3	3
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	1	1	1
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	3	2	2
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	7	4	7
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	14	2	2
çünki	0	0	0	çünkü	48	13	13
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	3
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	3	1	1
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	0
rakkam	0	0	0	rakam	5	5	9
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	0	0	1
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	1	1	1
ataç	0	0	0	ataş	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	4	1	1
ekistra	0	0	0	ekstra	6	3	4
labaratuvar	0	0	0	laboratuvar	6	3	4
taşaron	0	0	0	taşeron	0	0	0
florasan	0	0	0	floresan	7	3	3
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
parağraf	0	0	0	paragraf	0	0	0
alarım	0	0	0	alarm	7	3	3
eşşek	0	0	0	eşek	0	0	0
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	8	4	4
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	0	0	0
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	0	0	0
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	0	0	0
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	1	1	1
uydurmasyon	0	0	0	uydurma	0	0	0
gazte	0	0	0	gazete	5	3	5
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	0	0	0
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	0	0	0
gravat	0	0	0	kravat	0	0	0
kurdale	0	0	0	kurdele	0	0	0
kollektif	0	0	0	kolektif	0	0	0
halisinasyon	0	0	0	halüsinasyon	0	0	0
asvalt	0	0	0	asfalt	10	2	3
meslekdaş	0	0	0	meslektaş	0	0	0
süprüz	0	0	0	sürpriz	0	0	0
kolanya	0	0	0	kolonya	0	0	0
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
ekzantrik	0	0	0	eksantrik	7	1	1
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	14	3	4
döndermek	0	0	0	döndürmek	2	1	2
egsantrik	0	0	0	eksantrik	7	1	1
acenta	0	0	0	acente	0	0	0
afaroz	0	0	0	aforoz	0	0	0
şarter	0	0	0	şalter	63	2	2
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	0	0	0
cenderme	0	0	0	jandarma	0	0	0
duymamazlık	0	0	0	duymazlık	0	0	0
harfiyat	0	0	0	hafriyat	0	0	1
subap	0	0	0	supap	0	0	0
ukela	0	0	0	ukala	0	0	0
düyüm	0	0	0	düğüm	203	2	2
satlık	0	0	0	satılık	0	0	0
ukele	0	0	0	ukala	0	0	0
hakkaten	0	0	0	hakikaten	0	0	0
püsküvüt	0	0	0	bisküvi	0	0	0
prooram	0	0	0	program	20	4	11
opsayd	0	0	0	ofsayt	0	0	0
miğde	0	0	0	mide	0	0	0
müracat	0	0	0	müracaat	1	1	1
tenbel	0	0	0	tembel	3	2	2
karisör	0	0	0	karoser	0	0	0
çinakop	0	0	0	çinekop	0	0	0
sağnak	0	0	0	sağanak	0	0	0
almamazlık	0	0	0	almazlık	0	0	0
