typo	tf	df	sdf	correct	tf	df	sdf
onla	1	1	13	onunla	9	5	5
öğe	8	5	11	öge	11	7	8
eşyalar	3	2	6	eşya	4	4	7
makina	2	1	6	makine	26	6	10
leyen	50	4	4	leğen	0	0	0
mönü	6	3	4	menü	450	3	3
barsak	25	4	4	bağırsak	1	1	4
tesbih	3	3	3	tespih	0	0	0
allerji	0	0	3	alerji	0	0	1
görseller	3	2	2	görüntüler	12	4	4
senle	0	0	2	seninle	0	0	0
atelye	1	1	2	atölye	4	2	5
acenta	0	0	2	acente	0	0	2
hintli	1	1	2	hint	1	1	2
siluet	6	1	2	silüet	0	0	1
egzos	1	1	2	egzoz	1	1	1
itibariyle	3	2	2	itibarıyla	1	1	1
yayınlamak	2	2	2	yayımlamak	0	0	0
insiyatif	1	1	2	inisiyatif	1	1	1
döküman	1	1	2	doküman	1	1	2
florasan	2	1	1	floresan	17	1	1
fantazi	1	1	1	fantezi	17	3	3
eşgal	1	1	1	eşkal	0	0	0
nötür	0	0	1	nötr	3	2	2
yunanlı	0	0	1	yunan	23	2	7
tekrardan	3	1	1	tekrar	73	13	13
hıristiyan	0	0	1	hristiyan	0	0	0
tesbit	1	1	1	tespit	25	8	8
kontür	1	1	1	kontör	0	0	0
kontur	0	0	1	kontör	0	0	0
tadilatlar	1	1	1	tadilat	1	1	2
klavuz	2	1	1	kılavuz	0	0	4
ıstırap	1	1	1	ızdırap	0	0	0
dokunmatik	6	1	1	dokunmalı	0	0	0
orjinal	1	1	1	orijinal	3	3	3
proğram	0	0	1	program	31	6	12
artis	1	1	1	artist	0	0	1
kapşon	0	0	1	kapüşon	0	0	1
psikiyatrist	3	1	1	psikiyatr	0	0	2
anotomi	0	0	1	anatomi	0	0	3
restorant	0	0	1	restoran	9	3	5
karekter	0	0	1	karakter	11	8	12
pardesü	0	0	1	pardösü	10	3	3
egsoz	0	0	0	egzoz	1	1	1
herıld	0	0	0	herhalde	3	2	2
heycan	0	0	0	heyecan	10	4	5
şarz	0	0	0	şarj	2	1	1
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	1
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	0	0	0
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	25	9	10
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	24	5	6
çünki	0	0	0	çünkü	196	13	13
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	3	3	7
alimünyum	0	0	0	alüminyum	4	1	1
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	3	2	2
mozayik	0	0	0	mozaik	3	3	3
karnıbahar	0	0	0	karnabahar	12	3	3
rezarvasyon	0	0	0	rezervasyon	1	1	1
rakkam	0	0	0	rakam	3	2	3
traş	0	0	0	tıraş	5	1	1
südyen	0	0	0	sütyen	4	1	1
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	1	1	2
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	44	4	4
ataç	0	0	0	ataş	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	1	1	1
ekistra	0	0	0	ekstra	19	7	7
labaratuvar	0	0	0	laboratuvar	2	1	1
taşaron	0	0	0	taşeron	8	2	2
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	3	3	3
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
logar	0	0	0	rögar	0	0	0
parağraf	0	0	0	paragraf	0	0	0
alarım	0	0	0	alarm	31	2	2
eşşek	0	0	0	eşek	0	0	0
celatin	0	0	0	jelatin	3	3	3
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	4	4	4
mahçup	0	0	0	mahcup	1	1	1
şifai	0	0	0	şifahi	0	0	0
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	5	2	2
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	1	1	5
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	1
uydurmasyon	0	0	0	uydurma	1	1	5
gazte	0	0	0	gazete	9	7	10
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	0	0	0
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	1	1	2
gravat	0	0	0	kravat	7	2	3
kurdale	0	0	0	kurdele	2	1	1
kollektif	0	0	0	kolektif	3	1	2
halisinasyon	0	0	0	halüsinasyon	0	0	0
asvalt	0	0	0	asfalt	0	0	0
meslekdaş	0	0	0	meslektaş	0	0	0
süprüz	0	0	0	sürpriz	3	3	3
kolanya	0	0	0	kolonya	0	0	0
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	10	6	9
döndermek	0	0	0	döndürmek	1	1	1
egsantrik	0	0	0	eksantrik	0	0	0
afaroz	0	0	0	aforoz	0	0	0
şarter	0	0	0	şalter	4	1	1
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	2	2	2
cenderme	0	0	0	jandarma	0	0	0
duymamazlık	0	0	0	duymazlık	0	0	0
harfiyat	0	0	0	hafriyat	0	0	0
