typo	tf	df	sdf	correct	tf	df	sdf
onla	7	5	12	onunla	39	10	10
itibariyle	62	9	9	itibarıyla	3	1	1
leyen	4	3	3	leğen	0	0	0
kollektif	2	2	2	kolektif	12	3	3
ünvan	3	2	2	unvan	12	4	7
entellektüel	4	2	2	entelektüel	17	6	8
yunanlı	1	1	2	yunan	265	11	11
müsbet	3	2	2	müspet	18	1	1
hıristiyan	9	2	2	hristiyan	4	3	5
öğe	3	1	2	öge	5	3	8
nisbet	2	1	2	nispet	1	1	2
adele	0	0	1	adale	1	1	11
senle	1	1	1	seninle	0	0	0
tiyo	0	0	1	tüyo	0	0	0
proleterya	7	1	1	proletarya	2	1	1
eşyalar	0	0	1	eşya	1	1	3
makina	0	0	1	makine	9	3	5
dinazor	0	0	1	dinozor	0	0	0
laboratuar	1	1	1	laboratuvar	0	0	2
hintli	0	0	1	hint	7	3	3
tekrardan	1	1	1	tekrar	112	11	11
hemşeri	0	0	1	hemşehri	0	0	1
benle	0	0	1	benimle	0	0	0
orjinal	0	0	1	orijinal	10	6	6
parlementer	1	1	1	parlamenter	30	2	3
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	5	3	3
heycan	0	0	0	heyecan	6	3	4
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	0	0	0
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	51	11	12
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	5	2	2
çünki	0	0	0	çünkü	474	12	12
steteskop	0	0	0	stetoskop	0	0	0
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	0
rakkam	0	0	0	rakam	4	2	4
traş	0	0	0	tıraş	0	0	0
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	0	0	0
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	1	1	1
ataç	0	0	0	ataş	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	1
ekistra	0	0	0	ekstra	2	2	2
labaratuvar	0	0	0	laboratuvar	0	0	2
taşaron	0	0	0	taşeron	0	0	0
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
