typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	34	onunla	36	18	18
itibariyle	154	25	25	itibarıyla	140	23	23
kollektif	173	15	15	kolektif	38	16	16
eşyalar	41	9	14	eşya	421	22	26
leyen	66	14	14	leğen	0	0	0
öğe	6	4	11	öge	3	3	6
makina	9	3	10	makine	35	9	16
acenta	1	1	6	acente	162	6	9
tesbit	12	6	6	tespit	586	30	32
usül	7	4	6	usul	465	34	35
ünvan	0	0	5	unvan	101	15	24
tekrardan	6	5	5	tekrar	155	32	35
labaratuar	4	4	4	laboratuvar	2	1	5
peştemal	0	0	4	peştamal	0	0	0
meslekdaş	0	0	3	meslektaş	0	0	5
müdahele	3	3	3	müdahale	309	27	32
ötenazi	24	3	3	ötanazi	0	0	0
parlementer	0	0	3	parlamenter	28	8	8
psikiyatrist	2	1	3	psikiyatr	1	1	3
eşgal	2	2	2	eşkal	0	0	0
yunanlı	0	0	2	yunan	7	4	9
ahçı	2	2	2	aşçı	4	1	5
ataç	1	1	1	ataş	0	0	0
görseller	0	0	1	görüntüler	6	4	5
maktül	1	1	1	maktul	0	0	2
kontür	0	0	1	kontör	0	0	0
teşebüs	1	1	1	teşebbüs	119	19	23
nisbet	0	0	1	nispet	1	1	11
ıstırap	3	1	1	ızdırap	8	5	5
personeller	0	0	1	personel	310	16	22
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	10	6	6
heycan	0	0	0	heyecan	6	2	2
şarz	0	0	0	şarj	2	1	2
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	4	3	3
teferuat	0	0	0	teferruat	5	3	5
herkez	0	0	0	herkes	302	34	35
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	86	19	22
çünki	0	0	0	çünkü	413	32	32
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	32
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	1	1	1
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	4	4	4
rakkam	0	0	0	rakam	11	6	12
traş	0	0	0	tıraş	2	1	1
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	0	0	0
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	0
