typo	tf	df	sdf	correct	tf	df	sdf
onla	7	7	42	onunla	85	22	22
öğe	19	7	36	öge	83	24	37
leyen	84	18	20	leğen	0	0	0
itibariyle	19	13	13	itibarıyla	3	1	1
eşyalar	3	2	11	eşya	5	2	18
makina	2	2	11	makine	49	18	36
ünvan	1	1	8	unvan	14	8	10
görseller	3	1	7	görüntüler	26	18	33
entellektüel	1	1	7	entelektüel	25	23	25
tiyo	0	0	6	tüyo	0	0	0
duymamazlık	0	0	6	duymazlık	0	0	1
tekrardan	11	6	6	tekrar	310	35	42
artis	0	0	6	artist	0	0	6
herkez	9	5	5	herkes	219	35	42
arabeks	5	5	5	arabesk	5	5	5
çoşku	0	0	5	coşku	0	0	16
veleybol	5	5	5	voleybol	5	5	5
yanlız	5	5	5	yalnız	101	20	37
yayınlamak	2	1	5	yayımlamak	0	0	0
gaste	5	5	5	gazete	668	38	38
filim	5	5	5	film	161	29	32
süpriz	5	5	5	sürpriz	26	14	14
teşfik	4	4	4	teşvik	118	31	31
gravat	4	4	4	kravat	8	6	8
tiskinmek	4	4	4	tiksinmek	4	4	4
eşortman	4	4	4	eşofman	4	4	4
küpür	4	4	4	kupür	4	4	4
yalnış	8	4	4	yanlış	1641	37	37
maydonoz	4	4	4	maydanoz	4	4	4
kontur	0	0	4	kontör	0	0	0
laylon	4	4	4	naylon	4	4	7
ahçı	4	4	4	aşçı	7	5	6
döküman	2	2	4	doküman	4	3	16
orjinal	3	3	3	orijinal	17	11	13
parelel	3	3	3	paralel	74	27	32
gazte	0	0	2	gazete	668	38	38
hintli	0	0	2	hint	11	1	3
yunanlı	0	0	2	yunan	44	17	31
mevlüt	4	2	2	mevlut	0	0	0
hıristiyan	2	2	2	hristiyan	13	7	7
tesbit	2	2	2	tespit	97	28	28
parlemento	2	2	2	parlamento	3	3	8
nisbet	0	0	2	nispet	0	0	24
klavuz	0	0	2	kılavuz	2	2	18
dokunmatik	2	2	2	dokunmalı	1	1	1
logar	0	0	1	rögar	0	0	0
vehamet	0	0	1	vahamet	0	0	0
acenta	0	0	1	acente	0	0	0
