typo	tf	df	sdf	correct	tf	df	sdf
onla	2	2	4	onunla	4	2	2
görseller	12	2	2	görüntüler	3	3	3
eşyalar	4	1	2	eşya	8	2	2
leyen	4	2	2	leğen	0	0	0
öğe	0	0	2	öge	4	2	4
artis	0	0	2	artist	0	0	2
fantazi	1	1	1	fantezi	0	0	0
kollektif	1	1	1	kolektif	0	0	0
acenta	0	0	1	acente	0	0	0
ünvan	0	0	1	unvan	0	0	0
laboratuar	0	0	1	laboratuvar	0	0	1
ıstanbul	1	1	1	istanbul	97	2	2
siluet	0	0	1	silüet	0	0	0
entellektüel	6	1	1	entelektüel	7	3	3
anfi	0	0	1	amfi	0	0	0
tesbit	0	0	1	tespit	34	4	4
itibariyle	10	1	1	itibarıyla	2	1	1
tadilatlar	0	0	1	tadilat	2	1	1
yayınlamak	0	0	1	yayımlamak	0	0	0
nisbet	0	0	1	nispet	0	0	2
ahçı	0	0	1	aşçı	1	1	1
çiflik	1	1	1	çiftlik	0	0	0
döküman	0	0	1	doküman	3	1	1
karekter	0	0	1	karakter	2	2	4
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	1	1	1
heycan	0	0	0	heyecan	1	1	3
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	0	0	0
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	1	1	2
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	16	1	1
çünki	0	0	0	çünkü	28	4	4
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	3
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	7	1	1
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	0
rakkam	0	0	0	rakam	0	0	2
traş	0	0	0	tıraş	0	0	0
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	1
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	0	0	0
bilimum	0	0	0	bilumum	0	0	0
