typo	tf	df	sdf	correct	tf	df	sdf
onla	2	2	16	onunla	21	10	10
öğe	14	7	13	öge	18	6	9
itibariyle	54	12	12	itibarıyla	2	2	2
yayınlamak	11	6	10	yayımlamak	5	4	5
görseller	13	4	6	görüntüler	27	10	14
makina	3	2	6	makine	26	8	13
entellektüel	3	3	5	entelektüel	38	10	10
yunanlı	0	0	5	yunan	53	13	13
kollektif	5	4	4	kolektif	41	10	10
parlemento	3	2	4	parlamento	26	6	8
ataç	5	3	3	ataş	0	0	0
eşyalar	3	3	3	eşya	4	3	5
hıristiyan	5	2	3	hristiyan	3	2	2
artis	0	0	3	artist	0	0	3
ahçı	5	3	3	aşçı	1	1	1
acenta	0	0	2	acente	0	0	1
leyen	4	2	2	leğen	0	0	0
laboratuar	1	1	2	laboratuvar	0	0	3
ıstanbul	2	2	2	istanbul	502	15	15
kolleksiyon	0	0	2	koleksiyon	1	1	4
erezyon	0	0	2	erozyon	0	0	4
gaste	3	2	2	gazete	840	16	16
ıstırap	2	2	2	ızdırap	1	1	2
orjinal	3	2	2	orijinal	8	4	5
parelel	2	2	2	paralel	119	15	15
istihbaratlar	6	2	2	istihbarat	120	6	6
döküman	1	1	2	doküman	6	4	8
herkez	1	1	1	herkes	78	13	16
arabeks	1	1	1	arabesk	3	3	3
gazte	0	0	1	gazete	840	16	16
proleterya	1	1	1	proletarya	8	4	4
asvalt	2	1	1	asfalt	6	3	3
meslekdaş	1	1	1	meslektaş	0	0	3
ünvan	1	1	1	unvan	21	4	7
hintli	1	1	1	hint	4	3	4
inkilap	1	1	1	inkılap	5	5	7
palyanço	1	1	1	palyaço	1	1	2
espiri	1	1	1	espri	3	3	4
şöför	1	1	1	şoför	2	2	3
eşortman	2	1	1	eşofman	2	1	1
küpür	1	1	1	kupür	1	1	3
kavonoz	2	1	1	kavanoz	1	1	1
ilüzyon	1	1	1	illüzyon	0	0	1
üzre	1	1	1	üzere	421	16	16
tesbih	1	1	1	tespih	0	0	0
usül	0	0	1	usul	37	9	13
gardolap	1	1	1	gardırop	1	1	1
yalnış	1	1	1	yanlış	833	15	15
allerji	1	1	1	alerji	1	1	1
yanlız	1	1	1	yalnız	44	14	15
dokunmatik	9	1	1	dokunmalı	0	0	0
eksoz	2	1	1	egzoz	1	1	1
aliminyum	1	1	1	alüminyum	1	1	1
diyaloga	1	1	1	diyaloğa	2	1	1
parlementer	0	0	1	parlamenter	7	3	4
manüpülasyon	1	1	1	manipülasyon	17	9	12
filim	1	1	1	film	103	14	16
personeller	0	0	1	personel	24	8	10
proğram	1	1	1	program	226	15	16
süpriz	1	1	1	sürpriz	4	3	4
antreman	1	1	1	antrenman	1	1	1
insiyatif	0	0	1	inisiyatif	3	2	4
anotomi	0	0	1	anatomi	2	1	6
cimnastik	1	1	1	jimnastik	2	2	2
fortmanto	1	1	1	portmanto	1	1	1
egsoz	0	0	0	egzoz	1	1	1
herıld	0	0	0	herhalde	1	1	1
heycan	0	0	0	heyecan	28	7	8
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	1
gökan	0	0	0	gökhan	5	2	2
teferuat	0	0	0	teferruat	0	0	0
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	103	13	13
çünki	0	0	0	çünkü	378	16	16
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	13
alimünyum	0	0	0	alüminyum	1	1	1
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	4	4	4
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	2	2	2
rakkam	0	0	0	rakam	11	5	14
traş	0	0	0	tıraş	0	0	0
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	1
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	5	2	2
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	2	2	2
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	1
ekistra	0	0	0	ekstra	6	6	6
labaratuvar	0	0	0	laboratuvar	0	0	3
taşaron	0	0	0	taşeron	1	1	1
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	1	1	2
poaça	0	0	0	poğaça	1	1	1
mustarip	0	0	0	muzdarip	0	0	1
distribitör	0	0	0	distribütör	0	0	1
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	0	0	0
parağraf	0	0	0	paragraf	119	2	4
alarım	0	0	0	alarm	2	2	3
eşşek	0	0	0	eşek	0	0	1
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	8	4	5
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	1	1	2
tenbih	0	0	0	tembih	0	0	1
tanpon	0	0	0	tampon	0	0	0
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	7	5	8
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	7	5	8
santranç	0	0	0	satranç	2	1	1
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	0	0	1
gravat	0	0	0	kravat	1	1	1
kurdale	0	0	0	kurdele	2	2	2
halisinasyon	0	0	0	halüsinasyon	0	0	0
süprüz	0	0	0	sürpriz	4	3	4
kolanya	0	0	0	kolonya	0	0	0
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	0	0	2
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	39	11	12
döndermek	0	0	0	döndürmek	0	0	0
egsantrik	0	0	0	eksantrik	0	0	0
afaroz	0	0	0	aforoz	0	0	0
şarter	0	0	0	şalter	0	0	0
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	29	6	6
cenderme	0	0	0	jandarma	5	3	3
duymamazlık	0	0	0	duymazlık	0	0	0
