typo	tf	df	sdf	correct	tf	df	sdf
itibariyle	24	8	8	itibarıyla	0	0	0
onla	2	2	8	onunla	9	4	4
öğe	6	2	5	öge	1	1	3
eşyalar	5	2	3	eşya	8	3	4
makina	0	0	2	makine	10	4	7
yayınlamak	1	1	2	yayımlamak	0	0	0
personeller	1	1	2	personel	45	6	8
ataç	4	1	1	ataş	0	0	1
labaratuvar	0	0	1	laboratuvar	0	0	0
florasan	1	1	1	floresan	0	0	0
görseller	1	1	1	görüntüler	9	5	5
tiyo	0	0	1	tüyo	0	0	0
kollektif	1	1	1	kolektif	0	0	0
ünvan	0	0	1	unvan	2	2	4
leyen	4	1	1	leğen	0	0	0
entellektüel	1	1	1	entelektüel	1	1	1
mevlüt	1	1	1	mevlut	0	0	0
mönü	1	1	1	menü	0	0	4
hemşeri	0	0	1	hemşehri	0	0	0
meyva	0	0	1	meyve	13	3	3
azerbeycan	0	0	1	azerbaycan	0	0	0
dokunmatik	6	1	1	dokunmalı	0	0	0
ıskonto	1	1	1	iskonto	10	4	5
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	1	1	1
heycan	0	0	0	heyecan	13	5	5
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	1
gökan	0	0	0	gökhan	2	1	1
teferuat	0	0	0	teferruat	2	2	2
herkez	0	0	0	herkes	11	7	8
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	25	6	6
çünki	0	0	0	çünkü	120	8	8
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	4
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	2
mozayik	0	0	0	mozaik	2	1	1
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	7	3	3
rakkam	0	0	0	rakam	6	3	8
traş	0	0	0	tıraş	1	1	3
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	0	0	0
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	1	1	1
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	0
ekistra	0	0	0	ekstra	5	3	3
taşaron	0	0	0	taşeron	3	1	1
menecer	0	0	0	menajer	0	0	1
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	1
distribitör	0	0	0	distribütör	0	0	2
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	0	0	0
parağraf	0	0	0	paragraf	0	0	1
alarım	0	0	0	alarm	2	2	2
eşşek	0	0	0	eşek	0	0	0
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	1	1	1
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	0	0	0
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	0	0	0
aperatif	0	0	0	aperitif	0	0	0
atmasyon	0	0	0	uydurma	1	1	3
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	1	1	3
gazte	0	0	0	gazete	18	7	8
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	0	0	0
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	2	2	2
gravat	0	0	0	kravat	2	1	1
kurdale	0	0	0	kurdele	0	0	0
halisinasyon	0	0	0	halüsinasyon	0	0	0
asvalt	0	0	0	asfalt	0	0	0
meslekdaş	0	0	0	meslektaş	0	0	0
süprüz	0	0	0	sürpriz	1	1	3
kolanya	0	0	0	kolonya	0	0	0
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	0	0	1
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	13	4	5
döndermek	0	0	0	döndürmek	0	0	0
egsantrik	0	0	0	eksantrik	0	0	0
acenta	0	0	0	acente	1	1	4
afaroz	0	0	0	aforoz	0	0	0
şarter	0	0	0	şalter	0	0	0
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	29	7	8
cenderme	0	0	0	jandarma	0	0	0
duymamazlık	0	0	0	duymazlık	0	0	1
harfiyat	0	0	0	hafriyat	0	0	0
subap	0	0	0	supap	0	0	0
ukela	0	0	0	ukala	0	0	0
düyüm	0	0	0	düğüm	0	0	0
satlık	0	0	0	satılık	0	0	0
ukele	0	0	0	ukala	0	0	0
hakkaten	0	0	0	hakikaten	0	0	0
püsküvüt	0	0	0	bisküvi	2	2	2
prooram	0	0	0	program	16	6	8
opsayd	0	0	0	ofsayt	0	0	0
miğde	0	0	0	mide	0	0	0
müracat	0	0	0	müracaat	0	0	0
tenbel	0	0	0	tembel	0	0	0
karisör	0	0	0	karoser	0	0	0
çinakop	0	0	0	çinekop	0	0	0
sağnak	0	0	0	sağanak	0	0	0
