typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	30	onunla	18	13	13
öğe	1	1	21	öge	24	7	22
eşyalar	8	8	18	eşya	27	18	26
itibariyle	48	18	18	itibarıyla	21	9	9
leyen	165	9	9	leğen	0	0	0
traş	12	6	6	tıraş	4	1	7
görseller	6	6	6	görüntüler	3	1	2
acenta	0	0	6	acente	30	13	22
makina	0	0	5	makine	6	3	15
laboratuar	5	2	3	laboratuvar	1	1	3
hıristiyan	0	0	2	hristiyan	5	5	5
kollektif	1	1	1	kolektif	7	5	5
ıstanbul	4	1	1	istanbul	308	26	26
hintli	0	0	1	hint	0	0	1
kolleksiyon	0	0	1	koleksiyon	0	0	0
anfi	1	1	1	amfi	3	3	3
yayınlamak	0	0	1	yayımlamak	0	0	0
artis	0	0	1	artist	1	1	1
döküman	0	0	1	doküman	7	7	8
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	0	0	0
heycan	0	0	0	heyecan	21	12	12
şarz	0	0	0	şarj	1	1	1
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	2	2	2
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	52	20	29
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	173	21	21
çünki	0	0	0	çünkü	429	30	30
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	1
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	34	8	8
rakkam	0	0	0	rakam	14	9	10
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	1	1	1
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	10	10	10
ataç	0	0	0	ataş	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	0
ekistra	0	0	0	ekstra	10	9	9
labaratuvar	0	0	0	laboratuvar	1	1	3
taşaron	0	0	0	taşeron	0	0	0
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	1
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	10	2	5
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	0	0	0
parağraf	0	0	0	paragraf	2	2	7
alarım	0	0	0	alarm	0	0	6
eşşek	0	0	0	eşek	0	0	0
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	6	6	6
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	3	1	1
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	2	2	2
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	2	2	11
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	2	2	11
gazte	0	0	0	gazete	127	26	27
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	0	0	0
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	0	0	0
gravat	0	0	0	kravat	0	0	0
kurdale	0	0	0	kurdele	0	0	0
halisinasyon	0	0	0	halüsinasyon	0	0	0
asvalt	0	0	0	asfalt	1	1	1
meslekdaş	0	0	0	meslektaş	0	0	7
süprüz	0	0	0	sürpriz	8	7	7
kolanya	0	0	0	kolonya	0	0	0
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	0	0	0
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	13	13	14
döndermek	0	0	0	döndürmek	0	0	0
egsantrik	0	0	0	eksantrik	0	0	0
afaroz	0	0	0	aforoz	0	0	0
şarter	0	0	0	şalter	0	0	0
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	55	18	26
cenderme	0	0	0	jandarma	0	0	0
duymamazlık	0	0	0	duymazlık	0	0	0
harfiyat	0	0	0	hafriyat	0	0	0
ünvan	0	0	0	unvan	0	0	3
subap	0	0	0	supap	0	0	0
ukela	0	0	0	ukala	0	0	0
düyüm	0	0	0	düğüm	1	1	1
satlık	0	0	0	satılık	0	0	0
ukele	0	0	0	ukala	0	0	0
hakkaten	0	0	0	hakikaten	0	0	0
püsküvüt	0	0	0	bisküvi	12	12	12
prooram	0	0	0	program	42	17	30
opsayd	0	0	0	ofsayt	0	0	0
miğde	0	0	0	mide	0	0	0
müracat	0	0	0	müracaat	0	0	0
tenbel	0	0	0	tembel	0	0	1
karisör	0	0	0	karoser	0	0	0
çinakop	0	0	0	çinekop	0	0	0
sağnak	0	0	0	sağanak	0	0	0
almamazlık	0	0	0	almazlık	0	0	0
fullemek	0	0	0	doldurmak	2	2	2
bilmemezlik	0	0	0	bilmezlik	0	0	0
kakafoni	0	0	0	kakofoni	0	0	0
mürettebatlar	0	0	0	mürettebat	0	0	0
aşşağı	0	0	0	aşağı	27	19	28
mürüvet	0	0	0	mürüvvet	0	0	0
gometri	0	0	0	geometri	0	0	0
valeybol	0	0	0	voleybol	4	1	1
aşırmasyon	0	0	0	aşırma	0	0	0
fasülye	0	0	0	fasulye	0	0	0
arozöz	0	0	0	arazöz	0	0	0
konsansüs	0	0	0	konsensüs	0	0	0
sibop	0	0	0	supap	0	0	0
kirbit	0	0	0	kibrit	0	0	0
askari	0	0	0	asgari	5	2	2
şevkat	0	0	0	şefkat	0	0	0
amartisör	0	0	0	amortisör	0	0	0
kitlemek	0	0	0	kilitlemek	0	0	0
tirbüşon	0	0	0	tirbuşon	0	0	0
inkilap	0	0	0	inkılap	0	0	0
tahüt	0	0	0	taahüt	0	0	0
penbe	0	0	0	pembe	0	0	1
menüsküs	0	0	0	menisküs	0	0	0
çoşku	0	0	0	coşku	3	2	2
silahşör	0	0	0	silahşor	0	0	0
oğustos	0	0	0	ağustos	12	6	6
mütaakip	0	0	0	müteakip	0	0	0
kareografi	0	0	0	koreografi	0	0	0
tafsiye	0	0	0	tavsiye	23	12	17
komidin	0	0	0	komodin	0	0	0
megoloman	0	0	0	megaloman	0	0	0
matamatik	0	0	0	matematik	0	0	0
nötür	0	0	0	nötr	2	1	1
erzağı	0	0	0	erzakı	0	0	0
sütüdyo	0	0	0	stüdyo	7	6	7
ciyer	0	0	0	ciğer	0	0	0
sandöviç	0	0	0	sandviç	0	0	0
kollej	0	0	0	kolej	1	1	3
palyanço	0	0	0	palyaço	0	0	0
amaciyle	0	0	0	amacıyla	463	28	28
birfiil	0	0	0	bilfiil	0	0	0
keşki	0	0	0	keşke	0	0	0
eyitim	0	0	0	eğitim	239	28	28
siluet	0	0	0	silüet	0	0	0
takikardi	0	0	0	taşikardi	0	0	0
espiri	0	0	0	espri	2	2	4
tamüden	0	0	0	taamüden	0	0	0
tiskinmek	0	0	0	tiksinmek	0	0	0
izalasyon	0	0	0	izolasyon	0	0	0
romörkör	0	0	0	römorkör	0	0	0
şöför	0	0	0	şoför	0	0	5
eşortman	0	0	0	eşofman	0	0	1
müdahele	0	0	0	müdahale	55	19	19
küpür	0	0	0	kupür	0	0	0
pattiz	0	0	0	patates	10	10	10
kopye	0	0	0	kopya	4	4	13
erezyon	0	0	0	erozyon	0	0	1
kiprik	0	0	0	kirpik	0	0	0
entellektüel	0	0	0	entelektüel	16	10	11
akapunktur	0	0	0	akupunktur	0	0	0
kavonoz	0	0	0	kavanoz	5	5	5
ağostos	0	0	0	ağustos	12	6	6
tükrük	0	0	0	tükürük	0	0	0
sıvas	0	0	0	sivas	1	1	1
menapoz	0	0	0	menopoz	0	0	0
salomanje	0	0	0	salamanje	0	0	0
bugünki	0	0	0	bugünkü	16	14	14
kominist	0	0	0	komünist	0	0	0
yunanlı	0	0	0	yunan	2	2	11
fites	0	0	0	vites	0	0	0
şayibe	0	0	0	şaibe	0	0	0
nalet	0	0	0	lanet	0	0	0
felan	0	0	0	falan	0	0	0
ziğnet	0	0	0	ziynet	0	0	0
aşofman	0	0	0	eşofman	0	0	1
anartar	0	0	0	anahtar	228	30	30
çukolata	0	0	0	çikolata	6	2	2
sitriptiz	0	0	0	striptiz	0	0	0
anlamamazlık	0	0	0	anlamazlık	0	0	0
veleybol	0	0	0	voleybol	4	1	1
sezeryan	0	0	0	sezaryen	0	0	0
tasviye	0	0	0	tasfiye	2	2	3
ilüzyon	0	0	0	illüzyon	0	0	0
üzre	0	0	0	üzere	605	30	30
egzost	0	0	0	egzoz	0	0	0
şindi	0	0	0	şimdi	105	15	17
muhattap	0	0	0	muhatap	1	1	1
sovan	0	0	0	soğan	13	10	10
tasfir	0	0	0	tasvir	1	1	1
birhaber	0	0	0	bihaber	0	0	1
kozmatik	0	0	0	kozmetik	5	5	5
kanpanya	0	0	0	kampanya	63	15	27
riks	0	0	0	risk	109	24	29
variyetli	0	0	0	zengin	10	6	23
vejeteryan	0	0	0	vejetaryen	0	0	0
tahamül	0	0	0	tahammül	0	0	0
müsbet	0	0	0	müspet	0	0	0
antiparantez	0	0	0	antrparantez	0	0	0
mevlüt	0	0	0	mevlut	0	0	0
tekrardan	0	0	0	tekrar	192	30	30
mönü	0	0	0	menü	5	4	11
testesteron	0	0	0	testosteron	0	0	0
acizane	0	0	0	naçizane	0	0	0
tolorans	0	0	0	tolerans	0	0	10
tanımamazlık	0	0	0	tanımazlık	0	0	0
deynek	0	0	0	değnek	0	0	0
masus	0	0	0	mahsus	11	8	8
istepne	0	0	0	stepne	0	0	0
acitasyon	0	0	0	ajitasyon	0	0	0
opörlör	0	0	0	hoparlör	0	0	0
ezzane	0	0	0	eczane	1	1	2
karegrafi	0	0	0	koreografi	0	0	0
tenefüs	0	0	0	teneffüs	0	0	0
tesbit	0	0	0	tespit	88	26	28
üvertür	0	0	0	uvertür	0	0	0
profütürül	0	0	0	profiterol	0	0	0
istakoz	0	0	0	ıstakoz	0	0	0
maktül	0	0	0	maktul	0	0	0
merağını	0	0	0	merakını	0	0	0
taxi	0	0	0	taksi	1	1	16
tesbih	0	0	0	tespih	0	0	0
barsak	0	0	0	bağırsak	0	0	0
eskirim	0	0	0	eskrim	0	0	0
hukuğun	0	0	0	hukukun	3	3	3
hemşeri	0	0	0	hemşehri	0	0	0
yannız	0	0	0	yalnız	37	14	28
lağbo	0	0	0	lavabo	1	1	1
deyinmek	0	0	0	değinmek	8	7	10
usül	0	0	0	usul	7	7	14
zerafet	0	0	0	zarafet	0	0	0
mahlukatlar	0	0	0	mahlukat	0	0	0
motorsiklet	0	0	0	motosiklet	18	4	5
profütür	0	0	0	profiterol	0	0	0
egzos	0	0	0	egzoz	0	0	0
salomance	0	0	0	salamanje	0	0	0
kontür	0	0	0	kontör	5	5	5
karayca	0	0	0	karaimce	0	0	0
tetanoz	0	0	0	tetanos	0	0	0
biodizel	0	0	0	biyodizel	0	0	0
gardolap	0	0	0	gardırop	0	0	0
teşebüs	0	0	0	teşebbüs	5	5	10
eksozt	0	0	0	egzoz	0	0	0
kaysı	0	0	0	kayısı	0	0	0
çukulata	0	0	0	çikolata	6	2	2
yalnış	0	0	0	yanlış	1108	28	28
megolaman	0	0	0	megaloman	0	0	0
lavobo	0	0	0	lavabo	1	1	1
meyva	0	0	0	meyve	15	5	5
seyehat	0	0	0	seyahat	279	16	22
allerji	0	0	0	alerji	0	0	0
gangaster	0	0	0	gangster	0	0	0
kaparo	0	0	0	kapora	0	0	0
maydonoz	0	0	0	maydanoz	0	0	0
entrasan	0	0	0	enteresan	0	0	0
bisküüt	0	0	0	bisküvi	12	12	12
azarbeycan	0	0	0	azerbaycan	1	1	1
şanzuman	0	0	0	şanzıman	0	0	0
azerbeycan	0	0	0	azerbaycan	1	1	1
münübüs	0	0	0	minibüs	0	0	0
kalemşör	0	0	0	kalemşor	0	0	0
menejer	0	0	0	menajer	0	0	1
ötenazi	0	0	0	ötanazi	0	0	0
sandoviç	0	0	0	sandviç	0	0	0
deyil	0	0	0	değil	297	28	30
ahpab	0	0	0	ahbap	0	0	0
pisküvi	0	0	0	bisküvi	12	12	12
mentalite	0	0	0	mantalite	0	0	0
törörist	0	0	0	terörist	0	0	0
mefta	0	0	0	mevta	0	0	0
kırahathane	0	0	0	kıraathane	0	0	0
sohpet	0	0	0	sohbet	43	24	25
kipri	0	0	0	kirpi	0	0	0
kontur	0	0	0	kontör	5	5	5
tadilatlar	0	0	0	tadilat	0	0	0
ceryan	0	0	0	cereyan	0	0	0
yanlız	0	0	0	yalnız	37	14	28
mundar	0	0	0	murdar	0	0	0
kokareç	0	0	0	kokoreç	0	0	0
candarma	0	0	0	jandarma	0	0	0
nülüfer	0	0	0	nilüfer	0	0	0
poça	0	0	0	poğaça	0	0	0
