typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	16	onunla	15	8	8
öğe	0	0	12	öge	4	3	11
leyen	50	11	11	leğen	12	3	3
müdahele	15	8	9	müdahale	417	14	14
tetanoz	13	9	9	tetanos	4	2	2
fasülye	0	0	7	fasulye	0	0	0
menapoz	7	7	7	menopoz	3	2	2
itibariyle	7	5	5	itibarıyla	16	2	2
riks	0	0	3	risk	88	4	9
tekrardan	4	3	3	tekrar	243	15	15
eksoz	0	0	3	egzoz	0	0	0
laboratuar	4	2	2	laboratuvar	43	6	6
tükrük	4	2	2	tükürük	36	11	11
sezeryan	5	2	2	sezaryen	38	2	2
allerji	1	1	2	alerji	0	0	2
personeller	2	2	2	personel	119	12	13
döküman	0	0	2	doküman	5	2	3
adele	0	0	1	adale	2	1	3
görseller	0	0	1	görüntüler	0	0	0
logar	5	1	1	rögar	0	0	0
makina	0	0	1	makine	2	2	6
kolanya	0	0	1	kolonya	2	2	2
ünvan	0	0	1	unvan	1	1	2
askari	0	0	1	asgari	1	1	2
barsak	5	1	1	bağırsak	54	11	12
usül	1	1	1	usul	11	9	11
meyva	0	0	1	meyve	8	4	4
yayınlamak	0	0	1	yayımlamak	3	1	2
orjinal	1	1	1	orijinal	5	2	2
psikiyatrist	0	0	1	psikiyatr	0	0	2
karekter	0	0	1	karakter	4	3	15
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	0	0	0
heycan	0	0	0	heyecan	8	8	8
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	1	1	1
gökan	0	0	0	gökhan	38	11	11
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	92	12	16
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	9	3	3
çünki	0	0	0	çünkü	158	16	16
steteskop	0	0	0	stetoskop	0	0	0
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	12	3	3
karnıbahar	0	0	0	karnabahar	1	1	1
rezarvasyon	0	0	0	rezervasyon	0	0	0
rakkam	0	0	0	rakam	18	9	14
traş	0	0	0	tıraş	1	1	1
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	0	0	0
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	1	1	1
ataç	0	0	0	ataş	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	0
ekistra	0	0	0	ekstra	20	13	14
labaratuvar	0	0	0	laboratuvar	43	6	6
taşaron	0	0	0	taşeron	0	0	0
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
senle	0	0	0	seninle	0	0	0
parağraf	0	0	0	paragraf	0	0	1
alarım	0	0	0	alarm	6	5	5
eşşek	0	0	0	eşek	0	0	0
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	1
azemi	0	0	0	azami	0	0	0
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	0	0	0
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	0	0	10
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
