typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	23	onunla	18	9	9
itibariyle	52	20	20	itibarıyla	9	7	7
laboratuar	148	15	17	laboratuvar	237	17	17
öğe	0	0	15	öge	28	9	11
eşyalar	8	4	8	eşya	11	7	13
barsak	9	6	6	bağırsak	48	3	6
personeller	7	3	6	personel	576	20	23
makina	4	4	4	makine	28	8	14
tükrük	4	4	4	tükürük	4	4	4
döküman	3	3	4	doküman	45	6	17
görseller	0	0	3	görüntüler	11	7	10
ünvan	3	3	3	unvan	0	0	5
leyen	3	3	3	leğen	9	3	3
müracat	3	3	3	müracaat	56	12	12
siluet	0	0	3	silüet	0	0	0
müdahele	0	0	3	müdahale	112	20	21
radyosyon	3	3	3	radyasyon	75	10	13
olaraktan	9	3	3	olarak	5390	23	23
ıstırap	3	3	3	ızdırap	0	0	0
orjinal	3	3	3	orijinal	13	8	8
tenbih	0	0	2	tembih	0	0	0
acenta	0	0	2	acente	0	0	0
ıstanbul	2	2	2	istanbul	200	22	22
yunanlı	0	0	2	yunan	9	6	15
psikiyatrist	0	0	2	psikiyatr	0	0	12
küvöz	4	2	2	kuvöz	4	2	2
labaratuvar	0	0	1	laboratuvar	237	17	17
logar	1	1	1	rögar	0	0	0
usül	1	1	1	usul	84	19	23
ötenazi	2	1	1	ötanazi	0	0	0
dokunmatik	1	1	1	dokunmalı	0	0	0
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	0	0	0
heycan	0	0	0	heyecan	2	2	2
şarz	0	0	0	şarj	0	0	1
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	2	2	2
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	47	19	22
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	91	15	15
çünki	0	0	0	çünkü	189	19	19
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	6	6	16
alimünyum	0	0	0	alüminyum	2	2	2
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	0
rakkam	0	0	0	rakam	11	5	17
traş	0	0	0	tıraş	2	1	1
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	1	1	1
azarbaycan	0	0	0	azerbaycan	0	0	0
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	0	0	0
ataç	0	0	0	ataş	0	0	2
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	0
ekistra	0	0	0	ekstra	11	7	11
taşaron	0	0	0	taşeron	0	0	0
florasan	0	0	0	floresan	21	1	1
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	2	2	2
senle	0	0	0	seninle	0	0	0
parağraf	0	0	0	paragraf	1	1	1
alarım	0	0	0	alarm	2	2	2
eşşek	0	0	0	eşek	0	0	0
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	9	6	6
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	3	3	3
fantazi	0	0	0	fantezi	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	3	1	1
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	0	0	1
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	0	0	1
gazte	0	0	0	gazete	32	11	15
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	0	0	0
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	0	0	3
gravat	0	0	0	kravat	0	0	0
kurdale	0	0	0	kurdele	0	0	0
kollektif	0	0	0	kolektif	2	2	2
halisinasyon	0	0	0	halüsinasyon	1	1	1
asvalt	0	0	0	asfalt	0	0	0
meslekdaş	0	0	0	meslektaş	0	0	4
süprüz	0	0	0	sürpriz	0	0	0
kolanya	0	0	0	kolonya	0	0	0
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	5	3	5
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	10	8	14
döndermek	0	0	0	döndürmek	0	0	0
egsantrik	0	0	0	eksantrik	0	0	0
afaroz	0	0	0	aforoz	0	0	0
şarter	0	0	0	şalter	0	0	0
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	3	3	5
cenderme	0	0	0	jandarma	0	0	0
duymamazlık	0	0	0	duymazlık	0	0	0
harfiyat	0	0	0	hafriyat	0	0	0
subap	0	0	0	supap	0	0	0
ukela	0	0	0	ukala	0	0	0
düyüm	0	0	0	düğüm	0	0	4
satlık	0	0	0	satılık	0	0	0
ukele	0	0	0	ukala	0	0	0
hakkaten	0	0	0	hakikaten	0	0	0
püsküvüt	0	0	0	bisküvi	0	0	0
prooram	0	0	0	program	35	10	23
opsayd	0	0	0	ofsayt	0	0	0
