typo	tf	df	sdf	correct	tf	df	sdf
onla	3	3	20	onunla	21	11	11
leyen	86	12	12	leğen	0	0	0
öğe	5	3	12	öge	9	5	15
eşyalar	11	5	7	eşya	1	1	8
entellektüel	4	4	4	entelektüel	18	11	11
itibariyle	15	4	4	itibarıyla	16	11	11
proğram	0	0	4	program	61	14	20
egsoz	3	3	3	egzoz	0	0	0
steteskop	3	3	3	stetoskop	3	3	3
kollektif	3	3	3	kolektif	11	3	3
tükrük	3	3	3	tükürük	9	3	3
barsak	3	3	3	bağırsak	8	5	5
tetanoz	12	3	3	tetanos	1	1	1
allerji	3	3	3	alerji	3	3	3
trabzan	3	3	3	tırabzan	6	2	2
psikiyatrist	3	3	3	psikiyatr	0	0	12
makina	2	2	2	makine	2	1	6
laboratuar	0	0	2	laboratuvar	1	1	1
ıstanbul	0	0	2	istanbul	148	20	20
müsbet	2	2	2	müspet	0	0	0
hıristiyan	4	2	2	hristiyan	0	0	2
ıstırap	2	2	2	ızdırap	0	0	0
personeller	0	0	2	personel	87	14	19
döküman	2	2	2	doküman	0	0	1
proleterya	10	1	1	proletarya	1	1	1
çoşku	0	0	1	coşku	0	0	6
espiri	2	1	1	espri	0	0	0
müdahele	1	1	1	müdahale	401	20	20
yunanlı	0	0	1	yunan	16	3	6
yanlız	3	1	1	yalnız	141	20	20
herıld	0	0	0	herhalde	4	2	2
heycan	0	0	0	heyecan	9	6	9
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	2	2	2
gökan	0	0	0	gökhan	0	0	0
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	88	17	19
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	51	17	17
çünki	0	0	0	çünkü	226	20	20
adele	0	0	0	adale	4	2	20
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	0
rakkam	0	0	0	rakam	3	3	12
traş	0	0	0	tıraş	29	5	5
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	0	0	0
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	0	0	0
ataç	0	0	0	ataş	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	3
ekistra	0	0	0	ekstra	3	3	3
labaratuvar	0	0	0	laboratuvar	1	1	1
taşaron	0	0	0	taşeron	1	1	1
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
görseller	0	0	0	görüntüler	2	2	6
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	1	1	1
parağraf	0	0	0	paragraf	0	0	0
alarım	0	0	0	alarm	2	2	2
eşşek	0	0	0	eşek	3	3	3
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	8	8	8
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	0	0	0
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	2	1	1
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	2	1	2
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	2	1	2
gazte	0	0	0	gazete	55	11	13
santranç	0	0	0	satranç	0	0	0
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	0	0	0
gravat	0	0	0	kravat	0	0	0
kurdale	0	0	0	kurdele	0	0	0
