typo	tf	df	sdf	correct	tf	df	sdf
onla	13	10	55	onunla	81	27	27
itibariyle	74	33	33	itibarıyla	28	4	4
öğe	22	12	29	öge	81	32	42
laboratuar	19	17	22	laboratuvar	79	22	22
makina	9	7	18	makine	70	37	48
leyen	51	15	15	leğen	0	0	0
hıristiyan	7	7	14	hristiyan	13	9	16
nisbet	18	13	14	nispet	0	0	32
artis	0	0	14	artist	0	0	14
entellektüel	15	12	13	entelektüel	178	41	42
proleterya	18	12	12	proletarya	68	18	19
eşyalar	0	0	12	eşya	8	8	17
psikiyatrist	17	9	9	psikiyatr	2	1	16
kollektif	25	8	8	kolektif	371	40	40
mönü	2	2	6	menü	12	2	10
hintli	1	1	5	hint	45	19	22
egzos	0	0	5	egzoz	2	2	3
mahçup	4	4	4	mahcup	2	2	2
subap	4	4	4	supap	0	0	0
kontur	0	0	4	kontör	0	0	0
diyaloga	3	3	3	diyaloğa	0	0	0
steteskop	0	0	2	stetoskop	0	0	0
ataç	2	2	2	ataş	0	0	0
görseller	2	2	2	görüntüler	8	8	16
supab	12	2	2	supap	0	0	0
ünvan	1	1	2	unvan	78	11	18
kolleksiyon	0	0	2	koleksiyon	1	1	4
müdahele	2	2	2	müdahale	103	41	48
tekrardan	2	2	2	tekrar	438	51	52
tesbit	2	2	2	tespit	111	30	33
artiz	0	0	2	artist	0	0	14
arefe	6	2	2	arife	0	0	0
egsoz	0	0	1	egzoz	2	2	3
labaratuvar	1	1	1	laboratuvar	79	22	22
logar	0	0	1	rögar	0	0	0
senle	0	0	1	seninle	0	0	0
tiyo	0	0	1	tüyo	0	0	0
inkilap	4	1	1	inkılap	3	3	3
anfi	0	0	1	amfi	0	0	0
menapoz	1	1	1	menopoz	1	1	1
yunanlı	2	1	1	yunan	76	37	45
tasfir	0	0	1	tasvir	22	10	14
acizane	1	1	1	naçizane	0	0	0
tesbih	1	1	1	tespih	1	1	1
barsak	2	1	1	bağırsak	0	0	0
yayınlamak	0	0	1	yayımlamak	0	0	0
klavuz	0	0	1	kılavuz	0	0	14
parlementer	1	1	1	parlamenter	11	10	10
karekter	0	0	1	karakter	248	30	45
herıld	0	0	0	herhalde	8	4	4
heycan	0	0	0	heyecan	100	18	26
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	3	3	7
gökan	0	0	0	gökhan	6	5	5
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	241	52	55
aptes	0	0	0	abdest	0	0	2
teşfik	0	0	0	teşvik	66	17	17
çünki	0	0	0	çünkü	1676	54	54
adele	0	0	0	adale	1	1	40
alimünyum	0	0	0	alüminyum	8	4	4
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	1	1	1
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	10	4	4
rakkam	0	0	0	rakam	24	11	18
traş	0	0	0	tıraş	0	0	0
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	4	4	4
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	8	8	8
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	2	2	11
ekistra	0	0	0	ekstra	14	14	14
taşaron	0	0	0	taşeron	25	5	9
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	3
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
parağraf	0	0	0	paragraf	5	1	4
alarım	0	0	0	alarm	44	9	9
eşşek	0	0	0	eşek	2	1	1
celatin	0	0	0	jelatin	0	0	0
azemi	0	0	0	azami	8	3	6
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	6	4	4
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	10	10	10
tanpon	0	0	0	tampon	37	9	9
aperatif	0	0	0	aperitif	0	0	0
atmasyon	0	0	0	uydurma	4	4	18
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	4	4	18
gazte	0	0	0	gazete	97	35	42
santranç	0	0	0	satranç	12	8	10
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	2	1	1
gravat	0	0	0	kravat	16	10	10
kurdale	0	0	0	kurdele	6	6	6
halisinasyon	0	0	0	halüsinasyon	3	1	1
asvalt	0	0	0	asfalt	0	0	0
meslekdaş	0	0	0	meslektaş	0	0	11
süprüz	0	0	0	sürpriz	11	7	10
kolanya	0	0	0	kolonya	1	1	2
dinazor	0	0	0	dinozor	0	0	4
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	23	15	18
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	39	18	25
döndermek	0	0	0	döndürmek	1	1	4
egsantrik	0	0	0	eksantrik	0	0	0
acenta	0	0	0	acente	0	0	0
afaroz	0	0	0	aforoz	4	4	4
şarter	0	0	0	şalter	0	0	0
afilli	0	0	0	afili	2	2	2
promasyon	0	0	0	promosyon	1	1	4
cenderme	0	0	0	jandarma	6	6	6
