typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	7	onunla	1	1	1
öğe	2	1	6	öge	2	1	4
acenta	3	3	5	acente	0	0	4
yunanlı	12	3	4	yunan	27	5	5
itibariyle	11	4	4	itibarıyla	4	2	2
eşyalar	1	1	3	eşya	5	2	3
makina	0	0	3	makine	0	0	2
leyen	99	3	3	leğen	0	0	0
çoşku	0	0	3	coşku	0	0	2
ıstanbul	1	1	1	istanbul	161	7	7
hintli	0	0	1	hint	21	1	1
siluet	0	0	1	silüet	0	0	0
mönü	3	1	1	menü	12	1	2
hıristiyan	0	0	1	hristiyan	2	1	1
yayınlamak	0	0	1	yayımlamak	0	0	0
diyaloga	1	1	1	diyaloğa	0	0	0
parelel	1	1	1	paralel	24	7	7
personeller	1	1	1	personel	79	7	7
ıskonto	0	0	1	iskonto	0	0	0
egsoz	0	0	0	egzoz	1	1	1
herıld	0	0	0	herhalde	0	0	0
heycan	0	0	0	heyecan	21	6	6
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	2	2	2
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	21	5	5
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	15	3	3
çünki	0	0	0	çünkü	89	7	7
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	5
alimünyum	0	0	0	alüminyum	3	1	1
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	1
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	15	3	5
rakkam	0	0	0	rakam	2	2	7
traş	0	0	0	tıraş	0	0	0
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
