typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	4	onunla	19	4	4
karayca	3	3	3	karaimce	0	0	0
yayınlamak	0	0	3	yayımlamak	0	0	0
ataç	14	2	2	ataş	0	0	0
leyen	4	2	2	leğen	0	0	0
egsoz	1	1	1	egzoz	2	1	1
adele	1	1	1	adale	1	1	1
görseller	0	0	1	görüntüler	0	0	2
senle	2	1	1	seninle	2	1	1
eşşek	1	1	1	eşek	3	1	1
tenbih	0	0	1	tembih	0	0	0
arabeks	1	1	1	arabesk	1	1	1
eşyalar	3	1	1	eşya	4	3	3
makina	1	1	1	makine	3	2	2
cenderme	1	1	1	jandarma	5	3	3
ünvan	0	0	1	unvan	23	4	4
mürettebatlar	1	1	1	mürettebat	1	1	1
kirbit	1	1	1	kibrit	2	2	2
penbe	1	1	1	pembe	3	2	2
silahşör	0	0	1	silahşor	0	0	0
nötür	1	1	1	nötr	2	1	1
kollej	0	0	1	kolej	3	3	3
birfiil	1	1	1	bilfiil	1	1	1
şöför	1	1	1	şoför	5	3	3
kiprik	1	1	1	kirpik	2	2	2
entellektüel	1	1	1	entelektüel	4	3	3
anfi	1	1	1	amfi	1	1	1
yunanlı	1	1	1	yunan	36	4	4
nalet	1	1	1	lanet	1	1	1
üzre	1	1	1	üzere	253	4	4
muhattap	1	1	1	muhatap	3	1	1
müsbet	2	1	1	müspet	0	0	0
tesbit	1	1	1	tespit	25	4	4
taxi	0	0	1	taksi	0	0	2
yalnış	1	1	1	yanlış	160	3	3
meyva	1	1	1	meyve	5	2	2
allerji	1	1	1	alerji	1	1	1
kipri	0	0	1	kirpi	1	1	2
öğe	3	1	1	öge	53	2	4
tadilatlar	1	1	1	tadilat	1	1	1
yanlız	1	1	1	yalnız	39	3	3
eksoz	1	1	1	egzoz	2	1	1
aliminyum	1	1	1	alüminyum	1	1	1
filim	2	1	1	film	8	2	2
artis	1	1	1	artist	1	1	1
kordale	1	1	1	kurdele	1	1	1
aferim	1	1	1	aferin	1	1	1
mokasen	1	1	1	makosen	0	0	0
kurdela	1	1	1	kurdele	1	1	1
herıld	0	0	0	herhalde	4	2	2
heycan	0	0	0	heyecan	8	4	4
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	1
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	0	0	0
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	22	2	4
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	4	3	3
çünki	0	0	0	çünkü	69	4	4
steteskop	0	0	0	stetoskop	1	1	1
alimünyum	0	0	0	alüminyum	1	1	1
tahtarevalli	0	0	0	tahterevalli	0	0	0
