typo	tf	df	sdf	correct	tf	df	sdf
onla	1	1	9	onunla	10	5	5
eşyalar	10	6	8	eşya	7	3	9
leyen	65	8	8	leğen	6	3	3
barsak	7	6	6	bağırsak	31	7	8
menapoz	2	2	4	menopoz	10	5	5
tetanoz	7	3	3	tetanos	0	0	0
öğe	0	0	3	öge	2	2	4
steteskop	2	2	2	stetoskop	0	0	0
komidin	2	2	2	komodin	0	0	0
tükrük	6	2	2	tükürük	6	4	4
eksoz	2	2	2	egzoz	2	1	1
adele	0	0	1	adale	0	0	2
florasan	3	1	1	floresan	0	0	0
görseller	1	1	1	görüntüler	0	0	0
fasülye	1	1	1	fasulye	3	2	2
ıstanbul	1	1	1	istanbul	59	9	9
kollej	0	0	1	kolej	0	0	1
müdahele	1	1	1	müdahale	50	9	9
yunanlı	0	0	1	yunan	5	3	3
riks	0	0	1	risk	95	6	7
tekrardan	1	1	1	tekrar	39	9	9
testesteron	2	1	1	testosteron	3	2	2
itibariyle	3	1	1	itibarıyla	0	0	0
allerji	0	0	1	alerji	0	0	2
yanlız	0	0	1	yalnız	67	9	9
radyosyon	0	0	1	radyasyon	10	6	6
trabzan	1	1	1	tırabzan	0	0	0
ıstırap	4	1	1	ızdırap	0	0	0
parelel	1	1	1	paralel	16	8	8
döküman	1	1	1	doküman	0	0	0
egsoz	0	0	0	egzoz	2	1	1
herıld	0	0	0	herhalde	0	0	0
heycan	0	0	0	heyecan	9	3	3
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	0	0	0
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	12	7	8
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	16	5	5
çünki	0	0	0	çünkü	79	9	9
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	0
rakkam	0	0	0	rakam	2	2	5
traş	0	0	0	tıraş	1	1	2
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	0	0	0
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	2	1	1
ataç	0	0	0	ataş	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	1
ekistra	0	0	0	ekstra	3	3	3
labaratuvar	0	0	0	laboratuvar	6	4	4
taşaron	0	0	0	taşeron	0	0	0
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	0	0	0
parağraf	0	0	0	paragraf	1	1	1
alarım	0	0	0	alarm	2	2	2
eşşek	0	0	0	eşek	2	2	2
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	0	0	0
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	0	0	1
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	17	6	6
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	0	0	2
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	0	0	2
gazte	0	0	0	gazete	21	3	4
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	1	1	1
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	1	1	1
gravat	0	0	0	kravat	0	0	0
kurdale	0	0	0	kurdele	0	0	2
makina	0	0	0	makine	1	1	2
kollektif	0	0	0	kolektif	2	2	2
halisinasyon	0	0	0	halüsinasyon	1	1	1
asvalt	0	0	0	asfalt	0	0	0
meslekdaş	0	0	0	meslektaş	0	0	3
süprüz	0	0	0	sürpriz	1	1	1
kolanya	0	0	0	kolonya	0	0	0
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	1
atelye	0	0	0	atölye	0	0	3
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	10	2	5
döndermek	0	0	0	döndürmek	3	1	1
egsantrik	0	0	0	eksantrik	0	0	0
acenta	0	0	0	acente	0	0	0
afaroz	0	0	0	aforoz	0	0	0
şarter	0	0	0	şalter	0	0	0
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	0	0	0
cenderme	0	0	0	jandarma	0	0	0
duymamazlık	0	0	0	duymazlık	0	0	0
harfiyat	0	0	0	hafriyat	0	0	0
ünvan	0	0	0	unvan	0	0	0
subap	0	0	0	supap	0	0	0
ukela	0	0	0	ukala	0	0	0
düyüm	0	0	0	düğüm	2	1	2
satlık	0	0	0	satılık	0	0	0
ukele	0	0	0	ukala	0	0	0
hakkaten	0	0	0	hakikaten	0	0	0
püsküvüt	0	0	0	bisküvi	0	0	0
prooram	0	0	0	program	17	6	9
opsayd	0	0	0	ofsayt	0	0	0
miğde	0	0	0	mide	19	5	5
müracat	0	0	0	müracaat	0	0	0
tenbel	0	0	0	tembel	0	0	0
karisör	0	0	0	karoser	0	0	0
çinakop	0	0	0	çinekop	0	0	0
sağnak	0	0	0	sağanak	0	0	0
almamazlık	0	0	0	almazlık	0	0	0
fullemek	0	0	0	doldurmak	0	0	0
bilmemezlik	0	0	0	bilmezlik	0	0	0
kakafoni	0	0	0	kakofoni	0	0	0
mürettebatlar	0	0	0	mürettebat	0	0	0
aşşağı	0	0	0	aşağı	15	8	9
mürüvet	0	0	0	mürüvvet	0	0	0
gometri	0	0	0	geometri	0	0	1
valeybol	0	0	0	voleybol	0	0	0
aşırmasyon	0	0	0	aşırma	0	0	0
arozöz	0	0	0	arazöz	0	0	0
laboratuar	0	0	0	laboratuvar	6	4	4
konsansüs	0	0	0	konsensüs	0	0	0
sibop	0	0	0	supap	0	0	0
kirbit	0	0	0	kibrit	0	0	0
askari	0	0	0	asgari	14	4	4
şevkat	0	0	0	şefkat	2	2	2
hintli	0	0	0	hint	0	0	0
amartisör	0	0	0	amortisör	0	0	0
kitlemek	0	0	0	kilitlemek	0	0	0
tirbüşon	0	0	0	tirbuşon	0	0	0
inkilap	0	0	0	inkılap	0	0	0
tahüt	0	0	0	taahüt	0	0	0
penbe	0	0	0	pembe	1	1	2
menüsküs	0	0	0	menisküs	0	0	0
çoşku	0	0	0	coşku	0	0	0
silahşör	0	0	0	silahşor	0	0	0
oğustos	0	0	0	ağustos	3	2	2
mütaakip	0	0	0	müteakip	0	0	0
kareografi	0	0	0	koreografi	0	0	0
tafsiye	0	0	0	tavsiye	4	2	4
megoloman	0	0	0	megaloman	0	0	0
matamatik	0	0	0	matematik	0	0	1
nötür	0	0	0	nötr	0	0	0
erzağı	0	0	0	erzakı	0	0	0
