typo	tf	df	sdf	correct	tf	df	sdf
onla	51	44	32713	onunla	3088	2719	2727
itibariyle	19450	15571	15577	itibarıyla	4038	2826	2826
hıristiyan	3965	2750	3471	hristiyan	304	212	287
eşyalar	549	469	2527	eşya	3437	2392	6092
mönü	1710	950	1731	menü	67	65	216
makina	738	524	1583	makine	1936	1445	4820
yunanlı	1327	963	1555	yunan	9666	4900	13674
hemşeri	102	81	674	hemşehri	70	61	399
mevlüt	783	571	584	mevlut	19	16	24
ünvan	47	43	505	unvan	384	306	3376
öğe	49	40	489	öge	34	23	586
tesbit	359	329	463	tespit	18441	14387	17599
hintli	487	366	461	hint	949	698	1234
artis	10	10	451	artist	149	121	434
müdahele	275	253	433	müdahale	12006	8910	15527
acenta	36	30	414	acente	140	101	546
antreman	132	104	398	antrenman	4434	3499	9365
mahçup	318	286	334	mahcup	466	403	414
penbe	298	242	302	pembe	1313	972	1086
sarmısak	327	207	302	sarımsak	232	158	253
ataç	403	228	270	ataş	167	91	564
meslekdaş	14	14	258	meslektaş	61	56	2872
meyva	155	127	253	meyve	3338	2049	3204
yanlız	173	159	245	yalnız	8379	7105	13812
süpriz	177	165	242	sürpriz	8474	6119	7846
sandöviç	195	142	240	sandviç	277	204	324
çoşku	19	19	235	coşku	526	462	5293
cimnastik	267	191	227	jimnastik	348	265	283
psikiyatrist	184	148	218	psikiyatr	261	207	996
laboratuar	108	84	217	laboratuvar	758	648	1828
usül	73	64	201	usul	1876	1374	6167
ıstırap	143	125	182	ızdırap	54	50	77
traş	154	116	179	tıraş	451	262	422
payton	220	155	174	fayton	44	27	79
dakka	90	76	162	dakika	22154	15393	29300
siluet	25	17	152	silüet	4	4	43
kollektif	167	146	148	kolektif	580	509	512
diyaloga	162	148	148	diyaloğa	323	295	295
adele	24	19	147	adale	173	151	13360
motorsiklet	72	60	141	motosiklet	1037	592	1226
restorant	35	33	138	restoran	2394	1568	3539
döküman	16	16	133	doküman	229	214	755
yayınlamak	99	95	128	yayımlamak	90	84	115
fantazi	91	81	125	fantezi	283	220	414
orjinal	103	90	123	orijinal	896	705	898
entellektüel	116	97	121	entelektüel	757	603	747
tekrardan	132	121	121	tekrar	15903	13143	18005
afganlı	80	67	119	afgan	3105	1800	7717
şöför	25	18	119	şoför	1877	1442	4752
parlemento	31	31	117	parlamento	3434	2628	8942
arefe	23	20	117	arife	396	276	678
mustarip	112	105	111	muzdarip	68	64	71
anfi	13	12	110	amfi	42	35	185
sağnak	119	107	108	sağanak	3090	1386	1403
pantalon	77	58	103	pantolon	1015	624	1128
benle	87	81	99	benimle	2183	1937	1949
istihbaratlar	36	34	99	istihbarat	6638	4214	5027
insiyatif	34	31	99	inisiyatif	619	519	1512
menejer	19	18	97	menajer	2803	2332	6900
