typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	3156	onunla	189	177	177
hıristiyan	2090	1428	1711	hristiyan	139	83	106
yunanlı	240	189	307	yunan	3474	1561	3360
eşyalar	62	53	301	eşya	122	101	431
itibariyle	309	272	272	itibarıyla	216	194	194
hintli	228	161	188	hint	415	319	522
makina	11	10	175	makine	42	41	478
dakka	22	21	84	dakika	1504	1220	1771
diyaloga	73	65	65	diyaloğa	86	78	78
müdahele	35	35	61	müdahale	1397	1143	1930
acenta	1	1	57	acente	9	6	45
afganlı	38	31	56	afgan	1880	1082	4210
istihbaratlar	23	23	55	istihbarat	3724	2268	2623
mönü	8	7	41	menü	9	8	18
kipri	0	0	38	kirpi	1	1	3
parlemento	10	10	37	parlamento	1474	1095	3882
öğe	1	1	35	öge	0	0	69
yayınlamak	27	26	35	yayımlamak	12	12	22
laboratuar	11	11	34	laboratuvar	113	99	323
mustarip	39	33	33	muzdarip	16	15	15
tesbit	24	22	31	tespit	2008	1686	1900
ünvan	1	1	29	unvan	28	26	296
motorsiklet	9	8	25	motosiklet	50	39	147
ıstırap	19	17	23	ızdırap	6	6	7
artis	5	5	23	artist	11	8	18
pantalon	12	11	18	pantolon	47	38	81
şöför	3	3	17	şoför	291	226	801
traş	20	12	16	tıraş	27	22	30
logar	17	14	16	rögar	0	0	0
orjinal	14	13	16	orijinal	94	83	101
entellektüel	12	11	15	entelektüel	50	41	53
fantazi	7	7	14	fantezi	9	9	19
kilot	1	1	14	külot	9	8	25
arefe	0	0	14	arife	6	5	88
mahçup	11	9	13	mahcup	19	17	17
ötenazi	22	12	13	ötanazi	113	36	42
yanlız	8	8	13	yalnız	540	464	1372
usül	1	1	12	usul	15	12	270
psikiyatrist	9	7	12	psikiyatr	18	14	104
çoşku	1	1	11	coşku	35	31	233
mentalite	4	3	11	mantalite	3	3	12
süpriz	10	10	11	sürpriz	625	508	584
meslekdaş	0	0	10	meslektaş	2	2	352
insiyatif	5	4	8	inisiyatif	93	74	201
adele	3	3	7	adale	7	6	2069
azemi	0	0	7	azami	117	108	136
dinazor	9	6	7	dinozor	33	20	31
leyen	3	3	7	leğen	5	4	4
ıstanbul	9	6	7	istanbul	1145	828	1672
kolleksiyon	0	0	7	koleksiyon	16	14	138
mevlüt	8	7	7	mevlut	0	0	0
hemşeri	2	2	7	hemşehri	8	8	18
menejer	0	0	7	menajer	5	5	78
tadilatlar	4	3	7	tadilat	30	24	37
techizat	5	5	7	teçhizat	119	101	244
parlementer	1	1	7	parlamenter	420	307	656
personeller	1	1	7	personel	381	327	966
çiflik	4	3	7	çiftlik	154	126	306
vehamet	1	1	6	vahamet	1	1	11
kollektif	8	6	6	kolektif	32	22	22
askari	6	5	6	asgari	141	108	130
silahşör	1	1	6	silahşor	1	1	2
siluet	0	0	6	silüet	0	0	2
meyva	10	4	6	meyve	132	98	157
sağnak	5	5	5	sağanak	49	34	37
nisbet	0	0	5	nispet	4	4	73
cimnastik	4	4	5	jimnastik	26	23	27
döküman	1	1	5	doküman	11	11	44
ultimatom	4	4	4	ültimatom	133	99	145
şevkat	3	3	4	şefkat	16	12	28
espiri	0	0	4	espri	89	77	198
riks	0	0	4	risk	336	287	1105
tekrardan	4	4	4	tekrar	1648	1333	2048
tesbih	4	4	4	tespih	6	5	7
dokunmatik	4	4	4	dokunmalı	0	0	0
çekinser	4	4	4	çekimser	200	168	174
amarika	0	0	4	amerika	1226	1011	16164
restorant	0	0	4	restoran	133	97	317
pardesü	2	2	4	pardösü	4	3	4
gazte	0	0	3	gazete	5902	3083	15235
atelye	1	1	3	atölye	16	11	53
eşgal	0	0	3	eşkal	0	0	11
afaroz	3	3	3	aforoz	20	15	15
müracat	1	1	3	müracaat	50	44	88
mürettebatlar	0	0	3	mürettebat	279	240	618
kareografi	3	3	3	koreografi	3	3	10
anfi	0	0	3	amfi	1	1	31
tanımamazlık	3	3	3	tanımazlık	1	1	1
istakoz	4	3	3	ıstakoz	7	6	7
taxi	4	3	3	taksi	172	124	293
tetanoz	3	3	3	tetanos	8	4	4
seyehat	2	2	3	seyahat	712	532	711
allerji	1	1	3	alerji	13	7	27
panaroma	3	3	3	panorama	25	23	27
viyolo	0	0	3	viyola	2	2	2
muaffak	3	3	3	muvaffak	52	48	48
proğram	0	0	3	program	542	431	3512
ahçı	1	1	3	aşçı	35	22	54
sarmısak	6	3	3	sarımsak	3	3	7
tiyo	0	0	2	tüyo	1	1	1
amaciyle	2	2	2	amacıyla	4718	4217	4217
muhattap	0	0	2	muhatap	150	132	223
vejeteryan	1	1	2	vejetaryen	12	8	9
testesteron	3	2	2	testosteron	6	3	4
barsak	1	1	2	bağırsak	50	42	57
teşebüs	1	1	2	teşebbüs	125	112	184
gangaster	1	1	2	gangster	18	12	21
halisünasyon	2	2	2	halüsinasyon	10	8	8
antreman	1	1	2	antrenman	10	9	17
kurdela	1	1	2	kurdele	7	7	22
küvöz	1	1	2	kuvöz	0	0	1
karekter	0	0	2	karakter	42	37	224
heycan	0	0	1	heyecan	123	119	397
canbaz	1	1	1	cambaz	3	3	14
lakayt	1	1	1	lakayıt	0	0	0
ataç	12	1	1	ataş	1	1	119
labaratuvar	0	0	1	laboratuvar	113	99	323
taşaron	1	1	1	taşeron	21	17	22
eşşek	1	1	1	eşek	53	31	41
aperatif	1	1	1	aperitif	0	0	0
şemşiye	0	0	1	şemsiye	52	48	121
subap	2	1	1	supap	2	1	1
kakafoni	1	1	1	kakofoni	0	0	0
fasülye	0	0	1	fasulye	22	15	21
inkilap	1	1	1	inkılap	6	6	9
keşki	0	0	1	keşke	68	58	58
küpür	0	0	1	kupür	0	0	8
sıvas	0	0	1	sivas	10	7	20
menapoz	1	1	1	menopoz	12	6	6
bugünki	1	1	1	bugünkü	1702	1524	1554
kominist	1	1	1	komünist	929	688	755
sezeryan	0	0	1	sezaryen	10	8	35
tasviye	0	0	1	tasfiye	75	57	80
sovan	0	0	1	soğan	15	13	14
tasfir	1	1	1	tasvir	33	33	33
müsbet	1	1	1	müspet	14	13	13
zerafet	1	1	1	zarafet	3	3	6
kontür	0	0	1	kontör	0	0	0
biodizel	1	1	1	biyodizel	1	1	1
çukulata	1	1	1	çikolata	79	46	68
yalnış	1	1	1	yanlış	2144	1617	1997
kaparo	1	1	1	kapora	2	1	1
azarbeycan	1	1	1	azerbaycan	936	461	565
kalemşör	0	0	1	kalemşor	0	0	1
törörist	1	1	1	terörist	4238	2842	4283
mefta	0	0	1	mevta	0	0	1
trabzan	0	0	1	tırabzan	1	1	2
klavuz	0	0	1	kılavuz	15	12	37
benle	1	1	1	benimle	90	85	85
mağma	0	0	1	magma	5	4	5
labaratuar	1	1	1	laboratuvar	113	99	323
payton	1	1	1	fayton	4	1	3
aliminyum	1	1	1	alüminyum	35	30	32
filim	0	0	1	film	1847	945	1859
kapşon	0	0	1	kapüşon	0	0	2
seramoni	0	0	1	seremoni	1	1	8
aldırmamazlık	1	1	1	aldırmazlık	1	1	2
anotomi	0	0	1	anatomi	14	8	15
assubay	1	1	1	astsubay	28	24	38
oparasyon	0	0	1	operasyon	2141	1589	5006
peştemal	1	1	1	peştamal	0	0	0
mütahit	0	0	1	müteahhit	32	26	79
muzur	0	0	1	muzır	1	1	1
egsoz	0	0	0	egzoz	8	6	7
herıld	0	0	0	herhalde	194	172	172
şarz	0	0	0	şarj	17	8	34
ultümaton	0	0	0	ültimatom	133	99	145
oporlor	0	0	0	hoparlör	11	10	95
ceton	0	0	0	jeton	3	3	3
gökan	0	0	0	gökhan	21	15	16
teferuat	0	0	0	teferruat	1	1	4
herkez	0	0	0	herkes	940	840	2168
aptes	0	0	0	abdest	1	1	1
teşfik	0	0	0	teşvik	731	635	713
çünki	0	0	0	çünkü	2716	2328	2328
steteskop	0	0	0	stetoskop	0	0	0
alimünyum	0	0	0	alüminyum	35	30	32
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	11	9	10
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	43	33	66
rakkam	0	0	0	rakam	273	251	1051
südyen	0	0	0	sütyen	5	5	6
azarbaycan	0	0	0	azerbaycan	936	461	565
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	88	56	59
aparatif	0	0	0	aperitif	0	0	0
ekistra	0	0	0	ekstra	37	32	36
florasan	0	0	0	floresan	2	2	2
menecer	0	0	0	menajer	5	5	78
poaça	0	0	0	poğaça	0	0	0
distribitör	0	0	0	distribütör	0	0	3
görseller	0	0	0	görüntüler	210	191	1189
senle	0	0	0	seninle	19	19	21
parağraf	0	0	0	paragraf	41	24	123
alarım	0	0	0	alarm	521	377	829
celatin	0	0	0	jelatin	2	2	4
supab	0	0	0	supap	2	1	1
şifai	0	0	0	şifahi	4	4	4
tenbih	0	0	0	tembih	0	0	2
arabeks	0	0	0	arabesk	5	5	5
tanpon	0	0	0	tampon	110	68	71
atmasyon	0	0	0	uydurma	85	68	110
hoporlör	0	0	0	hoparlör	11	10	95
uydurmasyon	0	0	0	uydurma	85	68	110
proleterya	0	0	0	proletarya	1	1	1
santranç	0	0	0	satranç	84	36	37
gravat	0	0	0	kravat	32	25	48
kurdale	0	0	0	kurdele	7	7	22
halisinasyon	0	0	0	halüsinasyon	10	8	8
asvalt	0	0	0	asfalt	11	11	22
süprüz	0	0	0	sürpriz	625	508	584
kolanya	0	0	0	kolonya	8	2	7
ansımak	0	0	0	anımsamak	0	0	0
ekzantrik	0	0	0	eksantrik	4	4	4
yakinimdir	0	0	0	yakınımdır	0	0	0
kokreç	0	0	0	kokoreç	4	1	1
döndermek	0	0	0	döndürmek	12	12	15
egsantrik	0	0	0	eksantrik	4	4	4
şarter	0	0	0	şalter	0	0	1
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	11	11	25
cenderme	0	0	0	jandarma	182	128	206
duymamazlık	0	0	0	duymazlık	0	0	2
harfiyat	0	0	0	hafriyat	2	2	3
ukela	0	0	0	ukala	5	4	5
düyüm	0	0	0	düğüm	11	10	42
satlık	0	0	0	satılık	26	23	24
ukele	0	0	0	ukala	5	4	5
hakkaten	0	0	0	hakikaten	50	46	46
püsküvüt	0	0	0	bisküvi	24	17	21
