typo	tf	df	sdf	correct	tf	df	sdf
itibariyle	15734	12541	12543	itibarıyla	2898	1870	1870
onla	6	5	2369	onunla	100	90	90
makina	523	344	690	makine	676	491	971
eşyalar	82	64	228	eşya	1928	1215	2069
ünvan	6	6	191	unvan	45	36	304
acenta	20	18	160	acente	74	51	177
tesbit	54	46	77	tespit	3375	2406	3062
döküman	9	9	75	doküman	30	26	261
hıristiyan	62	50	64	hristiyan	14	11	15
müdahele	37	35	58	müdahale	1701	1015	1500
usül	13	13	49	usul	443	334	1183
yunanlı	35	26	46	yunan	327	185	1070
süpriz	37	37	46	sürpriz	602	465	580
mönü	18	14	42	menü	12	12	35
yanlız	21	17	38	yalnız	487	433	1250
çoşku	2	2	34	coşku	13	12	663
mevlüt	37	32	32	mevlut	1	1	1
öğe	4	4	32	öge	0	0	62
techizat	32	26	32	teçhizat	157	126	176
sarmısak	57	27	30	sarımsak	69	40	46
laboratuar	11	10	29	laboratuvar	80	65	176
orjinal	25	21	29	orijinal	116	83	96
müracat	14	14	28	müracaat	290	248	379
insiyatif	9	8	28	inisiyatif	87	74	204
kollektif	38	27	27	kolektif	23	21	21
hintli	27	23	26	hint	35	25	56
tekrardan	25	24	24	tekrar	2812	2272	2642
traş	15	13	23	tıraş	44	19	20
meyva	8	8	23	meyve	1123	564	814
kontür	21	14	22	kontör	184	86	110
personeller	1	1	21	personel	2284	1230	1983
tasviye	14	14	20	tasfiye	1440	767	1006
parlemento	5	5	20	parlamento	150	118	470
nisbet	0	0	20	nispet	14	13	270
parelel	12	12	19	paralel	1402	1224	1434
restorant	8	8	19	restoran	198	130	255
entellektüel	16	15	18	entelektüel	23	18	21
küpür	7	5	17	kupür	40	28	71
arefe	5	5	17	arife	50	32	76
telafuz	16	16	16	telaffuz	170	157	167
ataç	38	15	15	ataş	26	12	74
motorsiklet	8	7	15	motosiklet	211	85	116
pantalon	19	11	15	pantolon	170	81	118
espiri	3	3	14	espri	87	82	200
naturel	16	13	13	natürel	5	4	4
azerbeycan	11	9	12	azerbaycan	394	267	326
tadilatlar	8	8	12	tadilat	54	46	78
diyaloga	14	12	12	diyaloğa	20	19	19
artis	1	1	12	artist	1	1	7
kurdela	2	2	12	kurdele	14	14	33
logar	1	1	10	rögar	0	0	0
biodizel	36	10	10	biyodizel	129	12	13
antreman	7	7	10	antrenman	6	6	19
karnıbahar	9	6	9	karnabahar	39	34	38
görseller	0	0	9	görüntüler	43	36	120
supab	1	1	9	supap	2	2	4
ıstanbul	9	8	9	istanbul	25663	15156	17386
yayınlamak	7	7	9	yayımlamak	1	1	3
klavuz	2	2	9	kılavuz	82	36	82
mahçup	10	8	8	mahcup	11	11	11
fantazi	8	7	8	fantezi	8	8	9
meslekdaş	0	0	8	meslektaş	0	0	87
kolleksiyon	1	1	8	koleksiyon	86	60	175
riks	3	3	8	risk	2818	1567	3247
proğram	1	1	8	program	3417	2149	7069
karekter	2	2	8	karakter	28	24	127
şöför	1	1	7	şoför	73	59	174
erezyon	1	1	7	erozyon	22	13	62
anfi	3	3	7	amfi	2	2	7
hemşeri	2	2	7	hemşehri	15	10	31
seyehat	6	6	7	seyahat	532	370	513
ıskonto	1	1	7	iskonto	122	80	666
alimünyum	4	4	6	alüminyum	192	118	128
vehamet	0	0	6	vahamet	0	0	0
subap	2	2	6	supap	2	2	4
fasülye	2	2	6	fasulye	192	135	172
siluet	0	0	6	silüet	0	0	4
sezeryan	8	6	6	sezaryen	10	7	10
müsbet	6	6	6	müspet	83	65	66
taxi	2	1	6	taksi	129	75	1769
kaparo	3	3	6	kapora	3	3	5
adele	0	0	5	adale	0	0	990
rezarvasyon	2	2	5	rezervasyon	141	93	147
dakka	2	2	5	dakika	943	632	3325
menüsküs	11	5	5	menisküs	4	1	1
muhattap	3	3	5	muhatap	154	128	200
maydonoz	4	4	5	maydanoz	5	5	9
şanzuman	4	4	5	şanzıman	37	30	45
benle	5	5	5	benimle	57	48	48
aliminyum	4	4	5	alüminyum	192	118	128
pardesü	4	4	5	pardösü	6	6	8
şifai	4	4	4	şifahi	9	9	10
kaysı	0	0	4	kayısı	105	56	65
parlementer	2	2	4	parlamenter	39	32	78
peştemal	0	0	4	peştamal	0	0	3
ahçı	3	3	4	aşçı	38	14	31
herkez	1	1	3	herkes	1599	1286	2592
bilimum	6	3	3	bilumum	1	1	1
labaratuvar	2	2	3	laboratuvar	80	65	176
duymamazlık	0	0	3	duymazlık	0	0	0
harfiyat	3	3	3	hafriyat	2	2	3
sıvas	0	0	3	sivas	264	172	211
egzos	1	1	3	egzoz	25	17	21
mentalite	2	2	3	mantalite	10	9	21
mefta	2	2	3	mevta	4	3	3
ıstırap	1	1	3	ızdırap	4	4	5
dokunmatik	4	3	3	dokunmalı	1	1	1
istihbaratlar	0	0	3	istihbarat	159	119	137
filim	3	2	3	film	252	170	392
aptes	1	1	2	abdest	2	2	4
canbaz	6	2	2	cambaz	2	2	5
florasan	2	2	2	floresan	17	9	9
mustarip	2	2	2	muzdarip	7	7	10
alarım	2	2	2	alarm	114	84	128
aperatif	1	1	2	aperitif	0	0	0
tiyo	1	1	2	tüyo	3	2	9
ultimatom	2	2	2	ültimatom	9	9	12
almamazlık	2	2	2	almazlık	0	0	0
sibop	1	1	2	supap	2	2	4
şevkat	3	2	2	şefkat	2	2	9
kareografi	0	0	2	koreografi	0	0	2
egzost	1	1	2	egzoz	25	17	21
zerafet	0	0	2	zarafet	4	4	6
azarbeycan	2	2	2	azerbaycan	394	267	326
kontur	1	1	2	kontör	184	86	110
ceryan	1	1	2	cereyan	33	30	30
manüpülasyon	2	2	2	manipülasyon	56	37	62
psikiyatrist	0	0	2	psikiyatr	1	1	11
egzantrik	0	0	2	eksantrik	0	0	0
çünki	1	1	1	çünkü	3860	3049	3049
steteskop	0	0	1	stetoskop	0	0	0
rakkam	0	0	1	rakam	2126	1718	6851
lakayt	3	1	1	lakayıt	1	1	1
afganlı	1	1	1	afgan	42	29	302
taşaron	1	1	1	taşeron	88	63	98
senle	0	0	1	seninle	13	13	14
hoporlör	0	0	1	hoparlör	17	15	29
gazte	0	0	1	gazete	1010	554	6257
şemşiye	1	1	1	şemsiye	51	44	134
asvalt	0	0	1	asfalt	104	47	78
atelye	0	0	1	atölye	40	32	386
ekzantrik	1	1	1	eksantrik	0	0	0
promasyon	1	1	1	promosyon	247	161	244
ukela	2	1	1	ukala	0	0	1
hakkaten	1	1	1	hakikaten	148	132	132
askari	1	1	1	asgari	3644	1269	1338
penbe	1	1	1	pembe	107	79	87
mütaakip	1	1	1	müteakip	113	101	101
erzağı	0	0	1	erzakı	0	0	0
sandöviç	1	1	1	sandviç	14	10	14
kollej	0	0	1	kolej	22	14	75
izalasyon	0	0	1	izolasyon	15	14	32
salomanje	1	1	1	salamanje	0	0	0
bugünki	1	1	1	bugünkü	3004	2595	2638
anlamamazlık	0	0	1	anlamazlık	0	0	0
vejeteryan	2	1	1	vejetaryen	1	1	2
acizane	1	1	1	naçizane	0	0	0
tenefüs	0	0	1	teneffüs	7	7	8
hukuğun	1	1	1	hukukun	149	130	206
tetanoz	2	1	1	tetanos	0	0	0
çukulata	0	0	1	çikolata	240	111	147
entrasan	1	1	1	enteresan	52	49	52
menejer	0	0	1	menajer	0	0	10
sohpet	1	1	1	sohbet	473	421	707
mundar	1	1	1	murdar	0	0	0
kavaltı	0	0	1	kahvaltı	49	41	170
panaroma	1	1	1	panorama	3	3	5
eksoz	0	0	1	egzoz	25	17	21
labaratuar	0	0	1	laboratuvar	80	65	176
statyum	0	0	1	stadyum	17	11	36
kilot	1	1	1	külot	0	0	3
