typo	tf	df	sdf	correct	tf	df	sdf
onla	4	4	1900	onunla	180	164	165
eşyalar	67	59	244	eşya	119	106	394
hıristiyan	163	116	184	hristiyan	6	5	10
itibariyle	178	153	153	itibarıyla	45	31	31
yunanlı	110	74	110	yunan	538	233	572
hemşeri	14	10	57	hemşehri	4	4	19
ataç	84	48	56	ataş	18	10	58
mevlüt	66	54	55	mevlut	4	1	1
öğe	10	7	51	öge	3	3	33
mönü	18	17	49	menü	3	3	5
makina	10	9	40	makine	166	131	463
artis	0	0	35	artist	25	14	34
psikiyatrist	29	24	32	psikiyatr	80	56	159
ünvan	5	4	21	unvan	25	17	135
acenta	1	1	20	acente	5	5	51
usül	4	4	20	usul	76	64	414
dakka	20	18	19	dakika	906	605	922
ıstırap	16	14	17	ızdırap	1	1	2
çoşku	2	2	15	coşku	31	28	421
siluet	1	1	15	silüet	2	2	5
müdahele	10	10	15	müdahale	917	665	999
hintli	16	10	13	hint	40	29	44
aptes	15	10	12	abdest	30	14	18
afganlı	9	8	12	afgan	155	89	408
laboratuar	6	6	12	laboratuvar	78	64	182
sarmısak	19	11	12	sarımsak	6	6	7
şöför	5	2	11	şoför	220	168	512
tesbit	9	7	10	tespit	1461	1139	1370
benle	9	8	10	benimle	119	114	116
adele	0	0	8	adale	5	5	870
mahçup	4	3	8	mahcup	12	11	11
ıstanbul	8	6	8	istanbul	13228	7456	8435
orjinal	7	6	8	orijinal	80	67	91
senle	9	7	7	seninle	36	33	35
entellektüel	3	3	7	entelektüel	65	52	62
sıvas	0	0	7	sivas	346	203	286
kaparo	8	6	7	kapora	3	3	3
traş	6	5	6	tıraş	40	31	53
mustarip	6	6	6	muzdarip	0	0	1
müracat	2	2	6	müracaat	79	71	105
kolleksiyon	0	0	6	koleksiyon	23	20	107
tekrardan	7	6	6	tekrar	925	756	947
tesbih	3	3	6	tespih	31	17	20
motorsiklet	3	3	6	motosiklet	39	25	75
yayınlamak	6	6	6	yayımlamak	9	8	11
personeller	2	2	6	personel	582	410	842
pantalon	11	5	6	pantolon	133	63	117
eşşek	4	4	5	eşek	38	32	49
sağnak	6	5	5	sağanak	224	134	135
seyehat	3	2	5	seyahat	215	160	225
yanlız	2	2	5	yalnız	416	367	689
viyolo	0	0	5	viyola	2	2	2
labaratuvar	1	1	4	laboratuvar	78	64	182
logar	4	4	4	rögar	6	1	2
penbe	3	2	4	pembe	87	55	62
anfi	1	1	4	amfi	7	6	25
maktül	1	1	4	maktul	2	2	10
taxi	3	3	4	taksi	134	90	542
zerafet	1	1	4	zarafet	1	1	6
yalnış	4	4	4	yanlış	1289	931	1171
tadilatlar	5	3	4	tadilat	53	42	77
süpriz	3	3	4	sürpriz	227	183	241
insiyatif	0	0	4	inisiyatif	16	15	65
döküman	0	0	4	doküman	26	25	77
karekter	0	0	4	karakter	30	27	152
canbaz	3	3	3	cambaz	4	3	16
fantazi	2	2	3	fantezi	34	19	28
kollektif	3	3	3	kolektif	9	9	9
hakkaten	3	3	3	hakikaten	64	60	60
şevkat	2	2	3	şefkat	28	21	53
romörkör	3	3	3	römorkör	16	10	23
tasviye	1	1	3	tasfiye	46	37	47
kontür	2	2	3	kontör	35	20	29
meyva	3	3	3	meyve	141	92	152
poça	1	1	3	poğaça	5	4	4
netekim	4	3	3	nitekim	53	51	51
klavuz	1	1	3	kılavuz	52	35	115
dokunmatik	4	3	3	dokunmalı	0	0	0
techizat	2	1	3	teçhizat	23	16	46
istihbaratlar	2	1	3	istihbarat	633	406	479
antreman	0	0	3	antrenman	19	18	32
arefe	1	1	3	arife	30	28	37
restorant	0	0	3	restoran	87	70	173
çiflik	0	0	3	çiftlik	65	41	89
pardesü	2	2	3	pardösü	25	13	23
gökan	2	2	2	gökhan	325	277	280
lakayt	2	2	2	lakayıt	1	1	1
şifai	3	2	2	şifahi	7	6	6
aperatif	2	2	2	aperitif	0	0	0
afaroz	2	2	2	aforoz	2	2	2
askari	1	1	2	asgari	118	95	105
küpür	0	0	2	kupür	0	0	5
kominist	2	2	2	komünist	78	62	70
sezeryan	0	0	2	sezaryen	9	5	18
üzre	3	2	2	üzere	2763	2314	2371
egzos	2	2	2	egzoz	7	7	10
allerji	1	1	2	alerji	15	11	25
azerbeycan	2	1	2	azerbaycan	94	59	92
menejer	1	1	2	menajer	11	7	54
ötenazi	2	1	2	ötanazi	47	7	8
mefta	1	1	2	mevta	0	0	0
mundar	2	2	2	murdar	2	2	4
istambul	2	2	2	istanbul	13228	7456	8435
parlemento	2	2	2	parlamento	73	58	214
olaraktan	2	2	2	olarak	13765	7795	7796
