typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	2819	onunla	172	155	155
itibariyle	877	641	642	itibarıyla	296	225	225
hıristiyan	651	423	508	hristiyan	41	30	41
yunanlı	101	75	131	yunan	1007	459	1211
eşyalar	19	16	101	eşya	116	85	243
mevlüt	117	93	94	mevlut	3	3	3
öğe	13	9	79	öge	9	6	34
hemşeri	7	7	57	hemşehri	15	11	70
ataç	56	31	42	ataş	23	11	52
mahçup	27	23	42	mahcup	84	62	67
mönü	11	10	42	menü	4	3	9
ünvan	9	6	31	unvan	54	41	231
makina	11	9	30	makine	102	73	202
laboratuar	26	17	27	laboratuvar	37	33	92
müdahele	14	13	26	müdahale	1188	851	1296
usül	20	13	24	usul	478	347	1135
diyaloga	24	23	23	diyaloğa	50	44	44
tesbit	16	15	20	tespit	1605	1164	1605
ıstırap	11	11	20	ızdırap	5	5	7
çoşku	0	0	19	coşku	30	28	459
parlemento	5	5	18	parlamento	751	576	1915
süpriz	14	14	18	sürpriz	615	465	546
insiyatif	4	3	14	inisiyatif	123	95	254
acenta	0	0	13	acente	3	3	17
kollektif	12	12	12	kolektif	60	47	47
şevkat	11	9	12	şefkat	53	41	79
espiri	5	4	11	espri	186	163	291
entellektüel	10	8	11	entelektüel	78	64	86
yayınlamak	8	8	11	yayımlamak	6	5	6
parlementer	4	4	11	parlamenter	382	254	491
kurdela	2	2	10	kurdele	24	21	57
siluet	0	0	9	silüet	0	0	2
yanlız	6	6	9	yalnız	549	472	867
psikiyatrist	8	5	9	psikiyatr	8	6	36
şöför	2	2	8	şoför	95	70	270
tadilatlar	2	2	8	tadilat	62	45	74
personeller	1	1	8	personel	1390	778	1399
döküman	2	2	8	doküman	22	22	69
traş	6	6	7	tıraş	20	13	23
hintli	6	6	7	hint	20	16	26
azerbeycan	4	4	7	azerbaycan	317	184	241
telafuz	7	6	7	telaffuz	115	102	108
istihbaratlar	0	0	7	istihbarat	645	398	445
proğram	1	1	7	program	773	561	2705
artis	2	2	7	artist	1	1	5
provakatör	3	2	7	provokatör	22	14	45
arefe	1	1	7	arife	15	10	43
sarmısak	7	4	6	sarımsak	7	5	6
canbaz	5	4	5	cambaz	12	4	17
mustarip	4	4	5	muzdarip	0	0	0
şifai	5	5	5	şifahi	10	9	9
vehamet	0	0	5	vahamet	0	0	9
penbe	1	1	5	pembe	101	66	68
sıvas	1	1	5	sivas	309	208	264
kipri	0	0	5	kirpi	0	0	0
benle	4	4	5	benimle	188	163	164
orjinal	5	3	5	orijinal	55	39	60
naturel	6	5	5	natürel	3	3	3
aptes	6	4	4	abdest	15	8	16
afganlı	6	4	4	afgan	116	60	506
duymamazlık	0	0	4	duymazlık	0	0	3
fasülye	3	2	4	fasulye	11	10	14
tasviye	4	3	4	tasfiye	354	249	333
muhattap	3	3	4	muhatap	287	221	403
yalnış	4	4	4	yanlış	3270	2276	2849
çekinser	4	4	4	çekimser	145	106	108
ıskonto	2	2	4	iskonto	10	6	12
restorant	0	0	4	restoran	33	24	114
adele	1	1	3	adale	3	3	2765
lakayt	2	2	3	lakayıt	0	0	0
ultimatom	1	1	3	ültimatom	7	7	9
müracat	2	2	3	müracaat	210	174	232
ıstanbul	3	3	3	istanbul	8295	4854	6085
kominist	2	2	3	komünist	219	134	147
tanımamazlık	3	3	3	tanımazlık	2	1	3
seyehat	0	0	3	seyahat	219	168	302
nisbet	0	0	3	nispet	4	4	50
panaroma	4	3	3	panorama	5	5	8
techizat	3	3	3	teçhizat	65	51	70
antreman	3	2	3	antrenman	15	13	18
ahçı	1	1	3	aşçı	21	16	21
karekter	1	1	3	karakter	21	17	133
gökan	2	2	2	gökhan	159	133	134
taşaron	2	2	2	taşeron	20	19	51
aperatif	1	1	2	aperitif	0	0	0
dakka	2	2	2	dakika	981	784	1057
kakafoni	5	2	2	kakofoni	0	0	0
inkilap	1	1	2	inkılap	34	28	75
silahşör	2	2	2	silahşor	0	0	0
izalasyon	0	0	2	izolasyon	48	38	263
kolleksiyon	0	0	2	koleksiyon	3	3	27
küpür	0	0	2	kupür	1	1	19
anfi	0	0	2	amfi	2	2	10
tahamül	0	0	2	tahammül	125	103	206
müsbet	2	2	2	müspet	43	39	39
maktül	0	0	2	maktul	4	4	8
zerafet	1	1	2	zarafet	5	4	9
kontür	0	0	2	kontör	8	3	5
meyva	2	2	2	meyve	128	89	150
mundar	2	2	2	murdar	0	0	0
netekim	3	2	2	nitekim	241	223	223
klavuz	4	2	2	kılavuz	32	22	66
parelel	2	2	2	paralel	239	219	310
filim	0	0	2	film	222	122	278
assubay	0	0	2	astsubay	86	61	110
herkez	1	1	1	herkes	1947	1497	3024
teşfik	1	1	1	teşvik	1059	654	750
labaratuvar	1	1	1	laboratuvar	37	33	92
florasan	1	1	1	floresan	0	0	0
senle	1	1	1	seninle	70	66	69
eşşek	1	1	1	eşek	19	15	18
supab	0	0	1	supap	2	2	5
kurdale	0	0	1	kurdele	24	21	57
meslekdaş	0	0	1	meslektaş	1	1	171
dinazor	1	1	1	dinozor	2	2	3
atelye	0	0	1	atölye	16	16	55
afaroz	1	1	1	aforoz	9	7	8
promasyon	0	0	1	promosyon	19	14	20
çinakop	1	1	1	çinekop	2	1	1
sağnak	1	1	1	sağanak	19	16	16
sibop	2	1	1	supap	2	2	5
menüsküs	1	1	1	menisküs	1	1	1
bugünki	1	1	1	bugünkü	1322	1083	1109
anlamamazlık	0	0	1	anlamazlık	0	0	2
ilüzyon	3	1	1	illüzyon	4	4	7
vejeteryan	1	1	1	vejetaryen	3	2	2
tekrardan	1	1	1	tekrar	1445	1179	1511
tesbih	4	1	1	tespih	13	10	21
tetanoz	1	1	1	tetanos	7	3	4
kaysı	0	0	1	kayısı	18	13	14
kaparo	1	1	1	kapora	1	1	1
maydonoz	0	0	1	maydanoz	9	3	3
azarbeycan	0	0	1	azerbaycan	317	184	241
kalemşör	0	0	1	kalemşor	0	0	2
menejer	0	0	1	menajer	1	1	9
mentalite	1	1	1	mantalite	7	7	23
mefta	1	1	1	mevta	9	5	5
dokunmatik	1	1	1	dokunmalı	0	0	0
viyolo	0	0	1	viyola	0	0	1
seramoni	1	1	1	seremoni	3	3	7
mokasen	1	1	1	makosen	2	1	1
oparasyon	0	0	1	operasyon	517	354	1220
peştemal	1	1	1	peştamal	0	0	0
müraccat	1	1	1	müracaat	210	174	232
cimnastik	1	1	1	jimnastik	2	2	2
pardesü	0	0	1	pardösü	3	3	7
egsoz	0	0	0	egzoz	54	5	5
herıld	0	0	0	herhalde	458	406	407
heycan	0	0	0	heyecan	195	170	581
şarz	0	0	0	şarj	3	3	11
ultümaton	0	0	0	ültimatom	7	7	9
