typo	tf	df	sdf	correct	tf	df	sdf
onla	37	31	7043	onunla	727	662	664
itibariyle	500	432	432	itibarıyla	157	148	148
yunanlı	331	253	353	yunan	1965	1096	3757
antreman	76	66	333	antrenman	4276	3365	9094
penbe	265	227	276	pembe	103	85	91
eşyalar	19	17	216	eşya	84	59	288
mahçup	205	188	188	mahcup	123	107	107
cimnastik	234	161	188	jimnastik	110	86	90
artis	1	1	176	artist	25	19	174
payton	218	153	171	fayton	0	0	1
mevlüt	134	122	129	mevlut	0	0	8
tesbit	99	97	125	tespit	1406	1225	1435
makina	37	33	122	makine	70	56	215
ünvan	10	10	103	unvan	139	106	1718
adele	7	6	101	adale	127	113	1744
süpriz	69	62	96	sürpriz	4410	2886	3554
müdahele	60	58	93	müdahale	1203	1041	1723
yanlız	79	74	89	yalnız	2011	1789	3808
menejer	16	15	72	menajer	2633	2189	5862
çoşku	9	9	65	coşku	220	191	1444
meyva	7	7	61	meyve	53	42	219
anfi	4	3	58	amfi	2	2	11
tekrardan	64	58	58	tekrar	2950	2482	3739
kollektif	61	56	57	kolektif	273	249	250
öğe	0	0	57	öge	6	6	225
restorant	10	10	54	restoran	51	47	277
sağnak	59	52	52	sağanak	134	117	119
traş	48	32	47	tıraş	16	12	21
mentalite	10	10	44	mantalite	36	31	84
meslekdaş	0	0	42	meslektaş	11	10	420
yalnış	43	36	42	yanlış	3636	2825	3744
benle	47	42	42	benimle	522	464	466
arefe	1	1	42	arife	2	2	29
ultimatom	37	34	36	ültimatom	46	33	40
espiri	18	18	36	espri	226	203	554
hintli	42	32	34	hint	16	14	49
menüsküs	34	25	34	menisküs	76	62	86
motorsiklet	18	17	34	motosiklet	215	128	185
panaroma	33	32	34	panorama	118	117	140
usül	11	10	33	usul	30	26	367
fantazi	14	12	27	fantezi	22	19	44
hemşeri	2	2	25	hemşehri	15	15	127
zerafet	4	4	25	zarafet	25	14	18
ataç	27	20	24	ataş	1	1	18
mönü	16	12	23	menü	6	6	56
kurdela	9	7	23	kurdele	11	7	17
silahşör	4	4	22	silahşor	2	2	11
senle	26	21	21	seninle	139	121	127
şöför	2	2	21	şoför	40	36	114
hıristiyan	19	18	21	hristiyan	11	10	16
döküman	0	0	20	doküman	0	0	10
acenta	0	0	19	acente	2	2	19
yayınlamak	19	17	19	yayımlamak	1	1	1
vehamet	3	3	18	vahamet	1	1	11
dakka	17	9	18	dakika	13363	8747	16994
parelel	17	17	17	paralel	191	175	230
seramoni	8	7	17	seremoni	18	17	50
orjinal	16	13	16	orijinal	50	45	53
muzur	22	16	16	muzır	1	1	1
insiyatif	5	5	15	inisiyatif	37	35	131
laboratuar	6	6	13	laboratuvar	9	8	35
siluet	16	10	13	silüet	0	0	9
azerbeycan	13	10	13	azerbaycan	614	405	561
diyaloga	13	13	13	diyaloğa	56	54	54
canbaz	5	4	12	cambaz	12	12	66
afaroz	11	11	12	aforoz	16	16	16
entellektüel	8	8	12	entelektüel	11	11	14
testesteron	18	12	12	testosteron	4	4	6
muhattap	9	9	11	muhatap	125	118	139
provakatör	4	4	11	provokatör	8	8	25
karekter	0	0	11	karakter	98	89	508
parlemento	1	1	10	parlamento	25	22	61
ıstırap	10	9	10	ızdırap	21	20	25
telafuz	10	9	10	telaffuz	70	64	68
psikiyatrist	6	6	10	psikiyatr	4	4	25
müracat	2	2	9	müracaat	88	77	122
ahçı	1	1	9	aşçı	29	21	56
pardesü	2	2	9	pardösü	1	1	2
rakkam	4	4	8	rakam	427	385	1701
ıstanbul	3	3	8	istanbul	7749	4993	17599
megoloman	2	2	8	megaloman	7	5	11
bugünki	8	8	8	bugünkü	2302	2062	2075
pantalon	2	2	8	pantolon	22	18	42
heycan	1	1	7	heyecan	1293	1132	3218
duymamazlık	0	0	7	duymazlık	0	0	2
küpür	0	0	7	kupür	0	0	7
erezyon	3	3	7	erozyon	4	4	28
tesbih	5	4	7	tespih	11	8	15
kalemşör	2	2	7	kalemşor	0	0	1
çünki	7	6	6	çünkü	6496	5109	5109
lakayt	7	5	6	lakayıt	0	0	0
şifai	6	6	6	şifahi	3	3	3
şevkat	0	0	6	şefkat	11	10	41
tadilatlar	5	4	6	tadilat	37	33	72
filim	0	0	5	film	209	172	541
şarz	6	3	4	şarj	16	12	25
gökan	4	4	4	gökhan	4029	2687	2838
rezarvasyon	1	1	4	rezervasyon	68	59	89
menecer	0	0	4	menajer	2633	2189	5862
eşşek	4	4	4	eşek	26	23	29
kollej	0	0	4	kolej	2338	696	1430
sıvas	1	1	4	sivas	2623	1414	2304
anlamamazlık	0	0	4	anlamazlık	1	1	1
müsbet	5	4	4	müspet	10	9	10
kontür	2	2	4	kontör	7	5	10
seyehat	3	3	4	seyahat	211	178	308
mundar	4	4	4	murdar	0	0	0
nisbet	0	0	4	nispet	15	15	70
techizat	3	3	4	teçhizat	0	0	8
muaffak	3	3	4	muvaffak	13	13	18
aferim	4	4	4	aferin	67	56	61
herkez	2	2	3	herkes	4993	4021	7256
labaratuvar	2	2	3	laboratuvar	9	8	35
aperatif	2	2	3	aperitif	0	0	0
