typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	2111	onunla	380	304	306
eşyalar	88	76	400	eşya	211	178	613
hıristiyan	139	103	171	hristiyan	3	3	6
yunanlı	136	88	124	yunan	428	241	624
itibariyle	127	121	121	itibarıyla	38	34	34
mönü	50	33	114	menü	7	7	27
makina	23	21	99	makine	148	118	596
psikiyatrist	72	59	78	psikiyatr	85	72	335
öğe	6	6	74	öge	9	3	40
hintli	70	54	65	hint	110	82	155
artis	1	1	54	artist	22	21	53
sarmısak	77	49	52	sarımsak	37	19	27
acenta	0	0	39	acente	19	11	59
mevlüt	50	36	36	mevlut	2	2	2
ünvan	0	0	33	unvan	15	12	244
laboratuar	16	11	27	laboratuvar	171	150	375
tesbit	22	21	25	tespit	1874	1541	1658
orjinal	17	16	25	orijinal	187	145	180
siluet	1	1	24	silüet	0	0	5
hemşeri	4	4	24	hemşehri	0	0	15
mustarip	22	22	23	muzdarip	23	21	22
motorsiklet	13	9	21	motosiklet	149	97	191
fantazi	10	10	17	fantezi	63	44	83
çoşku	1	1	16	coşku	34	27	424
müdahele	12	11	16	müdahale	625	518	963
benle	5	5	15	benimle	215	192	195
traş	15	13	14	tıraş	125	62	83
mazohist	14	14	14	mazoşist	6	3	5
mazohizm	7	7	14	mazoşizm	0	0	1
ataç	21	11	13	ataş	15	8	48
dakka	5	5	13	dakika	1377	997	1532
pantalon	8	7	13	pantolon	129	82	155
menapoz	5	5	12	menopoz	152	65	96
ıstanbul	8	8	11	istanbul	8458	5827	6725
usül	4	4	11	usul	20	17	181
antreman	6	6	11	antrenman	47	38	72
restorant	7	6	11	restoran	202	149	388
kolleksiyon	1	1	10	koleksiyon	47	39	310
taxi	6	6	10	taksi	293	176	612
yanlız	7	6	10	yalnız	668	553	1069
çinakop	9	7	9	çinekop	6	3	3
entellektüel	8	8	9	entelektüel	79	65	71
testesteron	13	8	9	testosteron	86	52	60
yayınlamak	8	8	9	yayımlamak	5	4	6
