typo	tf	df	sdf	correct	tf	df	sdf
onla	2	2	8821	onunla	610	554	555
hıristiyan	672	492	640	hristiyan	64	51	67
itibariyle	585	506	508	itibarıyla	99	90	90
yunanlı	153	115	281	yunan	1081	656	1780
hemşeri	67	51	202	hemşehri	3	3	14
eşyalar	37	35	147	eşya	370	258	547
mönü	49	47	112	menü	3	3	18
müdahele	73	58	105	müdahale	1439	1032	1635
öğe	9	7	85	öge	0	0	16
hintli	56	45	80	hint	116	87	164
ıstırap	54	47	78	ızdırap	3	3	7
tesbit	49	43	71	tespit	739	631	1146
siluet	5	3	60	silüet	2	2	9
meslekdaş	5	5	59	meslektaş	37	34	782
rakkam	17	17	54	rakam	667	561	2024
yanlız	27	24	54	yalnız	1901	1575	2454
artis	0	0	53	artist	20	18	53
makina	15	12	48	makine	389	273	734
ataç	63	38	46	ataş	5	3	45
mahçup	28	25	43	mahcup	121	109	114
entellektüel	51	36	41	entelektüel	373	301	378
süpriz	27	24	41	sürpriz	672	611	916
ünvan	5	5	40	unvan	42	38	201
çoşku	2	2	34	coşku	112	100	643
mustarip	31	30	33	muzdarip	5	5	6
aptes	20	15	31	abdest	11	8	10
amarika	5	3	26	amerika	2879	1899	5758
pantalon	20	18	25	pantolon	164	123	226
afganlı	7	6	24	afgan	509	329	1457
kollektif	24	23	23	kolektif	147	127	129
parelel	18	17	23	paralel	293	277	438
atmasyon	3	3	21	uydurma	130	114	255
acenta	3	3	19	acente	10	7	38
psikiyatrist	13	13	19	psikiyatr	44	39	87
şöför	9	5	18	şoför	200	157	516
mevlüt	21	16	18	mevlut	8	8	8
insiyatif	9	9	18	inisiyatif	188	169	464
dakka	19	16	17	dakika	871	703	1310
üzre	16	16	17	üzere	4316	3741	3904
sarmısak	24	12	17	sarımsak	7	7	14
traş	10	9	15	tıraş	81	64	124
vehamet	0	0	15	vahamet	1	1	61
yayınlamak	9	9	15	yayımlamak	51	48	57
laboratuar	5	5	13	laboratuvar	74	64	202
küpür	3	3	13	kupür	24	18	56
anfi	2	2	13	amfi	3	2	30
sıvas	1	1	13	sivas	261	169	269
maydonoz	12	11	13	maydanoz	83	57	79
mokasen	7	7	13	makosen	2	2	3
arefe	0	0	13	arife	34	27	177
viyolo	0	0	12	viyola	0	0	0
espiri	0	0	11	espri	153	127	375
tekrardan	12	11	11	tekrar	1857	1535	2771
meyva	6	5	11	meyve	242	178	330
nisbet	2	2	11	nispet	21	14	215
herkez	3	3	10	herkes	4030	3266	5461
senle	9	9	10	seninle	162	140	141
müracat	7	6	10	müracaat	83	75	101
silahşör	2	2	10	silahşor	1	1	6
usül	5	4	10	usul	358	233	928
supab	0	0	9	supap	3	3	14
netekim	31	9	9	nitekim	1478	1342	1342
antreman	11	4	9	antrenman	21	19	54
lakayt	8	7	8	lakayıt	1	1	1
taşaron	7	6	8	taşeron	55	42	109
dinazor	2	2	8	dinozor	25	23	78
ıstanbul	4	4	8	istanbul	5931	3746	6382
kolleksiyon	6	3	8	koleksiyon	55	48	186
