typo	tf	df	sdf	correct	tf	df	sdf
itibariyle	50	42	42	itibarıyla	43	28	28
onla	0	0	35	onunla	1	1	1
makina	2	2	4	makine	6	5	15
yunanlı	0	0	4	yunan	13	5	34
ünvan	0	0	3	unvan	0	0	1
naturel	3	3	3	natürel	0	0	0
ataç	0	0	2	ataş	0	0	5
acenta	0	0	2	acente	4	2	3
hintli	3	2	2	hint	2	1	2
allerji	0	0	2	alerji	0	0	1
öğe	0	0	2	öge	1	1	1
diyaloga	2	2	2	diyaloğa	0	0	0
müracat	1	1	1	müracaat	10	6	6
laboratuar	0	0	1	laboratuvar	1	1	1
ıstanbul	1	1	1	istanbul	291	184	191
tekrardan	1	1	1	tekrar	44	31	33
tesbih	1	1	1	tespih	1	1	1
dokunmatik	1	1	1	dokunmalı	0	0	0
personeller	0	0	1	personel	6	6	16
egsoz	0	0	0	egzoz	0	0	1
herıld	0	0	0	herhalde	2	2	2
heycan	0	0	0	heyecan	2	2	5
şarz	0	0	0	şarj	8	4	4
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	8	4	4
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	20	17	36
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	16	13	17
çünki	0	0	0	çünkü	77	52	52
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	4
alimünyum	0	0	0	alüminyum	2	2	2
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	1	1	4
rakkam	0	0	0	rakam	35	24	75
traş	0	0	0	tıraş	0	0	0
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	19	8	8
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	1	1	2
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	2
ekistra	0	0	0	ekstra	1	1	1
labaratuvar	0	0	0	laboratuvar	1	1	1
taşaron	0	0	0	taşeron	8	4	5
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	6	3	14
görseller	0	0	0	görüntüler	0	0	2
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	0	0	0
parağraf	0	0	0	paragraf	0	0	1
alarım	0	0	0	alarm	0	0	0
eşşek	0	0	0	eşek	0	0	0
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	2	2	2
azemi	0	0	0	azami	4	4	4
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	0	0	0
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	2	2	2
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
