typo	tf	df	sdf	correct	tf	df	sdf
onla	1	1	89	onunla	7	6	6
itibariyle	28	20	20	itibarıyla	16	11	11
mevlüt	18	16	16	mevlut	0	0	0
tekrardan	3	3	3	tekrar	79	50	62
mahçup	1	1	1	mahcup	4	3	3
eşyalar	0	0	1	eşya	2	2	7
ünvan	0	0	1	unvan	0	0	2
şevkat	3	1	1	şefkat	3	3	7
siluet	0	0	1	silüet	0	0	0
şöför	0	0	1	şoför	0	0	1
müdahele	0	0	1	müdahale	34	15	26
hıristiyan	1	1	1	hristiyan	0	0	0
kalemşör	0	0	1	kalemşor	0	0	0
netekim	1	1	1	nitekim	4	4	4
artis	0	0	1	artist	0	0	1
cimnastik	1	1	1	jimnastik	0	0	0
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	23	15	15
heycan	0	0	0	heyecan	1	1	15
şarz	0	0	0	şarj	0	0	1
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	0	0	0
teferuat	0	0	0	teferruat	0	0	2
herkez	0	0	0	herkes	97	61	109
aptes	0	0	0	abdest	1	1	1
teşfik	0	0	0	teşvik	9	9	11
çünki	0	0	0	çünkü	96	69	69
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	68
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	0
rakkam	0	0	0	rakam	2	2	17
traş	0	0	0	tıraş	0	0	0
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	10	5	6
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	0	0	0
ataç	0	0	0	ataş	0	0	2
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	2
ekistra	0	0	0	ekstra	0	0	0
labaratuvar	0	0	0	laboratuvar	0	0	0
taşaron	0	0	0	taşeron	6	5	5
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
görseller	0	0	0	görüntüler	0	0	0
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	1	1	1
parağraf	0	0	0	paragraf	0	0	0
alarım	0	0	0	alarm	0	0	2
eşşek	0	0	0	eşek	3	1	1
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	5	4	4
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	2	2	2
tenbih	0	0	0	tembih	0	0	1
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	4	3	3
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	4	4	4
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	4	4	4
gazte	0	0	0	gazete	19	17	161
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	0	0	0
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	1	1	2
gravat	0	0	0	kravat	0	0	0
kurdale	0	0	0	kurdele	0	0	0
makina	0	0	0	makine	0	0	3
kollektif	0	0	0	kolektif	1	1	1
halisinasyon	0	0	0	halüsinasyon	0	0	0
asvalt	0	0	0	asfalt	0	0	3
meslekdaş	0	0	0	meslektaş	0	0	0
süprüz	0	0	0	sürpriz	10	7	10
kolanya	0	0	0	kolonya	0	0	0
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	0	0	0
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	19	17	28
döndermek	0	0	0	döndürmek	0	0	0
egsantrik	0	0	0	eksantrik	0	0	0
acenta	0	0	0	acente	0	0	0
afaroz	0	0	0	aforoz	0	0	0
şarter	0	0	0	şalter	0	0	0
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	0	0	0
cenderme	0	0	0	jandarma	2	2	2
duymamazlık	0	0	0	duymazlık	0	0	0
harfiyat	0	0	0	hafriyat	0	0	0
subap	0	0	0	supap	0	0	0
ukela	0	0	0	ukala	0	0	0
düyüm	0	0	0	düğüm	0	0	2
leyen	0	0	0	leğen	0	0	0
satlık	0	0	0	satılık	0	0	0
ukele	0	0	0	ukala	0	0	0
hakkaten	0	0	0	hakikaten	8	6	6
püsküvüt	0	0	0	bisküvi	0	0	0
prooram	0	0	0	program	7	7	59
opsayd	0	0	0	ofsayt	0	0	0
miğde	0	0	0	mide	0	0	1
müracat	0	0	0	müracaat	1	1	1
tenbel	0	0	0	tembel	0	0	0
karisör	0	0	0	karoser	0	0	0
çinakop	0	0	0	çinekop	0	0	0
sağnak	0	0	0	sağanak	1	1	1
almamazlık	0	0	0	almazlık	0	0	0
fullemek	0	0	0	doldurmak	1	1	1
bilmemezlik	0	0	0	bilmezlik	0	0	2
kakafoni	0	0	0	kakofoni	0	0	0
mürettebatlar	0	0	0	mürettebat	0	0	0
aşşağı	0	0	0	aşağı	5	5	13
mürüvet	0	0	0	mürüvvet	0	0	0
gometri	0	0	0	geometri	0	0	0
valeybol	0	0	0	voleybol	1	1	1
aşırmasyon	0	0	0	aşırma	0	0	0
fasülye	0	0	0	fasulye	0	0	0
arozöz	0	0	0	arazöz	0	0	0
laboratuar	0	0	0	laboratuvar	0	0	0
konsansüs	0	0	0	konsensüs	0	0	1
sibop	0	0	0	supap	0	0	0
kirbit	0	0	0	kibrit	0	0	0
askari	0	0	0	asgari	15	11	11
ıstanbul	0	0	0	istanbul	166	92	104
hintli	0	0	0	hint	0	0	0
amartisör	0	0	0	amortisör	0	0	0
kitlemek	0	0	0	kilitlemek	6	5	5
tirbüşon	0	0	0	tirbuşon	0	0	0
inkilap	0	0	0	inkılap	0	0	5
tahüt	0	0	0	taahüt	0	0	0
penbe	0	0	0	pembe	2	2	3
menüsküs	0	0	0	menisküs	0	0	0
çoşku	0	0	0	coşku	1	1	11
silahşör	0	0	0	silahşor	0	0	0
oğustos	0	0	0	ağustos	12	10	11
mütaakip	0	0	0	müteakip	5	5	5
kareografi	0	0	0	koreografi	0	0	0
tafsiye	0	0	0	tavsiye	6	5	11
komidin	0	0	0	komodin	0	0	0
megoloman	0	0	0	megaloman	0	0	0
matamatik	0	0	0	matematik	2	2	5
nötür	0	0	0	nötr	0	0	0
erzağı	0	0	0	erzakı	0	0	0
sütüdyo	0	0	0	stüdyo	0	0	0
ciyer	0	0	0	ciğer	0	0	1
sandöviç	0	0	0	sandviç	0	0	0
kollej	0	0	0	kolej	0	0	0
palyanço	0	0	0	palyaço	0	0	0
amaciyle	0	0	0	amacıyla	28	25	25
birfiil	0	0	0	bilfiil	0	0	0
keşki	0	0	0	keşke	10	8	8
eyitim	0	0	0	eğitim	100	34	43
takikardi	0	0	0	taşikardi	0	0	0
espiri	0	0	0	espri	1	1	3
tamüden	0	0	0	taamüden	0	0	0
tiskinmek	0	0	0	tiksinmek	0	0	0
izalasyon	0	0	0	izolasyon	0	0	0
romörkör	0	0	0	römorkör	0	0	0
kolleksiyon	0	0	0	koleksiyon	0	0	1
eşortman	0	0	0	eşofman	0	0	0
küpür	0	0	0	kupür	0	0	0
pattiz	0	0	0	patates	0	0	0
kopye	0	0	0	kopya	0	0	0
erezyon	0	0	0	erozyon	0	0	0
kiprik	0	0	0	kirpik	0	0	0
entellektüel	0	0	0	entelektüel	0	0	0
akapunktur	0	0	0	akupunktur	0	0	0
kavonoz	0	0	0	kavanoz	0	0	0
ağostos	0	0	0	ağustos	12	10	11
anfi	0	0	0	amfi	0	0	0
tükrük	0	0	0	tükürük	0	0	0
sıvas	0	0	0	sivas	3	3	4
menapoz	0	0	0	menopoz	0	0	0
salomanje	0	0	0	salamanje	0	0	0
bugünki	0	0	0	bugünkü	23	21	21
kominist	0	0	0	komünist	3	2	2
yunanlı	0	0	0	yunan	0	0	1
fites	0	0	0	vites	0	0	0
şayibe	0	0	0	şaibe	0	0	3
nalet	0	0	0	lanet	0	0	1
felan	0	0	0	falan	10	7	7
ziğnet	0	0	0	ziynet	0	0	0
aşofman	0	0	0	eşofman	0	0	0
anartar	0	0	0	anahtar	3	3	6
çukolata	0	0	0	çikolata	0	0	0
sitriptiz	0	0	0	striptiz	0	0	0
anlamamazlık	0	0	0	anlamazlık	0	0	0
veleybol	0	0	0	voleybol	1	1	1
sezeryan	0	0	0	sezaryen	0	0	0
tasviye	0	0	0	tasfiye	6	3	4
ilüzyon	0	0	0	illüzyon	0	0	0
üzre	0	0	0	üzere	128	93	94
egzost	0	0	0	egzoz	0	0	0
şindi	0	0	0	şimdi	121	63	77
muhattap	0	0	0	muhatap	20	16	23
sovan	0	0	0	soğan	0	0	1
tasfir	0	0	0	tasvir	0	0	0
birhaber	0	0	0	bihaber	1	1	1
kozmatik	0	0	0	kozmetik	0	0	0
kanpanya	0	0	0	kampanya	5	4	17
riks	0	0	0	risk	12	5	14
variyetli	0	0	0	zengin	1	1	10
vejeteryan	0	0	0	vejetaryen	0	0	0
tahamül	0	0	0	tahammül	1	1	8
müsbet	0	0	0	müspet	1	1	1
antiparantez	0	0	0	antrparantez	0	0	0
mönü	0	0	0	menü	0	0	1
testesteron	0	0	0	testosteron	0	0	0
acizane	0	0	0	naçizane	2	2	2
tolorans	0	0	0	tolerans	3	1	1
tanımamazlık	0	0	0	tanımazlık	0	0	0
deynek	0	0	0	değnek	0	0	0
masus	0	0	0	mahsus	0	0	0
istepne	0	0	0	stepne	0	0	0
acitasyon	0	0	0	ajitasyon	0	0	0
opörlör	0	0	0	hoparlör	0	0	0
ezzane	0	0	0	eczane	0	0	0
karegrafi	0	0	0	koreografi	0	0	0
tenefüs	0	0	0	teneffüs	0	0	0
tesbit	0	0	0	tespit	26	24	32
üvertür	0	0	0	uvertür	0	0	0
profütürül	0	0	0	profiterol	0	0	0
istakoz	0	0	0	ıstakoz	0	0	0
maktül	0	0	0	maktul	0	0	0
merağını	0	0	0	merakını	1	1	1
taxi	0	0	0	taksi	1	1	11
tesbih	0	0	0	tespih	0	0	0
barsak	0	0	0	bağırsak	0	0	0
eskirim	0	0	0	eskrim	1	1	1
hukuğun	0	0	0	hukukun	25	17	20
hemşeri	0	0	0	hemşehri	0	0	2
yannız	0	0	0	yalnız	10	7	12
lağbo	0	0	0	lavabo	0	0	0
deyinmek	0	0	0	değinmek	0	0	0
usül	0	0	0	usul	6	5	10
zerafet	0	0	0	zarafet	0	0	0
mahlukatlar	0	0	0	mahlukat	0	0	0
motorsiklet	0	0	0	motosiklet	0	0	0
profütür	0	0	0	profiterol	0	0	0
egzos	0	0	0	egzoz	0	0	0
salomance	0	0	0	salamanje	0	0	0
kontür	0	0	0	kontör	0	0	0
karayca	0	0	0	karaimce	0	0	0
tetanoz	0	0	0	tetanos	0	0	0
biodizel	0	0	0	biyodizel	0	0	0
gardolap	0	0	0	gardırop	0	0	0
teşebüs	0	0	0	teşebbüs	1	1	7
eksozt	0	0	0	egzoz	0	0	0
kaysı	0	0	0	kayısı	0	0	0
çukulata	0	0	0	çikolata	0	0	0
yalnış	0	0	0	yanlış	58	39	52
megolaman	0	0	0	megaloman	0	0	0
lavobo	0	0	0	lavabo	0	0	0
meyva	0	0	0	meyve	2	2	4
seyehat	0	0	0	seyahat	3	2	5
allerji	0	0	0	alerji	0	0	1
gangaster	0	0	0	gangster	0	0	0
kaparo	0	0	0	kapora	0	0	0
maydonoz	0	0	0	maydanoz	2	1	1
entrasan	0	0	0	enteresan	0	0	2
bisküüt	0	0	0	bisküvi	0	0	0
azarbeycan	0	0	0	azerbaycan	10	5	6
şanzuman	0	0	0	şanzıman	0	0	0
azerbeycan	0	0	0	azerbaycan	10	5	6
münübüs	0	0	0	minibüs	0	0	1
menejer	0	0	0	menajer	0	0	0
ötenazi	0	0	0	ötanazi	0	0	0
sandoviç	0	0	0	sandviç	0	0	0
deyil	0	0	0	değil	403	165	207
ahpab	0	0	0	ahbap	1	1	1
pisküvi	0	0	0	bisküvi	0	0	0
mentalite	0	0	0	mantalite	0	0	0
törörist	0	0	0	terörist	14	8	13
mefta	0	0	0	mevta	0	0	1
kırahathane	0	0	0	kıraathane	0	0	0
sohpet	0	0	0	sohbet	18	17	20
kipri	0	0	0	kirpi	0	0	0
öğe	0	0	0	öge	0	0	0
kontur	0	0	0	kontör	0	0	0
tadilatlar	0	0	0	tadilat	1	1	1
ceryan	0	0	0	cereyan	7	7	7
yanlız	0	0	0	yalnız	10	7	12
mundar	0	0	0	murdar	0	0	0
kokareç	0	0	0	kokoreç	0	0	0
candarma	0	0	0	jandarma	2	2	2
nülüfer	0	0	0	nilüfer	1	1	1
poça	0	0	0	poğaça	0	0	0
