typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	43	onunla	12	10	10
itibariyle	9	8	8	itibarıyla	1	1	1
mevlüt	7	6	6	mevlut	1	1	1
tekrardan	5	5	5	tekrar	36	31	39
telafuz	3	3	3	telaffuz	1	1	1
anfi	0	0	2	amfi	0	0	0
menejer	1	1	2	menajer	8	8	44
antreman	1	1	2	antrenman	30	15	18
senle	1	1	1	seninle	0	0	0
mahçup	1	1	1	mahcup	4	2	2
eşyalar	1	1	1	eşya	0	0	1
makina	0	0	1	makine	0	0	0
ıstanbul	1	1	1	istanbul	151	74	93
müdahele	1	1	1	müdahale	6	5	12
küpür	0	0	1	kupür	0	0	0
mentalite	1	1	1	mantalite	0	0	0
yayınlamak	1	1	1	yayımlamak	0	0	0
artis	0	0	1	artist	0	0	1
cimnastik	2	1	1	jimnastik	3	2	2
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	3	3	3
heycan	0	0	0	heyecan	14	12	30
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	26	16	16
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	26	21	47
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	9	3	4
çünki	0	0	0	çünkü	35	29	29
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	9
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	0
rakkam	0	0	0	rakam	8	7	22
traş	0	0	0	tıraş	0	0	1
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	30	15	27
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	0	0	0
ataç	0	0	0	ataş	1	1	1
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	0
ekistra	0	0	0	ekstra	4	4	4
labaratuvar	0	0	0	laboratuvar	0	0	1
taşaron	0	0	0	taşeron	0	0	0
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	8	8	44
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
görseller	0	0	0	görüntüler	0	0	5
logar	0	0	0	rögar	0	0	0
parağraf	0	0	0	paragraf	3	3	3
alarım	0	0	0	alarm	0	0	0
eşşek	0	0	0	eşek	0	0	0
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	0	0	0
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	0	0	0
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	0	0	0
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	0	0	0
gazte	0	0	0	gazete	4	4	46
proleterya	0	0	0	proletarya	0	0	0
