Top-100 terms indexed using shingle filter in saglik category:

contents: ya da                          	 totalTF = 793 	 docFreq = 441
contents: Prof Dr                        	 totalTF = 902 	 docFreq = 363
contents: diye konuştu                   	 totalTF = 402 	 docFreq = 350
contents: ifade eden                     	 totalTF = 298 	 docFreq = 251
contents: daha fazla                     	 totalTF = 305 	 docFreq = 222
contents: hem de                         	 totalTF = 253 	 docFreq = 197
contents: Tıp Fakültesi                  	 totalTF = 244 	 docFreq = 195
contents: en önemli                      	 totalTF = 228 	 docFreq = 186
contents: ve bu                          	 totalTF = 197 	 docFreq = 180
contents: Doç Dr                         	 totalTF = 428 	 docFreq = 179
contents: Bu nedenle                     	 totalTF = 205 	 docFreq = 169
contents: önemli bir                     	 totalTF = 172 	 docFreq = 155
contents: Öğretim Üyesi                  	 totalTF = 168 	 docFreq = 151
contents: şunları kaydetti               	 totalTF = 153 	 docFreq = 148
contents: bir şekilde                    	 totalTF = 180 	 docFreq = 142
contents: ifade etti                     	 totalTF = 164 	 docFreq = 141
contents: şöyle devam                    	 totalTF = 148 	 docFreq = 139
contents: devam etti                     	 totalTF = 145 	 docFreq = 137
contents: daha çok                       	 totalTF = 167 	 docFreq = 136
contents: Anabilim Dalı                  	 totalTF = 152 	 docFreq = 134
contents: olmak üzere                    	 totalTF = 158 	 docFreq = 133
contents: dile getiren                   	 totalTF = 158 	 docFreq = 133
contents: dikkati çeken                  	 totalTF = 152 	 docFreq = 132
contents: herhangi bir                   	 totalTF = 171 	 docFreq = 131
contents: en çok                         	 totalTF = 156 	 docFreq = 130
contents: şöyle devam etti               	 totalTF = 137 	 docFreq = 129
contents: yaptığı açıklamada             	 totalTF = 128 	 docFreq = 127
contents: en az                          	 totalTF = 151 	 docFreq = 127
contents: çok önemli                     	 totalTF = 150 	 docFreq = 123
contents: yanı sıra                      	 totalTF = 139 	 docFreq = 120
contents: çok daha                       	 totalTF = 153 	 docFreq = 118
contents: olduğunu söyledi               	 totalTF = 134 	 docFreq = 118
contents: Dalı Öğretim                   	 totalTF = 125 	 docFreq = 118
contents: olduğunu ifade                 	 totalTF = 124 	 docFreq = 116
contents: ne kadar                       	 totalTF = 147 	 docFreq = 116
contents: söz konusu                     	 totalTF = 140 	 docFreq = 115
contents: ile ilgili                     	 totalTF = 143 	 docFreq = 114
