# Fix frequently misspelled words [1] in Turkish using stemming override filter
# [1] http://www.tdk.gov.tr/index.php?option=com_yanlis&view=yanlis
acenta	acente
acitasyon	ajitasyon
acizane	naçizane
adele	adale
afaroz	aforoz
#Afganlı	Afgan
afganlı	afgan
afilli	afili
aferim	aferin
ağostos	ağustos
ahçı	aşçı
ahlağın	ahlakın
ahpab	ahbap
akapunktur	akupunktur
akrapol	akropol
alarım	alarm
aldırmamazlık	aldırmazlık
aliminyum	alüminyum
alimünyum	alüminyum
allerji	alerji
almamazlık	almazlık
alobora	alabora
amaciyle	amacıyla
#Amarika	Amerika
amarika	amerika
amartisör	amortisör
anartar	anahtar
anfi	amfi
anlamamazlık	anlamazlık
anotomi	anatomi
ansımak	anımsamak
antiparantez	antrparantez
antreman	antrenman
aparatif	aperitif
aperatif	aperitif
aptes	abdest
aporlor	hoparlör
arabeks	arabesk
#ardarda	art arda
arefe	arife
arozöz	arazöz
artiz	artist
artis	artist
askari	asgari
assubay	astsubay
asvalt	asfalt
aşentiyon	eşantiyon
aşantiyon	eşantiyon
aşırmasyon	aşırma
aşşağı	aşağı
aşofman	eşofman
#at binmek	ata binmek
ataç	ataş
atelye	atölye
# context-free
#ateşe	ataşe
atmasyon	uydurma
# context-free
#atmış	altmış
# context-free
#euro	avro
# context-free
#avut	aut
ayrıyeten	ayrıca
#Azarbeycan	Azerbaycan
azarbeycan	azerbaycan
#Azerbeycan	Azerbaycan
azerbeycan	azerbaycan
#Azarbaycan	Azerbaycan
azarbaycan	azerbaycan
azemi	azami
#banyo yapmak	yıkanmak
barsak	bağırsak
# context-free
#baya	bayağı
benle	benimle
beyenmek	beğenmek
bilader	birader
bilimum	bilumum
bilmemezlik	bilmezlik
birfiil	bilfiil
birhaber	bihaber
bisküüt	bisküvi
boğça	poğaça
#boy pos	boy bos
bugünki	bugünkü
canbaz	cambaz
candarma	jandarma
cenderme	jandarma
celatin	jelatin
ceryan	cereyan
ceton	jeton
cimnastik	jimnastik
ciyer	ciğer
çekinser	çekimser
çiflik	çiftlik
çinakop	çinekop
çoşku	coşku
çukulata	çikolata
çukolata	çikolata
çünki	çünkü
dabruka	darbuka
dakka	dakika
dekarasyon	dekorasyon
dekaratör	dekoratör
deyer	değer
deyil	değil
deyinmek	değinmek
deynek	değnek
#-di'li geçmiş	belirli geçmiş
dinazor	dinozor
# context-free
#direk	direkt
dispirator	distribütör
distribitör	distribütör
diyaloga	diyaloğa
# context-free
#doğma	dogma
dokunmatik	dokunmalı
döküman	doküman
dökümanter	dokümanter
döndermek	döndürmek
duymamazlık	duymazlık
düyüm	düğüm
egzantrik	eksantrik
ekzantrik	eksantrik
egsantrik	eksantrik
egzos	egzoz
egsoz	egzoz
eksoz	egzoz
egzost	egzoz
eksozt	egzoz
#Eğridir	Eğirdir
# context-free
#eğridir	eğirdir
ekistra	ekstra
entellektüel	entelektüel
entrasan	enteresan
erezyon	erozyon
#erkan	erkân
erzağı	erzakı
eskirim	eskrim
espiri	espri
eşgal	eşkal
#eşkal	eşkâl
eşortman	eşofman
eşşek	eşek
eşyalar	eşya
evsane	efsane
evye	eviye
eyitim	eğitim
eylenmek	eğlenmek
ezzane	eczane
fantazi	fantezi
fasülye	fasulye
felan	falan
fermar	fermuar
fesetmek	feshetmek
# context-free
#fiat	fiyat
filim	film
fites	vites
#fizik tedavisi	fizik tedavi
florasan	floresan
fortmanto	portmanto
fullemek	doldurmak
gangaster	gangster
gangren	kangren
gardolap	gardırop
gaste	gazete
gazte	gazete
gometri	geometri
gömetri	geometri
#gol yapmak	gol atmak
#Gökân	Gökhan
gökan	gökhan
görseller	görüntüler
gravat	kravat
#Hakkari	Hakkâri
hakkaten	hakikaten
halisinasyon	halüsinasyon
halisünasyon	halüsinasyon
#haremlik selamlık	harem selamlık
harfiyat	hafriyat
herıld	herhalde
herkez	herkes
herkeş	herkes
heycan	heyecan
#Hıristiyan	Hristiyan
hıristiyan	hristiyan
#Hintli	Hint
hintli	hint
hoporlör	hoparlör
hukuğun	hukukun
# context-free
#ır	yır
ıskonto	iskonto
#Istanbul	İstanbul
ıstanbul	istanbul
#İstambul	İstanbul
istambul	istanbul
ıstırap	ızdırap
ıstırar	ıztırar
#içki kullanmak	içki içmek
ilizyon	illüzyon
ilüzyon	illüzyon
inkilap	inkılap
insiyatif	inisiyatif
#iskâmbil	iskambil
#iskan	iskân
istakoz	ıstakoz
istepne	stepne
istihbaratlar	istihbarat
#istihkam	istihkâm
itibariyle	itibarıyla
izalasyon	izolasyon
karsör	karoser
karisör	karoser
kavaltı	kahvaltı
#kağıt	kâğıt
#kaideye almamak	kale almamak
kakafoni	kakofoni
kalemşör	kalemşor
kanpanya	kampanya
kaparo	kapora
kapşon	kapüşon
#Karayca	Karaimce
karayca	karaimce
karegrafi	koreografi
kareografi	koreografi
karekter	karakter
karemel	karamel
karnıbahar	karnabahar
kavonoz	kavanoz
kaysı	kayısı
#kendine iyi bak	kendine dikkat et
keşki	keşke
kırahathane	kıraathane
kilot	külot
kipri	kirpi
kiprik	kirpik
kirbit	kibrit
kitlemek	kilitlemek
klavuz	kılavuz
kokreç	kokoreç
kokareç	kokoreç
kolanya	kolonya
kollej	kolej
kolleksiyon	koleksiyon
kollektif	kolektif
komidin	komodin
kominist	komünist
komünükasyon	komünikasyon
konsansüs	konsensüs
kontür	kontör
kontur	kontör
kopye	kopya
#korkunç güzel	çok güzel
kozmatik	kozmetik
kurdela	kurdele
kordale	kurdele
kurdale	kurdele
küpür	kupür
küvöz	kuvöz
#4 Levent	4. Levent
layik	laik
labaratuar	laboratuvar
labaratuvar	laboratuvar
laboratuar	laboratuvar
lağbo	lavabo
lavobo	lavabo
lakayt	lakayıt
laylon	naylon
leyen	leğen
logar	rögar
mağma	magma
mahlukatlar	mahlukat
mahsuz	mahsus
masus	mahsus
mahçup	mahcup
makina	makine
maktül	maktul
manüpülasyon	manipülasyon
matamatik	matematik
maydonoz	maydanoz
mazohist	mazoşist
mazohizm	mazoşizm
mazurat	maruzat
mefta	mevta
megoloman	megaloman
megolaman	megaloman
#mekânizma	mekanizma
melemen	menemen
menapoz	menopoz
menejer	menajer
menecer	menajer
mentalite	mantalite
menüsküs	menisküs
meraba	merhaba
merağını	merakını
meslekdaş	meslektaş
mevlüt	mevlut
meyva	meyve
miğde	mide
mokasen	makosen
motorsiklet	motosiklet
mozayik	mozaik
mönü	menü
muacir	muhacir
muaffak	muvaffak
muhattap	muhatap
mundar	murdar
mustarip	muzdarip
muşanba	muşamba
muzur	muzır
müdahele	müdahale
münübüs	minibüs
müracat	müracaat
müraccat	müracaat
mürettebatlar	mürettebat
mürüvet	mürüvvet
mürivet	mürüvvet
müsayit	müsait
müsbet	müspet
mütaakip	müteakip
mütahit	müteahhit
nacizane	naçizane
nalet	lanet
naturel	natürel
netekim	nitekim
nisbet	nispet
nötür	nötr
nülüfer	nilüfer
# context-free
#oce	oje
oğostos	ağustos
oğustos	ağustos
oporlor	hoparlör
opörlör	hoparlör
okşizen	oksijen
olaraktan	olarak
onla	onunla
oparasyon	operasyon
opsayd	ofsayt
orjinal	orijinal
#Osmanlıca	Osmanlı Türkçesi
öğe	öge
ötenazi	ötanazi
# context-free
#öyle	öğle
palyanço	palyaço
panaroma	panorama
#panik oldum	paniğe kapılmak
#panik oldum	panik olmak
pantalon	pantolon
parağraf	paragraf
pardesü	pardösü
parelel	paralel
parende	perende
parlementer	parlamenter
parlemento	parlamento
pattiz	patates
pattes	patates
payton	fayton
penbe	pembe
personeller	personel
peştemal	peştamal
pisiklet	bisiklet
poaça	poğaça
poça	poğaça
profütür	profiterol
prolüfütür	profiterol
profütürül	profiterol
proğram	program
prooram	program
proleterya	proletarya
promasyon	promosyon
provakatör	provokatör
psikiyatrist	psikiyatr
pisküüt	bisküvi
pisküvi	bisküvi
püsküvüt	bisküvi
radyosyon	radyasyon
rakkam	rakam
restorant	restoran
revanş	rövanş
rezarvasyon	rezervasyon
riks	risk
romörkör	römorkör
# context-free
#sada	seda
# context-free
#safa	sefa
sağnak	sağanak
#sahne almak	sahneye çıkmak
# context-free
#sala	sela
salomanje	salamanje
salomance	salamanje
sandoviç	sandviç
sandöviç	sandviç
sandüviç	sandviç
santranç	satranç
sarmısak	sarımsak
satlık	satılık
senle	seninle
seramoni	seremoni
# context-free
#serbes	serbest
seyehat	seyahat
sezeryan	sezaryen
#Sıvas	Sivas
sıvas	sivas
#sigara kullanmak	sigara içmek
silahşör	silahşor
siluet	silüet
sitriptiz	striptiz
sohpet	sohbet
#sollama yapmak	sollamak
sovan	soğan
#soy kırımı	soykırım
statyum	stadyum
steteskop	stetoskop
#su basmanı	subasman
subap	supap
supab	supap
sibop	supap
sueter	süveter
südyen	sütyen
sudyen	sütyen
#sükûtuhayal	sukutuhayal
süpriz	sürpriz
süprüz	sürpriz
sütüdyo	stüdyo
şanzuman	şanzıman
şarter	şalter
şarz	şarj
şemşiye	şemsiye
şayibe	şaibe
şevkat	şefkat
şifai	şifahi
şindi	şimdi
şohben	şofben
#şok olmak	şoke olmak
şöför	şoför
tadilatlar	tadilat
tahüt	taahüt
tamüden	taamüden
tafsiye	tavsiye
tahamül	tahammül
tahtarevalli	tahterevalli
takikardi	taşikardi
taxi	taksi
tanımamazlık	tanımazlık
tanpon	tampon
tasfir	tasvir
tasviye	tasfiye
taşaron	taşeron
techizat	teçhizat
teferuat	teferruat
#tekamül	tekâmül
tekrardan	tekrar
telafuz	telaffuz
tenbel	tembel
tenbih	tembih
tenefüs	teneffüs
tesbih	tespih
tesbit	tespit
testesteron	testosteron
teşebüs	teşebbüs
teşfik	teşvik
tetanoz	tetanos
tiskinmek	tiksinmek
tiyo	tüyo
tolorans	tolerans
# context-free
#tos	tost
törörist	terörist
trabzan	tırabzan
traş	tıraş
tribuşon	tirbuşon
tirbüşon	tirbuşon
tükrük	tükürük
uydurmasyon	uydurma
ukele	ukala
ukela	ukala
ultrasyon	ultrason
ultümaton	ültimatom
ultimatom	ültimatom
usül	usul
ünvan	unvan
üvertür	uvertür
üzre	üzere
valeybol	voleybol
veleybol	voleybol
variyetli	zengin
vehamet	vahamet
vejeteryan	vejetaryen
#vekaletname	vekâletname
viyolo	viyola
vürüs	virüs
yakinimdir	yakınımdır
yanlız	yalnız
yannız	yalnız
yannış	yanlış
yalnış	yanlış
